query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
dsv1.sparql;2631.0;59.0;88.34375;203.5335043231838;59.0;59.0;59.0;160
dv1.sparql;129.0;2.0;3.715231788079474;10.29457946911461;2.0;2.0;2.0;151
dsv2.sparql;297.0;28.0;35.385620915032675;22.04723523155105;28.0;28.0;28.0;153
dsv3.sparql;27.0;1.0;2.4808743169398917;1.9267963790485985;1.0;1.0;1.0;183
dsv4.sparql;3762.0;1440.0;1557.7470588235296;269.20815425380806;1440.0;1440.0;1440.0;170
dsv6.sparql;720.0;76.0;89.31012658227849;52.32881121128617;76.0;76.0;76.0;158
