query_name;avg_time;max_time;min_time;total_no
duc7.sparql;21;29;18;8
duc6.sparql;25;99;12;8
vd7.sparql;86;155;73;12
vf2b.sparql;68;123;57;16
vd6.sparql;18;32;15;9
dsv5b.sparql;15664;22721;14897;73
vf3b.sparql;1850;2892;1606;12
dv1.sparql;13;733;2;72
sd1.sparql;7;10;6;11
duc1.sparql;27;88;13;6
vd5.sparql;61;171;45;10
vd1.sparql;5;12;4;10
vd3.sparql;9;29;7;14
vd2.sparql;16;43;13;12
vf2.sparql;124;178;99;6
vf3.sparql;2027;4220;1613;7
duc2.sparql;23;84;16;15
duc5.sparql;318;551;287;16
duc4.sparql;30;40;26;15
duc3.sparql;17;61;6;5
vf4.sparql;439;1327;244;7
sd3.sparql;10;58;4;9
sd2.sparql;2;3;1;12
dp3.sparql;9;75;4;14
qd4.sparql;126;831;8;7
dsv2.sparql;37;156;29;102
dsv1.sparql;115;1368;64;79
qd3.sparql;21;39;14;8
dsv3.sparql;2;22;1;76
dsv4.sparql;1400;2265;1307;82
qd1.sparql;6;8;5;5
qd2.sparql;9;15;7;10
qd5.sparql;30;71;24;12
qd6.sparql;57;101;48;13
dsv5.sparql;3037;16402;2589;84
dsv6.sparql;100;1172;75;88
dp1.sparql;6;32;2;8
dp4.sparql;6;9;5;9
dp2.sparql;4;6;3;13
