duc7.sparql;21;20;21;29;20;22;18;
duc6.sparql;99;13;14;18;18;17;12;
vd7.sparql;155;73;83;76;73;76;75;84;87;91;82;
vf2b.sparql;123;71;66;57;92;59;65;64;63;64;59;58;59;65;67;
vd6.sparql;23;16;32;18;15;15;17;16;
dsv5b.sparql;17419;14958;17619;15164;14897;15041;14924;15023;14940;15217;17575;14969;14964;15285;15006;15225;15008;14967;17662;15832;14945;22597;15352;16471;15029;15227;17488;15060;14985;17839;14980;16016;15045;14960;15031;15228;15117;15104;15043;15014;15241;15005;15035;15051;14970;14991;15801;15164;15183;15107;15069;15227;15112;15163;22721;17695;16825;15122;15173;15099;15090;15072;17130;15267;15814;15084;15075;15055;15145;16413;15300;15057;
vf3b.sparql;2892;1606;2404;1608;1619;1621;2405;1613;1614;1606;1608;
dv1.sparql;733;3;3;3;3;6;5;4;4;3;2;3;3;3;4;7;4;4;3;6;3;3;4;5;3;3;4;3;4;5;4;3;4;3;2;6;3;4;3;3;4;8;3;3;3;3;2;3;5;2;3;2;3;2;2;3;3;3;3;3;6;3;3;2;2;3;3;3;3;3;4;
sd1.sparql;9;8;7;7;9;9;8;7;7;10;
duc1.sparql;88;17;17;13;14;
vd5.sparql;171;45;53;47;45;64;47;52;45;
vd1.sparql;12;4;6;5;4;4;5;5;5;
vd3.sparql;29;7;8;9;8;8;11;7;7;7;7;7;12;
vd2.sparql;43;13;15;16;13;17;15;14;13;13;13;
vf2.sparql;178;153;107;104;107;
vf3.sparql;4220;1618;1623;1613;1624;1626;
duc2.sparql;84;19;19;20;17;18;17;17;18;16;16;26;16;28;
duc5.sparql;551;292;300;294;287;287;296;430;295;295;297;295;292;288;299;
duc4.sparql;30;35;28;27;32;40;28;27;29;27;26;26;35;31;
duc3.sparql;61;8;7;6;
vf4.sparql;1327;252;244;245;251;367;
sd3.sparql;58;4;5;5;4;7;6;5;
sd2.sparql;3;3;2;1;3;2;2;2;1;1;2;
dp3.sparql;75;5;5;7;4;4;4;5;4;6;6;5;4;
qd4.sparql;831;9;9;8;13;8;
dsv2.sparql;156;52;31;32;31;30;30;32;30;32;31;51;46;34;31;51;33;37;33;52;37;33;52;29;51;30;33;31;52;51;34;34;31;31;51;32;35;51;29;29;35;35;33;52;29;50;30;31;31;36;33;29;51;33;31;30;35;32;37;33;31;29;35;52;29;32;53;52;36;29;30;31;52;36;29;32;30;30;29;33;29;51;29;30;30;31;39;30;35;32;35;36;29;31;29;35;34;51;36;39;51;
dsv1.sparql;1368;95;101;94;107;117;108;71;96;95;64;96;113;91;113;106;133;129;122;112;118;119;104;76;130;136;96;107;136;125;74;135;85;69;80;102;65;99;91;112;90;86;105;103;88;74;108;89;100;77;104;98;146;93;119;101;106;81;74;87;105;118;82;76;98;78;107;102;102;112;86;107;81;129;110;91;81;73;
qd3.sparql;26;39;17;23;14;15;20;
dsv3.sparql;22;3;2;3;3;3;3;3;4;3;2;3;2;2;4;2;2;4;3;2;3;2;3;2;2;2;3;2;3;2;3;3;2;3;2;3;3;3;2;1;2;2;3;3;2;4;3;3;2;2;2;2;2;3;2;2;2;2;2;2;3;2;2;3;2;2;3;2;2;2;2;2;3;2;2;
dsv4.sparql;2265;1336;1311;1318;1329;1319;1316;1318;1311;2131;1321;1318;1313;1338;1312;1311;1319;1316;1382;2129;1353;1318;1314;1315;1311;1322;1310;1316;1332;2149;1312;1316;1309;2152;2157;1314;1317;1319;1309;1318;1316;1339;1319;1321;1318;1334;1318;1317;1309;1310;1313;1317;1320;1319;1311;1309;1324;1314;1315;1325;1311;1323;1310;1311;1320;1312;1317;1311;1316;1315;1307;2149;1315;1314;1311;1308;1312;1313;1336;1312;2158;
qd1.sparql;8;5;7;6;
qd2.sparql;15;9;7;10;8;9;7;7;11;
qd5.sparql;71;25;28;25;24;25;24;24;24;24;35;
qd6.sparql;101;54;54;54;48;48;56;54;48;54;64;57;
dsv5.sparql;16402;2683;3785;2951;2740;2899;2729;2862;2845;2928;2911;2837;2871;3090;3096;2835;2946;2742;2767;2970;2699;2886;2972;3019;2993;2907;2926;2790;2746;2840;3114;2783;2738;2880;2852;2589;2790;2950;2802;2822;2985;2929;2764;2779;2910;2900;2840;3136;2818;2676;2622;2682;2866;2954;2917;2976;2997;2795;2753;2817;2905;2951;2814;3134;3038;2855;2953;2986;2923;2697;2717;3008;2822;2714;2827;2916;2846;2672;2723;2907;2919;2732;3131;
dsv6.sparql;1172;83;124;114;96;84;80;83;85;82;78;81;78;80;84;95;76;77;136;76;81;132;132;133;76;132;78;86;77;78;78;98;132;76;76;84;78;78;79;82;85;75;77;89;83;134;77;81;77;76;78;76;85;94;81;132;82;78;82;77;84;76;82;92;82;84;77;78;76;77;77;77;76;132;83;81;81;83;82;88;81;80;83;86;82;132;82;
dp1.sparql;32;2;4;3;2;4;4;
dp4.sparql;9;6;5;5;7;6;6;6;
dp2.sparql;6;4;4;5;4;4;4;4;4;5;4;3;
