query_name;avg_time;max_time;min_time;total_no
duc7.sparql;20;33;17;117
duc6.sparql;13;132;10;95
vd7.sparql;91;149;74;10
vf2b.sparql;303;1275;58;5
vd6.sparql;12;18;9;7
dsv5b.sparql;14571;17145;14022;10
vf3b.sparql;1790;3144;1593;8
dv1.sparql;4;26;2;13
sd1.sparql;12;40;6;7
duc1.sparql;15;148;11;86
vd3.sparql;8;22;6;12
vd2.sparql;15;36;12;10
vd5.sparql;56;107;44;10
vd1.sparql;6;21;4;11
vf2.sparql;117;222;97;14
vf3.sparql;1726;2971;1539;8
duc3.sparql;14;815;5;103
duc2.sparql;18;91;15;109
duc5.sparql;310;635;286;78
duc4.sparql;28;45;25;93
vf4.sparql;409;1531;250;9
sd3.sparql;3;5;3;12
sd2.sparql;2;2;2;6
dp3.sparql;4;6;4;12
qd4.sparql;158;1201;7;8
dsv1.sparql;429;2448;70;7
qd3.sparql;18;24;14;12
dsv2.sparql;35;51;29;10
dsv4.sparql;1632;3999;1351;10
dsv3.sparql;4;21;2;10
qd1.sparql;6;10;5;3
qd2.sparql;7;11;6;6
qd5.sparql;28;51;22;5
qd6.sparql;60;99;47;5
dsv5.sparql;3530;6797;2931;7
dsv6.sparql;108;262;76;8
dp1.sparql;3;12;2;13
dp2.sparql;4;15;3;12
dp4.sparql;6;8;4;14
