query_name;avg_time;max_time;min_time;total_no
duc7.sparql;20;34;16;116
duc6.sparql;13;178;10;134
vd7.sparql;118;162;75;2
vf2b.sparql;56;67;43;4
vd6.sparql;13;23;9;4
dsv5b.sparql;15744;16183;15305;2
dv1.sparql;56;216;3;4
sd1.sparql;17;38;6;3
duc1.sparql;15;201;11;130
vd3.sparql;67;67;67;1
vd1.sparql;122;477;4;4
vd5.sparql;78;170;51;7
vd2.sparql;17;38;12;6
vf2.sparql;285;1335;108;7
vf3.sparql;4196;4196;4196;1
duc5.sparql;302;1474;266;120
duc4.sparql;28;43;24;106
duc3.sparql;7;116;5;134
duc2.sparql;18;41;14;134
vf4.sparql;781;1656;341;3
sd3.sparql;6;6;6;1
sd2.sparql;2;3;1;5
dp3.sparql;7;24;4;6
dsv2.sparql;40;47;33;2
qd4.sparql;35;61;9;2
dsv1.sparql;883;2506;61;3
qd3.sparql;19;25;14;2
dsv3.sparql;22;22;22;1
dsv4.sparql;2322;2322;2322;1
qd1.sparql;5;8;4;4
qd2.sparql;58;214;6;4
qd6.sparql;75;119;52;3
qd5.sparql;33;54;23;3
dsv5.sparql;3681;6126;2719;4
dsv6.sparql;191;249;133;2
dp1.sparql;115;227;3;2
dp4.sparql;8;24;5;6
dp2.sparql;4;6;3;2
