duc7.sparql;52;18;19;31;19;18;18;19;20;
duc6.sparql;57;12;11;13;11;11;12;12;
vd7.sparql;346;112;89;74;82;76;76;82;84;81;76;76;77;77;77;76;77;75;
vf2b.sparql;78;42;43;48;67;44;43;43;55;50;47;42;43;45;43;48;46;50;49;67;42;48;48;48;49;49;49;50;55;45;44;49;44;48;68;48;46;44;43;44;43;43;43;44;43;44;44;44;45;44;44;42;50;197;49;52;48;48;48;43;43;47;49;49;49;42;44;43;44;44;44;43;45;183;50;42;41;44;44;43;44;43;44;42;43;43;42;42;42;42;42;42;44;44;43;43;44;44;44;44;44;44;44;43;43;47;43;49;44;44;43;42;
vd6.sparql;49;22;15;15;15;14;14;21;15;14;15;14;
vf3b.sparql;2800;1402;1398;1395;1402;1399;1402;1405;1407;1397;1394;1399;1397;1415;1394;1396;1401;1399;1395;1400;1402;1567;1397;1405;1407;1402;1402;1404;2005;1396;1401;1406;1405;1406;1404;1400;1399;1396;1395;1404;1401;1397;1399;1398;2098;1404;1405;1398;1402;1398;1400;1399;1398;1398;1398;1405;1398;1399;1395;1398;1396;1400;1403;1404;1402;1396;1403;1407;1395;1399;1399;2095;1403;1406;1401;1400;1400;1399;1406;1402;1402;1398;1398;1400;1400;1396;1398;1396;1399;1399;1399;1401;1395;1399;1394;1395;1401;1402;1401;1405;1401;1399;1402;1399;1403;1401;1396;1398;1402;1396;1397;1398;1399;1399;1400;1396;1404;1395;1400;1398;1402;1397;1393;1394;1397;1395;1402;1401;
dsv5b.sparql;15628;15128;15183;15018;15418;15101;
sd1.sparql;62;9;8;7;9;7;7;7;
dv1.sparql;4;2;3;2;3;2;3;3;
duc1.sparql;90;17;12;14;12;12;12;14;
vd2.sparql;49;14;13;18;13;13;13;13;14;12;13;13;13;13;
vd1.sparql;349;4;5;4;4;5;4;4;4;4;4;
vd5.sparql;110;57;57;51;50;55;51;51;50;
vd3.sparql;14;7;7;
vf2.sparql;385;116;116;113;112;116;113;115;166;116;166;118;108;110;116;108;109;109;110;110;110;110;130;116;116;117;146;110;110;117;116;116;110;116;114;110;114;114;117;116;117;116;116;110;110;108;119;116;108;110;110;110;166;166;118;110;109;110;110;110;110;109;108;116;114;115;116;117;115;114;110;116;115;115;167;166;117;114;118;117;117;117;110;109;110;110;110;116;108;115;107;107;110;111;110;110;110;110;108;108;109;108;108;108;107;108;108;111;108;108;119;114;108;110;110;110;110;110;110;110;110;108;110;116;117;265;110;110;108;109;108;110;117;121;
vf3.sparql;6429;1573;1575;1566;1559;1567;1583;1575;1572;1569;1579;1569;1563;1567;1560;1564;1577;1569;1575;1565;1574;2345;1574;1566;1567;1565;1569;1575;1564;1569;1563;1570;1566;1565;1568;1567;1560;1559;1574;1565;1565;1571;1571;1571;1567;2346;2006;1567;1565;1568;1561;1569;1572;1572;1572;1570;1563;1570;1566;1567;1563;1562;1567;1571;1565;1572;1568;1568;1566;1565;1569;1575;1566;1565;1567;1566;1564;1568;1568;1557;1560;1565;1567;1558;1562;1566;1573;1562;1561;1566;1568;1567;1562;1566;1563;1566;1564;1566;1566;1566;1566;1570;1559;
duc4.sparql;72;27;26;26;25;26;26;25;
duc3.sparql;40;8;6;7;6;7;7;7;8;6;6;6;6;6;6;
duc5.sparql;480;280;279;278;280;277;283;277;279;278;278;
duc2.sparql;18;16;16;17;16;17;18;17;17;16;
vf4.sparql;2256;343;343;336;340;337;335;344;343;343;341;343;342;342;342;340;336;340;337;338;359;335;337;337;338;535;344;344;343;347;510;352;510;346;337;344;341;342;342;341;344;343;343;344;347;338;340;336;336;338;338;338;343;510;342;338;339;337;337;344;335;337;337;338;337;339;337;338;336;337;346;344;342;346;339;338;336;338;344;343;343;344;343;344;344;338;338;337;337;337;337;336;338;337;337;337;337;338;337;338;346;344;336;342;336;336;338;338;337;336;336;335;336;336;338;338;337;337;336;337;337;337;345;349;344;343;338;335;336;336;336;
sd3.sparql;23;3;3;4;3;4;
sd2.sparql;2;2;2;1;2;2;2;2;2;
dp3.sparql;7;4;5;5;5;5;4;5;
dsv2.sparql;49;33;33;31;31;33;33;33;32;31;
qd4.sparql;55;8;8;8;8;17;8;8;8;8;
dsv1.sparql;1735;174;76;87;85;100;81;78;85;96;83;
qd3.sparql;35;15;15;15;15;21;14;15;16;16;14;15;15;
dsv4.sparql;2262;1413;1351;1356;1349;1364;1347;1352;1353;1349;1354;1348;1351;
dsv3.sparql;112;3;2;2;2;2;
qd1.sparql;9;6;5;5;5;5;5;5;5;5;5;
qd5.sparql;69;22;30;22;23;32;33;22;23;22;23;23;23;22;25;
qd2.sparql;11;7;6;7;6;6;
qd6.sparql;126;56;48;47;48;54;47;52;48;54;48;
dsv5.sparql;17640;2753;3812;3052;2802;3076;2808;2768;
dsv6.sparql;287;84;78;78;78;133;86;82;83;78;76;76;
dp1.sparql;15;2;3;2;3;2;2;2;4;
dp4.sparql;554;6;6;
dp2.sparql;5;4;4;8;4;3;3;3;4;
