query_name;avg_time;max_time;min_time;total_no
duc7.sparql;19;21;19;3
duc6.sparql;24;59;15;5
vd7.sparql;99;161;74;8
vf2b.sparql;54;73;44;6
vd6.sparql;21;45;16;6
dsv5b.sparql;15651;22813;14905;99
vf3b.sparql;1553;2556;1052;3
dv1.sparql;4;93;2;89
sd1.sparql;8;13;7;9
duc1.sparql;26;107;13;8
vd2.sparql;28;125;14;8
vd5.sparql;63;118;47;8
vd1.sparql;10;41;4;7
vd3.sparql;13;23;8;3
vf2.sparql;143;273;107;6
vf3.sparql;1889;3220;1611;6
duc4.sparql;82;212;33;4
duc2.sparql;23;42;18;7
duc3.sparql;16;48;6;5
duc5.sparql;324;494;285;6
sd3.sparql;15;93;3;8
vf4.sparql;413;1210;248;6
sd2.sparql;2;3;2;5
dp3.sparql;8;21;4;4
qd4.sparql;58;439;9;9
dsv2.sparql;36;144;29;102
dsv1.sparql;122;1686;65;92
qd3.sparql;19;24;15;3
dsv4.sparql;1433;3576;1347;92
dsv3.sparql;3;105;1;105
qd1.sparql;37;260;5;8
qd2.sparql;15;29;8;3
qd6.sparql;59;105;48;7
qd5.sparql;39;91;23;6
dsv5.sparql;2993;20477;2615;105
dsv6.sparql;86;266;75;107
dp1.sparql;5;24;3;11
dp2.sparql;5;6;4;2
dp4.sparql;7;9;6;4
