query_name;avg_time;max_time;min_time;total_no
duc7.sparql;19;29;17;7
duc6.sparql;15;62;11;13
vd7.sparql;97;161;77;7
vf2b.sparql;56;370;49;131
vd6.sparql;11;23;10;11
vf3b.sparql;1583;6405;1509;144
dsv5b.sparql;14403;17099;13798;6
sd1.sparql;7;9;6;12
dv1.sparql;12;79;2;8
duc1.sparql;43;167;12;7
vd1.sparql;88;1102;3;13
vd5.sparql;47;141;36;13
vd2.sparql;18;53;12;9
vd3.sparql;6;10;5;8
vf2.sparql;110;271;101;136
vf3.sparql;1544;2966;1514;134
duc3.sparql;23;59;6;3
duc4.sparql;32;68;25;7
duc2.sparql;22;52;15;6
duc5.sparql;363;543;303;4
vf4.sparql;276;1799;256;145
sd3.sparql;16;88;3;7
sd2.sparql;19;183;1;10
dp3.sparql;4;10;3;14
qd3.sparql;18;48;14;10
qd4.sparql;14;44;8;7
dsv2.sparql;34;42;29;4
dsv1.sparql;552;1459;93;3
dsv4.sparql;1792;3550;1347;9
dsv3.sparql;12;104;2;10
qd1.sparql;17;208;4;16
qd6.sparql;50;96;43;12
qd2.sparql;7;12;6;7
qd5.sparql;28;60;22;8
dsv5.sparql;3488;15402;1520;8
dsv6.sparql;112;381;76;9
dp1.sparql;5;23;2;6
dp2.sparql;12;71;3;8
dp4.sparql;6;7;5;3
