duc7.sparql;88;23;21;
duc6.sparql;60;13;12;
vd7.sparql;147;
vf2b.sparql;103;68;
vd6.sparql;
dsv5b.sparql;15345;17422;15025;17790;17673;15073;15066;15009;15005;17683;15592;21158;15066;15141;22736;15039;16618;17676;15066;15194;17577;16474;15088;15184;15015;15219;15042;15114;15177;17614;15072;15870;15014;15053;15099;16515;22809;15362;15028;15038;15097;15045;15074;17012;17647;15547;14972;15068;15152;15034;14995;22562;15423;15293;15080;15138;15123;15054;15122;15244;15039;15128;15409;16780;20803;15098;15074;17087;15031;15055;15032;16553;15055;15057;15062;15100;15057;22653;15253;15124;22710;15105;15126;15178;15086;15028;15109;15082;15096;15226;15081;15136;
vf3b.sparql;
dv1.sparql;26;3;3;3;4;5;3;3;3;4;3;4;3;4;4;3;5;5;3;5;3;2;2;5;5;3;3;3;3;4;4;5;3;3;3;3;3;4;3;2;3;3;2;3;4;3;3;4;6;7;3;3;2;2;3;4;4;3;3;3;5;4;3;2;3;3;2;3;3;3;4;3;4;4;3;2;3;2;3;2;4;3;3;3;3;2;3;3;3;4;3;4;2;7;4;5;3;3;4;3;3;4;2;2;3;4;3;3;2;4;5;4;3;4;3;2;3;3;3;2;2;2;3;2;3;2;3;3;3;3;3;5;2;3;2;2;3;4;3;4;3;4;3;3;3;3;
sd1.sparql;51;8;
duc1.sparql;130;15;13;13;19;14;
vd2.sparql;22;16;
vd1.sparql;20;6;4;
vd3.sparql;52;
vd5.sparql;113;55;
vf2.sparql;202;115;116;111;
vf3.sparql;3655;1563;1567;
duc5.sparql;518;276;
duc2.sparql;21;17;19;
duc4.sparql;46;32;40;45;
duc3.sparql;53;
sd3.sparql;
vf4.sparql;1786;
sd2.sparql;2;2;3;2;
dp3.sparql;55;
dsv1.sparql;1198;152;103;68;79;67;97;130;124;78;97;103;105;105;96;104;101;105;95;96;83;95;85;113;112;98;104;77;129;104;80;102;95;90;104;113;217;121;98;103;108;82;71;77;72;67;136;98;113;118;252;134;115;71;68;72;68;101;115;100;108;109;91;109;90;121;132;95;115;77;91;87;139;91;123;83;103;96;111;81;110;93;94;136;102;92;102;94;102;91;83;95;92;105;105;124;
dsv2.sparql;50;36;36;34;37;37;52;33;37;32;36;35;31;30;52;51;51;31;34;29;30;31;51;35;34;37;51;37;38;33;35;29;34;33;51;34;33;34;51;34;51;30;45;35;35;33;30;41;31;31;53;32;52;51;30;35;29;31;32;46;31;29;32;51;36;31;52;44;46;51;51;34;36;41;30;33;29;52;36;29;31;34;33;33;31;29;30;31;31;31;33;30;30;33;33;45;30;32;29;31;47;42;35;33;34;33;31;
qd4.sparql;549;14;11;12;
qd3.sparql;42;16;
dsv4.sparql;3807;1526;1447;1502;1452;1458;1450;1454;1447;1451;1950;1449;1491;1449;2411;1452;1467;2406;1445;1450;2045;1454;1450;1456;1456;1451;1452;2413;1456;1448;1457;2408;1443;1457;1452;2409;1477;1446;1444;1442;1451;1445;1453;1455;1445;2402;2400;2402;1450;1449;1449;1452;2398;1449;1441;1453;1443;1445;1443;2406;2403;1458;1500;1452;1444;1455;1449;1442;1448;1457;1449;1446;1456;1450;1442;1455;1452;1453;1443;1448;1457;1449;1449;1454;1451;1445;1447;2407;1457;1459;1928;1461;1484;1443;
dsv3.sparql;112;4;3;2;4;3;3;3;4;3;3;3;3;3;3;3;4;3;3;4;3;2;3;3;3;3;3;3;2;4;2;2;3;3;3;2;3;2;1;3;3;2;2;3;3;3;3;3;3;2;3;2;4;4;3;2;3;2;3;2;4;2;2;2;2;3;2;2;3;2;2;2;3;2;2;3;2;3;4;3;2;2;2;3;2;2;2;2;3;2;2;2;2;3;4;1;3;2;2;2;2;2;2;2;2;3;3;2;2;3;3;3;2;2;1;3;2;3;3;3;2;4;
qd1.sparql;10;5;5;5;5;8;
qd5.sparql;77;26;36;25;
qd2.sparql;19;7;8;
qd6.sparql;165;56;
dsv5.sparql;18517;2657;3682;2917;2959;2827;2798;2752;3028;2870;3044;2894;2812;2794;2737;2710;2898;2710;2723;2784;2842;2893;3096;2942;2962;2976;2994;2708;2878;2712;2858;2985;2925;2779;2878;2801;2698;3085;2924;2806;2910;2719;2863;2815;2963;2832;2854;2871;2786;2738;2665;2875;2982;2942;2855;3121;2677;2880;2673;2885;2720;2909;2931;3070;2894;2860;2845;2955;2767;2974;2698;2800;2846;2933;2832;2897;2839;2845;3080;2872;3023;2761;2957;2739;2846;2958;3023;2857;2997;2803;2788;2860;2909;2859;3006;
dsv6.sparql;306;135;78;77;83;76;84;84;86;83;81;78;134;78;85;85;83;81;86;78;83;133;83;82;134;84;78;82;91;83;82;89;134;82;82;132;84;133;83;84;97;79;79;78;77;83;83;132;133;80;96;83;133;83;84;76;76;83;87;76;123;85;83;81;83;132;84;83;83;82;133;132;82;132;82;81;94;83;82;76;78;80;79;83;75;78;75;80;93;107;76;83;83;80;78;78;93;77;76;78;77;84;79;81;80;80;84;83;
dp1.sparql;
dp2.sparql;14;
dp4.sparql;13;7;6;7;9;9;
