duc7.sparql;23;17;19;25;18;19;30;21;18;18;18;30;19;19;23;30;24;18;22;20;19;20;18;19;17;22;23;19;17;17;20;29;20;21;17;17;19;17;19;24;30;18;30;30;17;17;18;17;17;17;20;30;21;17;18;18;19;18;17;17;17;17;17;17;17;17;17;17;17;17;18;17;17;16;21;19;24;23;17;22;17;17;17;17;17;17;18;17;17;17;17;24;22;17;22;29;17;22;17;30;18;24;18;19;25;19;32;30;24;26;30;30;18;19;22;18;18;18;18;
duc6.sparql;352;12;16;11;16;17;12;12;15;11;13;11;15;15;16;17;11;12;17;11;16;12;11;16;11;11;11;11;16;11;11;11;14;11;15;15;11;11;11;11;11;11;12;15;11;10;11;15;15;15;11;11;11;11;11;11;11;11;11;11;11;11;10;10;16;11;10;11;11;11;11;11;10;11;11;10;10;10;11;11;16;11;17;11;10;12;11;11;14;11;11;15;15;11;11;12;12;11;13;16;12;11;11;11;14;14;11;
vd7.sparql;141;74;112;
vf2b.sparql;116;54;55;55;
vd6.sparql;20;22;14;14;16;
dsv5b.sparql;14853;14222;14759;14774;14751;
vf3b.sparql;2597;1046;1043;1041;1056;
sd1.sparql;48;8;6;6;
dv1.sparql;86;3;2;3;
duc1.sparql;230;12;13;18;15;16;18;18;13;18;13;13;20;12;13;11;12;12;20;15;15;14;12;12;19;15;14;13;12;17;12;13;18;12;12;14;11;12;12;13;12;17;13;12;12;15;16;16;12;18;20;12;12;12;12;17;12;11;18;18;12;16;12;13;17;14;13;12;12;12;12;12;12;14;12;12;12;13;12;12;12;12;12;12;12;12;12;15;12;12;12;12;17;13;12;13;12;19;12;16;14;12;14;13;19;17;15;12;12;13;12;13;12;13;14;13;12;22;18;
vd2.sparql;54;16;13;13;12;14;12;12;13;
vd3.sparql;20;7;12;
vd5.sparql;95;51;52;48;45;67;56;
vd1.sparql;324;5;5;5;4;
vf2.sparql;176;99;98;107;104;
vf3.sparql;3128;1921;1609;1601;1601;1609;
duc2.sparql;467;15;21;21;15;20;17;17;22;15;16;16;19;16;16;15;25;25;16;15;16;26;17;31;15;15;14;14;16;19;15;19;15;26;16;25;16;15;15;26;26;15;15;17;14;15;17;16;15;20;15;16;20;17;15;15;26;26;15;16;15;16;15;15;15;17;14;16;17;25;25;25;26;16;15;15;15;16;16;15;15;15;15;15;15;17;15;15;15;16;16;15;15;14;15;15;15;15;15;15;14;15;14;15;25;15;15;15;15;16;15;21;16;16;16;26;15;15;26;24;16;18;15;19;15;18;16;16;
duc5.sparql;1253;296;442;293;292;296;299;292;290;296;297;295;291;304;295;295;289;288;287;286;300;292;288;286;288;297;442;288;288;287;295;296;294;296;287;287;288;442;425;297;290;287;290;288;292;299;290;354;295;291;286;289;294;312;288;286;287;286;288;286;286;286;288;288;289;287;288;296;288;287;297;286;286;286;286;285;286;287;293;294;294;288;286;289;295;296;299;292;294;289;289;295;302;295;296;289;295;291;296;311;296;293;289;290;289;295;
duc3.sparql;162;8;8;9;6;9;11;6;6;8;6;6;8;10;10;10;11;10;9;6;6;6;6;7;6;6;6;9;7;6;6;10;6;7;6;6;6;6;6;6;7;6;5;7;6;6;9;8;8;10;11;7;6;6;6;6;6;6;6;6;6;7;6;8;7;6;6;6;6;6;6;6;6;6;6;6;6;9;6;6;6;5;6;5;6;6;8;7;6;6;6;6;6;6;6;6;6;9;8;6;6;6;6;8;7;6;7;6;5;7;8;8;10;8;6;6;10;6;9;
duc4.sparql;34;25;42;34;26;27;29;31;34;24;30;32;31;25;39;40;42;41;25;26;29;26;27;29;26;29;25;25;32;30;25;25;24;28;24;25;25;26;28;39;39;25;25;26;39;24;289;25;25;27;25;27;25;25;25;24;24;24;25;24;25;25;33;29;25;30;26;25;24;25;25;25;25;26;24;27;26;32;29;25;28;28;32;26;26;26;30;26;26;26;
vf4.sparql;1801;245;261;247;240;239;247;248;367;
sd3.sparql;
sd2.sparql;5;2;1;1;2;
dp3.sparql;21;4;4;
dsv2.sparql;44;33;29;31;
qd4.sparql;32;8;7;
qd3.sparql;24;14;14;14;
dsv1.sparql;
dsv4.sparql;4472;1383;1353;1357;
dsv3.sparql;24;2;2;
qd1.sparql;9;19;5;6;
qd2.sparql;330;6;7;8;7;
qd5.sparql;76;23;22;25;33;
qd6.sparql;86;45;58;47;48;56;
dsv5.sparql;19217;2655;2710;2671;2665;3768;2994;2757;2657;
dsv6.sparql;796;79;133;92;80;
dp1.sparql;54;3;2;2;2;2;2;
dp2.sparql;6;3;3;4;3;4;
dp4.sparql;8;
