query_name;avg_time;max_time;min_time;total_no
duc6.cy;109;4037;42;77
duc4.cy;253;14274;62;85
duc2.cy;286;18533;29;76
dsv5b.cy;4;6;4;4
vd5.cy;67;1179;4;19
qd3.cy;53;488;12;13
vd3.cy;14;106;3;10
vd7.cy;46;652;6;17
qd1.cy;14;74;3;7
qd5.cy;17;145;4;11
vf3.cy;38;566;4;17
dsv5.cy;5;8;3;17
vd2.cy;23;145;6;10
sd2.cy;77;202;43;13
dp2.cy;13;77;4;9
dsv1.cy;142;368;77;8
dsv3.cy;10;71;3;11
dp4.cy;10;102;3;17
duc7.cy;29;78;22;76
vf2b.cy;4;7;3;14
dv1.cy;6;21;4;13
duc3.cy;91;206;67;62
duc5.cy;91;416;62;89
duc1.cy;5;27;3;84
qd2.cy;12;102;3;12
vd6.cy;49;144;37;16
vf3b.cy;7;40;3;14
qd4.cy;25;322;3;15
qd6.cy;22;317;3;17
sd1.cy;96;492;49;16
vf4.cy;35;524;4;17
dsv6.cy;12851;47802;4436;18
vf2.cy;3215;46857;67;15
sd3.cy;302;1719;54;7
dsv4.cy;8052;21927;5129;12
vd1.cy;13;86;4;12
dp1.cy;5;13;3;12
dp3.cy;9;76;3;12
dsv2.cy;314;1554;202;21
