query_name;avg_time;max_time;min_time;total_no
duc6.cy;278;23948;44;108
duc4.cy;85;427;64;91
duc2.cy;191;19475;30;129
dsv5b.cy;4;6;3;6
vd5.cy;36;252;4;8
qd3.cy;57;231;11;5
vd3.cy;51;197;3;4
qd1.cy;35;161;4;5
vd7.cy;133;515;5;4
qd5.cy;39;214;5;6
vf3.cy;105;706;4;7
dsv5.cy;5;11;3;10
vd2.cy;33;227;7;10
sd2.cy;78;176;48;6
dp2.cy;12;63;3;7
dsv1.cy;239;239;239;1
dp4.cy;55;105;5;2
dsv3.cy;9;28;3;4
duc7.cy;30;88;23;120
vf2b.cy;4;6;3;5
dv1.cy;7;16;4;5
duc3.cy;87;831;67;120
duc5.cy;219;15225;60;107
duc1.cy;5;55;3;120
qd2.cy;50;284;3;6
vd6.cy;62;178;37;6
vf3b.cy;4;6;3;6
qd4.cy;85;329;4;4
qd6.cy;35;224;3;7
dsv6.cy;16553;48119;5032;6
vf4.cy;58;535;4;10
sd1.cy;101;256;55;5
vf2.cy;2367;13779;76;6
dsv4.cy;8730;21404;5390;5
sd3.cy;98;98;98;1
vd1.cy;11;40;5;6
dp1.cy;5;21;3;8
dsv2.cy;544;1826;214;5
dp3.cy;24;87;3;4
