query_name;avg_time;max_time;min_time;total_no
duc6.cy;368;2822;50;9
duc4.cy;99;215;71;15
duc2.cy;46;145;33;16
dsv5b.cy;5;17;3;76
qd3.cy;82;934;15;16
vd5.cy;19;192;3;12
vd3.cy;44;530;3;13
vd7.cy;332;2602;6;8
qd1.cy;8;81;3;17
qd5.cy;17;132;5;11
vf3.cy;53;683;4;14
dsv5.cy;5;27;3;73
vd2.cy;17;147;7;20
sd2.cy;72;200;51;12
dsv1.cy;126;1490;80;65
dp2.cy;8;68;3;19
dsv3.cy;4;32;3;60
dp4.cy;17;109;3;8
duc7.cy;799;10740;25;14
dv1.cy;5;61;3;70
vf2b.cy;4;7;3;17
duc3.cy;510;7150;74;17
duc5.cy;135;356;85;9
duc1.cy;4;10;3;16
qd2.cy;8;86;3;17
vd6.cy;73;277;42;10
vf3b.cy;4;8;3;11
qd4.cy;21;228;3;13
qd6.cy;18;216;4;15
dsv6.cy;12830;57837;4370;79
sd1.cy;142;1102;56;14
vf4.cy;34;369;4;13
vf2.cy;3988;46645;68;12
dsv4.cy;7226;22102;5505;68
sd3.cy;85;195;60;11
vd1.cy;9;57;4;16
dp1.cy;4;13;3;8
dsv2.cy;298;2510;224;70
dp3.cy;11;85;3;11
