duc6.cy;3234;76;57;74;64;67;66;61;
duc4.cy;131;88;97;114;109;107;93;
duc2.cy;96;37;71;56;
dsv5b.cy;16;5;6;
qd3.cy;364;23;19;
vd5.cy;167;6;4;5;6;5;5;11;4;5;
vd3.cy;94;4;
qd1.cy;60;3;5;5;4;
vd7.cy;553;9;20;11;11;
qd5.cy;109;10;7;
vf3.cy;1602;27;41;25;7;9;7;11;9;7;6;6;6;7;5;5;8;11;6;9;6;5;4;5;6;5;5;5;6;7;6;5;5;7;7;5;8;5;6;5;5;5;6;6;5;5;6;5;5;6;5;6;6;7;5;8;4;5;8;5;4;5;5;5;7;5;5;6;11;6;5;7;5;4;5;5;5;5;4;6;7;7;7;6;9;6;6;8;6;4;7;17;6;7;11;7;7;6;6;6;6;6;6;6;6;6;7;6;6;7;6;5;5;21;7;7;8;5;5;6;7;8;7;6;6;5;5;8;5;6;6;6;6;23;6;7;7;5;4;4;5;4;6;4;6;8;5;5;5;5;7;5;6;4;5;6;5;4;4;5;
dsv5.cy;7;4;4;5;4;5;4;
vd2.cy;113;
sd2.cy;124;78;56;63;
dsv1.cy;397;150;102;159;239;146;
dp2.cy;38;3;6;4;4;4;4;4;
dp4.cy;81;6;4;3;6;4;7;5;12;3;
dsv3.cy;23;4;3;3;4;4;4;4;3;
duc7.cy;13349;63;35;26;
vf2b.cy;53;17;7;7;11;12;8;8;7;7;5;5;6;6;4;4;6;7;4;5;4;4;6;4;4;4;4;5;5;4;7;5;4;4;9;4;3;5;6;5;4;4;4;4;4;5;4;4;5;4;4;4;5;5;6;13;6;4;4;3;4;5;4;4;5;4;6;6;6;7;10;4;3;4;5;6;5;4;4;6;11;5;7;5;6;5;5;5;5;5;5;6;5;6;4;5;7;6;5;5;5;4;5;5;5;5;5;5;4;6;4;10;5;6;6;6;6;5;5;4;5;13;4;5;8;4;6;5;5;10;4;5;8;14;5;4;5;6;6;4;3;5;5;6;4;5;7;4;4;5;5;4;4;4;4;3;3;4;3;3;4;5;4;5;4;3;3;4;4;4;
dv1.cy;17;5;5;5;
duc3.cy;707;97;82;100;74;91;102;115;
duc5.cy;583;137;115;116;111;111;
duc1.cy;13;4;5;6;5;6;5;5;
qd2.cy;85;13;
vd6.cy;188;43;36;46;58;64;
vf3b.cy;10;29;7;7;9;9;8;6;5;8;6;7;4;7;4;5;5;4;4;4;5;4;4;8;3;6;5;6;6;6;5;4;4;6;4;5;4;4;4;4;4;3;4;4;4;3;4;4;4;4;5;4;5;4;7;7;4;4;4;3;4;4;5;6;6;3;3;3;5;4;6;5;6;4;7;6;6;4;5;5;5;5;5;8;6;7;5;6;4;6;5;8;4;4;4;13;4;15;6;4;6;5;5;6;7;5;5;3;5;5;6;5;6;5;4;5;4;5;4;5;6;4;5;3;3;3;5;3;3;6;3;3;3;3;3;3;3;
qd4.cy;229;5;5;4;4;5;
qd6.cy;290;5;5;3;
vf4.cy;662;18;25;15;25;13;8;8;7;10;6;7;7;6;6;5;6;6;7;7;6;8;5;7;7;5;5;11;5;5;6;5;5;5;4;6;6;5;7;5;7;7;5;5;7;5;5;6;5;5;5;6;6;5;5;5;6;6;5;5;5;5;9;5;5;4;5;7;12;6;6;6;6;6;8;6;11;5;5;6;6;6;7;9;6;6;6;8;6;6;5;5;6;4;10;6;6;5;6;7;5;11;5;7;6;6;6;7;6;10;6;4;5;7;4;8;6;6;6;7;5;6;4;6;5;5;4;5;4;4;4;5;5;4;6;5;4;5;5;4;5;4;5;4;
sd1.cy;275;103;134;80;77;81;86;
dsv6.cy;47050;10508;
vf2.cy;56075;447;98;188;90;83;95;86;117;79;74;74;103;79;78;76;74;84;87;123;85;91;82;78;107;89;83;79;80;88;100;84;73;106;84;86;83;79;82;101;80;79;75;77;106;89;97;103;90;75;95;74;95;102;79;72;75;88;128;82;139;98;83;80;111;118;120;112;131;110;117;112;116;127;101;104;112;117;96;109;118;120;99;110;118;113;107;114;125;106;112;114;109;108;107;106;117;117;110;110;117;124;114;117;110;133;110;110;128;91;82;103;105;120;111;98;101;97;96;88;102;110;69;69;70;78;78;83;100;85;73;93;77;79;73;77;75;76;77;77;70;
sd3.cy;14537;69;93;
dsv4.cy;22331;7241;6289;
vd1.cy;45;6;5;9;6;7;7;7;
dp1.cy;20;4;4;5;11;3;4;
dp3.cy;466;4;5;5;
dsv2.cy;1434;330;306;300;325;307;228;
