query_name;avg_time;max_time;min_time;total_no
duc6.cy;714;2692;51;4
duc4.cy;102;139;82;5
duc2.cy;71;105;46;4
dsv5b.cy;8;389;3;93
qd3.cy;99;250;19;3
vd5.cy;82;239;4;3
vd3.cy;77;152;3;2
qd1.cy;11;59;3;7
vd7.cy;424;839;10;2
qd5.cy;31;136;5;5
vf3.cy;762;3030;5;4
dsv5.cy;27;1429;3;96
vd2.cy;63;155;8;3
sd2.cy;82;129;57;5
dsv1.cy;191;7405;84;97
dp2.cy;30;58;3;2
dsv3.cy;4;43;3;123
dp4.cy;14;75;3;7
duc7.cy;3380;13428;25;4
dv1.cy;5;100;3;147
vf2b.cy;5;6;5;3
duc3.cy;114;145;83;2
duc5.cy;2603;7579;89;3
duc1.cy;7;19;4;7
qd2.cy;30;109;3;4
vd6.cy;154;154;154;1
vf3b.cy;4;4;4;1
qd4.cy;83;387;4;5
qd6.cy;76;222;3;3
dsv6.cy;11949;55832;4046;109
sd1.cy;126;246;64;3
vf4.cy;155;305;5;2
vf2.cy;6910;33835;83;5
dsv4.cy;6991;22680;4992;95
sd3.cy;101;101;101;1
vd1.cy;16;46;5;4
dp1.cy;13;13;13;1
dp3.cy;83;158;9;2
dsv2.cy;265;2048;216;108
