duc6.cy;2570;87;70;72;70;70;70;76;57;
duc4.cy;25458;95;92;97;82;65;67;74;76;73;74;102;
duc2.cy;10568;60;40;60;70;61;43;43;50;46;43;44;49;34;42;42;
dsv5b.cy;7;7;4;8;4;5;4;4;4;4;
vd5.cy;296;49;7;8;4;6;5;6;7;6;5;6;6;5;6;4;5;4;5;5;5;5;5;4;4;4;5;4;4;4;3;4;4;3;4;4;4;
qd3.cy;291;34;35;25;30;37;29;26;18;17;19;22;19;20;19;16;13;12;14;16;20;25;18;14;20;13;11;17;11;11;16;9;8;8;11;11;8;12;8;8;
vd3.cy;521;4;21;6;5;6;4;5;7;4;8;3;4;4;5;4;4;3;3;3;4;3;4;4;9;4;4;3;3;3;3;4;3;3;3;4;4;3;
qd1.cy;187;6;6;6;6;6;4;4;6;7;8;5;5;5;5;5;5;4;4;9;6;4;4;5;4;5;4;5;4;5;4;4;3;4;4;4;5;3;3;4;3;3;4;
vd7.cy;1128;22;18;23;17;15;12;13;9;10;13;10;10;14;16;23;9;9;16;9;9;7;8;7;7;9;6;7;7;7;10;7;6;9;7;6;5;6;5;5;5;5;6;5;5;6;4;5;5;
qd5.cy;163;7;6;15;6;8;8;8;7;7;7;7;8;6;8;6;5;10;6;7;6;7;8;5;8;7;11;5;5;7;7;6;5;4;6;8;5;5;4;
vf3.cy;1377;7;9;6;7;6;6;5;4;4;
dsv5.cy;6;5;6;10;13;5;6;13;3;5;5;4;
vd2.cy;103;17;30;15;14;14;12;12;11;23;10;8;9;6;6;6;7;6;6;10;7;5;6;5;5;4;6;5;5;4;4;6;5;4;4;4;5;4;5;
sd2.cy;357;81;73;61;76;79;78;71;67;81;77;60;61;66;62;52;48;63;66;63;62;60;59;65;66;60;63;63;59;77;46;54;46;41;47;53;42;45;43;50;49;48;
dsv1.cy;475;197;118;163;124;124;113;122;136;111;72;69;76;70;90;
dp2.cy;52;4;6;9;8;6;5;8;4;5;11;5;4;4;5;4;4;4;5;4;5;4;4;3;3;3;10;3;3;4;3;6;
dp4.cy;108;5;6;5;6;5;5;6;4;5;5;4;5;3;5;5;5;6;5;5;5;4;3;3;3;4;3;5;4;4;4;4;4;
dsv3.cy;19;4;4;5;3;4;4;4;4;3;3;3;5;4;
duc7.cy;62;26;55;35;45;38;32;34;
dv1.cy;25;97;6;15;4;5;9;5;3;4;3;4;
vf2b.cy;13;6;7;7;6;6;5;5;4;5;10;13;4;4;4;3;
duc3.cy;200;112;94;84;77;71;98;121;97;93;101;96;80;69;74;6723;71;
duc5.cy;557;122;120;114;116;108;74;81;81;73;80;81;82;
duc1.cy;69;8;9;9;6;8;5;4;6;3;5;
qd2.cy;855;6;6;14;11;5;6;4;4;4;6;3;4;5;5;5;4;3;4;3;3;3;4;3;3;4;4;3;3;3;
vd6.cy;451;58;39;50;73;159;66;57;52;49;51;48;54;49;59;45;38;50;42;49;49;49;47;44;41;42;37;46;66;39;43;37;
vf3b.cy;6;7;7;6;6;6;6;5;4;6;6;6;9;5;5;
qd4.cy;238;5;7;6;6;8;5;15;5;5;5;7;6;4;4;3;4;4;5;3;4;4;4;3;
qd6.cy;722;5;8;22;6;4;4;4;4;5;37;3;5;4;4;3;5;4;4;4;5;3;3;3;4;
sd1.cy;275;124;72;74;73;82;76;73;70;70;57;72;68;80;93;65;79;70;63;69;71;79;56;57;55;56;62;56;53;
vf4.cy;515;7;10;9;6;6;5;6;5;4;5;8;
dsv6.cy;47920;12293;10733;12627;12119;9840;11826;11425;11975;10352;12180;11595;
vf2.cy;33713;155;105;106;130;106;121;82;86;87;106;
sd3.cy;4378;69;63;93;74;69;80;75;82;74;78;77;74;86;78;83;79;76;74;64;60;76;78;75;79;76;75;78;59;52;68;70;58;60;54;73;64;78;78;60;54;68;
dsv4.cy;23865;8316;7443;6851;6000;6772;7228;6708;7168;
vd1.cy;48;9;10;10;9;7;9;9;6;7;8;8;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;3;4;4;3;6;3;4;5;5;3;4;4;5;4;4;4;3;
dp1.cy;43;6;5;3;5;5;4;4;4;4;5;5;5;14;8;6;4;7;4;4;4;4;4;4;4;3;4;4;3;8;3;3;4;3;3;3;3;3;3;3;3;3;
dsv2.cy;2000;256;308;333;326;324;239;242;238;247;304;316;
dp3.cy;78;12;6;4;6;11;5;4;4;5;4;5;5;5;4;5;4;5;5;4;4;3;5;4;3;4;5;4;
