query_name;avg_time;max_time;min_time;total_no
duc6.cy;374;2563;53;8
duc4.cy;1631;13917;79;9
duc2.cy;1175;12365;32;11
dsv5b.cy;9;23;5;5
vd5.cy;8;197;3;51
qd3.cy;26;336;10;34
vd3.cy;7;100;3;45
vd7.cy;123;4040;6;36
qd1.cy;6;63;3;45
qd5.cy;14;223;5;33
vf3.cy;84;552;5;7
dsv5.cy;8;34;4;9
vd2.cy;15;184;7;41
sd2.cy;67;180;45;50
dp2.cy;5;46;3;35
dsv1.cy;266;266;266;1
dp4.cy;8;125;3;39
dsv3.cy;5;22;3;9
duc7.cy;43;89;24;13
dv1.cy;6;21;4;9
vf2b.cy;6;12;4;8
duc3.cy;95;171;70;7
duc5.cy;130;324;81;12
duc1.cy;8;24;4;9
qd2.cy;6;129;3;59
vd6.cy;180;5418;37;42
vf3b.cy;6;17;4;8
qd4.cy;11;322;3;49
qd6.cy;13;270;4;32
sd1.cy;95;829;51;32
vf4.cy;51;599;4;13
dsv6.cy;14642;47867;5244;10
vf2.cy;3284;34969;83;11
dsv4.cy;8111;24918;5592;14
sd3.cy;90;533;61;40
vd1.cy;6;48;4;40
dp1.cy;4;19;3;41
dp3.cy;6;98;3;49
dsv2.cy;464;2080;214;9
