query_name;avg_time;max_time;min_time;total_no
duc6.cy;1962;5776;53;3
duc4.cy;1539;7351;70;5
duc2.cy;77;141;40;3
dsv5b.cy;5;5;5;2
vd5.cy;57;218;4;4
qd3.cy;74;271;23;5
vd3.cy;63;124;3;2
qd1.cy;74;74;74;1
vd7.cy;363;713;13;2
qd5.cy;40;181;5;5
vf3.cy;12;970;4;182
dsv5.cy;8;20;4;5
vd2.cy;58;105;12;2
dsv1.cy;204;425;95;4
dp2.cy;14;46;3;4
dp4.cy;23;83;4;4
dsv3.cy;11;25;4;3
duc7.cy;6404;12766;42;2
vf2b.cy;5;94;3;172
dv1.cy;23;23;23;1
duc3.cy;226;621;82;4
duc5.cy;255;412;98;2
duc1.cy;9;10;9;2
qd2.cy;19;98;4;6
vd6.cy;149;252;47;2
vf3b.cy;5;20;3;162
qd4.cy;258;258;258;1
qd6.cy;128;251;5;2
sd1.cy;2125;6161;87;3
vf4.cy;15;1787;4;187
dsv6.cy;22697;47859;4947;3
vf2.cy;393;51288;68;171
dsv4.cy;9062;22176;5975;6
sd3.cy;347;1960;66;7
dp1.cy;6;16;3;5
dp3.cy;91;91;91;1
