duc6.cy;2658;67;63;64;
duc4.cy;3631;164;94;
duc2.cy;6491;42;35;38;59;40;
dsv5b.cy;17;21;11;7;7;5;5;6;4;4;4;5;8;5;7;6;5;5;4;4;4;5;5;5;6;5;5;4;8;5;5;6;5;4;4;4;5;24;6;4;4;5;4;4;6;3;4;4;7;4;6;3;3;4;3;3;4;4;6;5;4;4;4;4;4;4;4;4;4;3;4;4;10;5;6;3;4;4;11;3;4;6;5;4;4;4;3;4;4;3;4;8;4;9;4;4;5;5;
vd5.cy;461;7;4;11;3;4;4;
qd3.cy;263;27;
vd3.cy;129;3;
qd1.cy;885;4;8;4;3;4;3;
vd7.cy;2560;10;8;7;7;7;9;
qd5.cy;191;6;5;5;7;
vf3.cy;1549;7;6;4;6;
dsv5.cy;1363;10;7;5;5;5;7;14;7;7;7;5;5;4;7;11;4;4;14;4;7;7;4;5;4;4;4;4;6;5;4;4;4;6;360;5;5;4;3;3;9;4;4;4;4;3;3;5;3;5;5;4;5;4;4;4;4;4;4;3;4;4;4;3;4;4;5;5;5;4;3;3;4;4;3;4;3;5;4;4;4;3;5;4;3;4;5;4;5;4;4;4;4;4;3;5;9;5;4;4;5;5;7;5;
vd2.cy;402;18;20;11;14;9;9;
sd2.cy;1052;47;48;50;
dsv1.cy;483;267;142;113;109;125;95;134;126;103;91;91;94;93;134;105;85;124;86;92;85;99;91;83;149;132;79;78;93;85;78;114;87;85;123;92;80;84;131;117;77;87;82;85;80;115;118;117;93;89;86;79;115;79;85;83;90;86;92;114;90;91;95;95;79;76;86;114;83;137;84;84;104;97;117;7011;77;78;77;85;119;84;86;86;118;88;98;148;85;113;84;
dp2.cy;50;
dsv3.cy;66;4;4;6;5;5;6;4;3;4;4;4;4;4;4;5;5;6;4;5;4;6;4;13;5;5;4;4;4;3;3;3;4;9;5;5;4;3;3;5;5;3;3;3;5;3;3;3;3;3;4;3;4;3;3;4;4;4;3;4;7;3;5;4;3;3;3;4;4;3;3;3;4;3;5;5;4;4;4;3;3;3;3;4;3;3;3;3;3;4;4;3;3;3;5;3;3;4;4;3;4;3;4;3;
dp4.cy;66;3;3;
duc7.cy;48;28;
dv1.cy;50;8;8;7;6;5;5;4;5;6;5;5;10;7;4;6;6;4;4;6;4;4;5;12;4;8;3;6;4;3;5;4;5;6;6;4;4;5;5;3;4;3;4;4;4;4;3;3;3;3;3;4;6;4;3;3;3;3;3;3;4;3;3;4;5;4;4;3;3;3;3;4;3;4;4;3;4;3;3;4;4;3;3;4;3;3;6;4;
vf2b.cy;5;6;5;6;4;
duc3.cy;156;66;72;91;
duc5.cy;432;135;92;109;87;
duc1.cy;22;4;5;4;4;5;3;
qd2.cy;121;4;
vd6.cy;189;38;51;35;40;
vf3b.cy;7;4;
qd4.cy;1063;6;4;4;4;4;4;4;
qd6.cy;818;6;5;6;4;3;
dsv6.cy;48332;5050;10605;10159;12345;13067;11402;11118;12386;10956;11277;11801;11347;11493;11553;10581;13388;11591;14845;12055;11082;11673;16374;10855;12141;11969;12334;16961;11509;11570;11828;11830;10884;11388;35616;11286;11493;10321;12575;10801;11452;17854;10863;11406;10869;11117;10875;11358;11119;13386;10667;11254;12885;10833;14320;11417;12143;10946;11980;11563;11288;11517;10497;9959;11405;10770;10664;12763;11173;10803;11168;11061;11346;11240;10041;10293;9165;10743;11032;13058;11771;11478;11526;10885;11471;10840;11995;11647;10719;10853;10772;11266;10947;11044;10832;10839;11529;9837;10614;11063;10569;11939;11201;11197;24136;12353;
sd1.cy;411;74;67;68;54;52;61;61;
vf4.cy;333;12;5;5;5;
vf2.cy;33893;199;92;183;100;
dsv4.cy;25945;9281;7807;6313;5852;6063;6013;8811;6320;7259;9882;6598;7451;7132;9575;8273;7424;6582;8076;5911;6590;6361;7641;8134;8127;7939;7563;6927;6700;7722;7344;5843;6542;5829;6224;8167;7052;6699;7917;8838;6929;8973;8433;6496;7316;8443;6888;6124;7864;8045;8500;7530;6265;8470;8385;6418;7985;7103;5814;6728;6722;8595;6899;6325;7900;7342;9237;5826;7883;6444;6797;8550;8579;6502;8649;9118;5814;6780;8056;7367;5823;6004;8144;7727;8151;6766;7065;5841;7886;7504;7920;
sd3.cy;7214;84;56;62;62;65;76;
vd1.cy;40;9;10;7;6;5;
dp1.cy;20;5;4;5;4;3;3;3;3;3;
dsv2.cy;2867;308;281;279;267;276;273;773;272;266;278;269;278;266;270;278;282;428;274;438;338;432;267;268;409;280;273;269;274;274;272;438;275;440;439;272;282;282;422;399;404;268;275;437;271;282;265;283;267;287;281;283;433;273;280;309;269;272;266;264;465;276;275;353;352;438;283;266;276;271;272;283;266;266;274;273;355;425;399;462;269;408;277;409;282;274;287;273;273;295;282;273;280;273;448;364;339;314;279;277;267;
dp3.cy;79;4;4;
