query_name;avg_time;max_time;min_time;total_no
duc6.cy;582;2658;62;5
duc4.cy;993;3631;83;4
duc2.cy;963;6491;35;7
dsv5b.cy;5;24;3;99
vd5.cy;62;461;3;8
qd3.cy;103;263;19;3
vd3.cy;45;129;3;3
qd1.cy;114;885;3;8
vd7.cy;326;2560;7;8
qd5.cy;36;191;5;6
vf3.cy;263;1549;4;6
dsv5.cy;21;1363;3;105
vd2.cy;61;402;9;8
sd2.cy;254;1052;47;5
dsv1.cy;178;7011;76;92
dp2.cy;28;50;6;2
dsv3.cy;4;66;3;105
dp4.cy;19;66;3;4
duc7.cy;34;48;28;3
dv1.cy;4;50;3;89
vf2b.cy;4;6;3;6
duc3.cy;91;156;66;5
duc5.cy;158;432;87;6
duc1.cy;6;22;3;8
qd2.cy;43;121;4;3
vd6.cy;65;189;35;6
vf3b.cy;4;7;3;3
qd4.cy;121;1063;4;9
qd6.cy;120;818;3;7
dsv6.cy;12165;48332;5050;107
sd1.cy;101;411;52;9
vf4.cy;60;333;5;6
vf2.cy;5760;33893;92;6
dsv4.cy;7569;25945;5814;92
sd3.cy;961;7214;56;8
vd1.cy;11;40;4;7
dp1.cy;5;20;3;11
dsv2.cy;340;2867;264;102
dp3.cy;22;79;4;4
