duc6.cy;2617;66;71;
duc4.cy;3059;123;105;
duc2.cy;124;
dsv5b.cy;40;7;8;5;5;
qd3.cy;936;40;27;32;35;20;91;18;17;18;21;14;18;13;12;12;14;14;15;12;13;17;14;13;14;19;27;20;14;9;9;14;23;16;35;10;11;11;12;13;11;9;10;10;12;12;10;10;8;9;11;27;13;11;11;8;11;11;8;11;8;10;24;9;
vd5.cy;350;6;4;6;7;6;5;8;5;5;5;5;4;4;5;4;4;6;4;6;7;4;4;5;5;6;6;6;4;4;4;4;4;4;4;5;3;5;5;5;
vd3.cy;239;9;5;5;3;4;4;7;3;4;5;4;4;5;5;5;5;4;3;4;5;4;7;5;4;4;4;4;4;4;5;4;4;4;9;4;4;3;3;4;4;4;3;5;4;13;4;5;
qd1.cy;86;6;5;5;4;5;4;9;4;4;4;5;3;5;3;4;4;5;5;13;5;5;3;3;3;4;8;4;4;4;3;4;4;3;3;4;4;
vd7.cy;2336;18;16;16;15;15;15;16;10;13;12;12;8;8;7;9;9;9;7;10;6;8;9;9;13;12;7;17;7;7;24;6;7;15;18;5;6;7;6;7;5;8;6;5;4;7;7;5;5;5;11;6;6;6;7;6;7;
qd5.cy;2599;8;18;8;7;9;6;6;9;7;9;7;5;5;8;5;5;11;5;7;6;5;7;8;11;5;4;5;5;7;6;6;6;6;7;6;5;5;5;7;5;15;6;5;5;6;5;14;6;6;5;9;6;
vf3.cy;445;6;5;4;
dsv5.cy;10;5;4;5;4;
vd2.cy;210;23;19;25;20;15;14;9;19;8;9;15;11;11;9;8;8;9;9;9;8;9;22;8;5;5;9;8;16;12;7;6;6;6;7;7;7;5;15;17;4;6;5;5;4;4;4;5;5;5;6;5;
sd2.cy;1440;78;123;105;54;46;54;77;54;47;54;44;63;53;56;45;53;60;100;79;63;63;47;53;77;70;52;63;59;44;61;65;60;44;64;49;51;58;67;66;51;57;57;53;86;
dp2.cy;114;7;4;5;4;8;5;4;5;9;3;3;6;4;4;5;4;3;3;5;4;4;5;3;31;4;3;7;5;3;3;3;4;4;3;3;4;3;3;3;3;4;3;4;4;4;
dsv1.cy;4418;189;94;
dp4.cy;65;5;6;6;5;13;4;4;7;5;5;4;4;4;15;4;7;5;5;6;6;5;4;4;6;4;3;4;4;3;4;4;4;24;4;7;3;3;4;5;3;9;5;4;10;
dsv3.cy;22;4;3;5;4;
duc7.cy;6894;42;36;39;26;
dv1.cy;19;5;7;5;
vf2b.cy;4;
duc3.cy;155;
duc5.cy;1195;135;109;
duc1.cy;12;8;
qd2.cy;944;9;5;14;6;6;4;5;5;3;5;4;4;7;4;4;4;4;4;3;5;6;5;4;3;3;4;4;4;4;4;3;3;3;5;5;4;7;
vd6.cy;1380;41;55;46;46;43;55;57;45;45;53;49;45;42;38;53;47;42;53;69;70;52;52;44;68;55;61;63;47;52;45;50;45;50;53;48;51;64;41;42;58;44;58;88;45;
vf3b.cy;5;6;6;4;
qd4.cy;456;10;10;6;6;4;6;6;4;6;6;10;4;5;4;5;5;4;5;5;4;4;4;5;128;5;5;4;4;4;4;4;3;5;4;4;4;5;6;4;4;4;4;3;4;
qd6.cy;1450;6;8;5;8;4;5;4;5;5;12;6;6;4;4;5;5;5;6;5;6;5;5;4;5;5;5;4;6;5;4;4;3;4;5;4;5;4;5;4;5;5;5;4;5;5;
sd1.cy;567;109;61;62;67;62;69;64;76;65;58;53;63;57;80;89;50;70;67;74;47;69;83;61;97;75;67;71;63;69;59;58;56;73;55;
vf4.cy;406;4;7;5;5;
dsv6.cy;48205;
vf2.cy;47095;169;154;112;
sd3.cy;10548;102;68;83;71;66;56;74;77;61;66;131;79;100;72;67;76;74;89;88;92;73;71;75;72;89;114;105;60;61;78;64;71;67;66;72;78;70;66;86;74;71;66;65;66;83;99;95;
dsv4.cy;23232;7361;
vd1.cy;45;9;11;12;10;6;9;6;8;5;5;6;5;6;8;7;8;6;6;4;5;7;6;6;5;5;4;3;5;3;4;3;3;3;4;5;4;4;3;3;4;3;4;
dp1.cy;21;5;7;5;5;6;3;4;4;6;4;4;4;4;4;4;3;7;4;3;5;4;4;4;3;8;4;3;4;4;4;3;4;3;4;3;6;3;
dp3.cy;4111;10;9;7;6;7;5;4;4;5;3;5;4;6;6;4;5;5;4;4;3;11;5;4;4;3;3;5;4;4;4;5;4;3;4;4;4;4;4;4;3;3;5;5;4;4;
dsv2.cy;1987;274;307;351;
