duc6.cy;21937;67;74;59;60;52;60;
duc4.cy;154;141;135;95;91;87;82;84;76;82;72;102;97;93;
duc2.cy;10562;65;60;59;35;35;50;51;41;33;43;47;41;34;
dsv5b.cy;42;15;7;9;6;7;7;7;6;7;6;5;748;6;10;7;6;4;6;4;5;4;6;4;4;5;4;5;5;4;4;5;4;4;5;5;5;4;5;4;4;5;4;4;5;5;5;5;4;4;6;5;4;6;4;3;4;4;4;3;3;5;5;5;4;4;5;5;4;4;4;3;
vd5.cy;481;5;5;5;4;4;4;3;5;
qd3.cy;212;28;16;21;15;15;15;
vd3.cy;105;4;4;4;4;4;4;4;3;3;3;4;3;
vd7.cy;2575;17;10;8;9;7;7;20;7;7;7;
qd1.cy;74;4;5;3;
qd5.cy;198;7;8;5;10;6;7;13;11;7;5;
vf3.cy;2007;6;12;4;4;8;
dsv5.cy;7;10;6;6;6;5;8;6;8;8;5;5;6;12;4;4;4;4;4;6;11;13;6;6;4;6;5;4;4;5;4;4;4;3;4;4;4;6;5;4;5;5;4;4;4;4;6;5;5;3;3;3;5;5;5;4;4;4;3;4;4;4;3;5;4;5;4;4;3;4;7;4;5;4;4;4;3;3;4;5;4;5;4;
vd2.cy;89;12;9;12;9;12;12;9;8;8;10;
sd2.cy;146;67;58;54;54;55;69;60;48;53;56;
dsv1.cy;450;196;146;148;120;139;134;98;146;142;230;99;93;110;109;107;89;87;129;126;127;140;94;90;101;91;97;125;94;96;136;95;87;125;96;98;112;95;85;124;127;121;95;97;123;96;94;84;88;94;92;100;92;123;141;92;143;91;122;134;87;125;95;93;92;94;95;96;89;86;86;93;86;87;98;121;94;93;
dp2.cy;42;5;3;3;3;5;4;3;4;4;3;4;
dsv3.cy;61;12;10;5;7;6;6;4;5;4;4;4;4;5;3;4;4;8;5;5;4;3;4;4;17;3;3;4;5;3;4;5;4;4;4;3;3;3;3;3;5;4;3;3;3;4;5;3;3;4;4;4;3;3;3;5;3;3;3;3;3;3;3;3;2;3;4;3;3;3;5;4;3;3;3;
dp4.cy;68;7;5;4;4;4;4;4;
duc7.cy;52;39;39;38;25;35;26;
dv1.cy;77;8;7;7;5;5;4;5;5;7;6;5;7;4;5;5;5;5;5;6;5;6;5;4;6;3;3;4;3;10;4;5;4;4;4;4;4;4;4;4;4;6;3;3;4;3;5;4;4;4;4;4;3;3;4;4;3;5;4;3;4;3;3;4;4;3;3;3;3;4;3;
vf2b.cy;7;6;6;5;5;5;4;5;5;5;4;6;5;4;6;
duc3.cy;239;82;78;86;
duc5.cy;555;325;115;103;111;104;96;84;117;87;84;84;107;88;129;
duc1.cy;14;4;4;4;4;
qd2.cy;127;5;4;4;3;3;4;3;6;
vd6.cy;146;80;48;49;45;52;47;46;
vf3b.cy;15;14;3;4;4;104;4;5;4;4;3;
qd4.cy;1350;5;4;6;3;4;
qd6.cy;198;5;4;5;5;4;4;5;4;4;5;4;
dsv6.cy;58790;4832;5286;12707;10736;11133;10961;11383;9424;12452;11173;11149;10061;12160;14770;10963;11600;10299;9824;9402;11168;10721;11140;12085;22654;11871;11646;11356;13323;11198;11830;11312;10450;11537;11306;10980;11180;10305;10558;10344;9615;11141;10532;11156;11143;10410;13831;11030;10353;10672;12088;11291;11345;10218;10667;10598;10313;11075;10439;12025;10397;10380;11937;10911;11574;17053;10681;10424;10390;10979;10669;10458;12393;10865;10473;10242;13302;12062;10958;10522;10447;10410;10714;10453;10433;10450;10907;
vf4.cy;414;7;5;7;5;4;
sd1.cy;131;86;67;56;65;65;60;66;63;64;
vf2.cy;13453;145;82;110;104;
dsv4.cy;22177;6667;7444;6846;6241;5828;5404;5915;7767;5402;5644;7877;7683;5838;7445;5879;5703;5898;6862;5402;6497;5500;7129;5421;5917;7753;6839;5470;6162;5869;5646;7189;7458;8077;6970;5730;6710;5684;6568;6041;6889;7773;5682;6385;7067;7186;5869;5731;7729;5676;5716;5627;6693;5981;5450;8077;6212;7004;6410;12309;5428;7515;7103;7754;5483;5464;5957;6879;5424;7593;6922;5494;5779;6178;5660;6650;7498;7340;7116;5861;6258;
sd3.cy;285;172;114;69;69;67;81;70;
vd1.cy;44;6;6;11;7;5;6;5;5;
dp1.cy;16;4;4;4;3;4;3;
dsv2.cy;2626;265;257;655;345;312;282;332;330;260;324;277;251;245;278;250;244;253;262;302;255;393;234;246;319;239;240;241;245;243;250;244;236;235;235;259;247;238;247;281;249;250;245;243;237;333;241;309;309;312;313;311;328;314;266;242;238;236;245;319;262;321;253;246;318;318;242;251;337;309;312;237;248;240;248;240;240;235;235;246;236;249;237;275;352;329;319;250;237;247;239;241;315;235;250;260;238;235;233;237;242;
dp3.cy;515;4;3;7;3;5;4;3;3;4;3;4;4;
