duc7.sparql;20;20;22;34;20;31;20;19
duc6.sparql;78;12;14;14;17;15;12;13
vd7.sparql;154;76;85;84;77;80;75;84;75;110;95;80
vf2b.sparql;154;93;68;57;67;59;61;61;89;64;89;60;59;65;67;64
vd6.sparql;22;16;21;18;16;15;22;16;16
dsv5b.sparql;19122;14565;15366;15323;16071;17394;14976;14673;15805;14768;14696;14699;15406;14883;15417;15381;14950;14887;21579;15402;15524;17098;15472;17134;15445;15762;14983;15470;14770;17119;15125;15380;14673;21994;15468;15647;15457;15224;15458;15492;15094;14438;14782;21713;15516;15455;14890;16671;14750;15424;14998;15422;15443;15440;14533;15170;15424;15466;17135;15423;21610;17143;15440;14632;15426;14755;14772;14746;15436;14626;15499;21602;14924
vf3b.sparql;2374;1052;1069;1053;1051;1051;1577;1051;1057;1047;1071;1054
dv1.sparql;1002;3;3;2;3;5;4;4;4;4;3;4;3;3;4;5;5;3;5;7;3;3;3;3;3;3;4;4;4;5;6;3;4;2;2;5;2;4;2;3;4;4;3;3;3;3;3;2;4;3;3;2;2;2;3;4;3;2;3;3;5;3;3;3;2;3;4;2;4;3;5;2
sd1.sparql;9;7;7;10;10;8;6;8;7;10;6
duc1.sparql;98;12;13;12;13;17
vd5.sparql;173;48;48;59;51;46;55;52;48;68
vd1.sparql;19;4;4;5;5;5;5;5;5;4
vd3.sparql;29;7;8;10;8;8;9;7;11;7;7;7;11;8
vd2.sparql;41;14;14;16;14;13;18;14;14;12;13;13
vf2.sparql;184;108;107;114;100;101
vf3.sparql;4405;1618;1633;1607;1618;1633;1623
duc2.sparql;97;21;19;19;19;18;17;16;18;15;16;19;16;18;18
duc5.sparql;535;291;293;285;293;292;442;287;284;285;293;290;287;294;290;293
duc4.sparql;35;28;31;27;34;44;27;40;29;28;26;25;42;31;33
duc3.sparql;51;6;9;6;8
vf4.sparql;1352;256;242;250;251;244;242
sd3.sparql;44;4;4;5;4;5;5;6;6
sd2.sparql;3;2;1;1;2;2;2;3;2;2;1;2
dp3.sparql;51;5;5;5;6;4;5;7;4;5;4;4;3;4
qd4.sparql;1279;9;11;8;11;8;7
dsv2.sparql;159;52;51;35;31;32;33;31;29;35;36;51;34;36;33;34;33;29;32;32;32;30;34;29;35;30;29;36;32;29;31;30;31;36;37;31;32;36;29;29;36;35;33;31;30;31;35;49;50;36;34;33;36;32;52;30;29;31;37;30;31;31;33;47;31;31;35;32;31;31;33;31;45;35;34;33;33;35;31;31;31;29;30;29;35;36;39;31;30;29;30;36;29;29;29;29;34;47;30;35;51;34
dsv1.sparql;709;122;107;98;89;143;101;78;68;68;64;136;109;98;143;104;131;95;102;136;92;95;143;83;105;103;98;99;107;127;75;122;97;81;88;74;67;101;126;101;131;95;137;142;98;88;136;91;130;82;138;132;111;98;97;104;140;84;83;98;105;111;84;73;68;69;112;108;103;112;116;134;84;104;107;117;113;96;103
qd3.sparql;27;23;18;22;16;16;17;22
dsv3.sparql;23;3;2;5;2;3;4;2;4;3;3;3;2;3;3;2;2;3;2;2;3;2;3;3;2;3;2;3;4;2;3;2;2;2;1;2;3;2;2;2;2;3;2;3;2;3;2;3;3;3;3;3;2;4;2;2;2;2;2;2;3;2;2;3;3;2;4;2;1;2;2;3;4;2;3;3
dsv4.sparql;2469;1413;1358;2217;1368;1359;1353;1370;1868;1356;1357;1364;1357;1370;2202;2209;2216;1371;1401;1360;1397;1358;1364;1358;1351;1352;1350;1350;2237;1359;1352;1354;1354;1372;1353;1371;1354;1354;1352;1364;1406;1392;1355;1357;1357;2211;1370;1356;1353;1356;1357;1357;2208;1365;1359;1355;1359;1358;1355;1383;1356;1357;1353;1348;1363;1353;1353;1355;1352;1361;1355;1351;1359;1352;1360;1351;1354;1353;1399;1359;1364;2218
qd1.sparql;8;5;5;7;5
qd2.sparql;12;10;7;10;8;10;9;7;23;10
qd5.sparql;73;27;26;35;35;37;31;25;25;24;25;32
qd6.sparql;146;49;55;65;70;50;56;48;55;55;71;71;69
dsv5.sparql;14527;2760;3620;3025;2889;2827;2833;2856;2933;2931;3289;2894;3190;3046;3116;2906;2795;2862;2894;2926;2889;2877;2963;2874;3127;2891;2903;2863;3037;2928;2944;3056;2804;2797;2703;2707;2757;2982;2856;2807;2956;2994;2907;2821;2915;3141;2943;2811;2850;2787;2707;2772;2884;2857;2827;2996;3139;2914;2876;2957;2768;2924;3077;3115;3053;2884;2866;2909;3064;3025;2735;2935;2936;3122;2931;3050;2862;2849;2756;3009;2956;2851;3005;2984
dsv6.sparql;1087;83;84;84;83;132;88;83;79;78;83;82;82;84;83;134;82;76;103;76;85;76;83;82;79;133;79;84;79;81;80;81;76;76;76;84;133;132;83;81;78;85;76;89;83;132;132;132;94;82;77;78;80;78;83;83;77;77;89;83;95;83;80;84;81;84;83;84;78;79;78;78;76;75;77;76;77;104;132;77;76;81;82;132;132;132;132;78
dp1.sparql;31;3;4;2;2;4;3;2
dp4.sparql;7;5;5;5;7;6;6;11;7
dp2.sparql;4;4;6;3;5;4;4;4;4;6;4;3;5
