duc7.sparql;22;18;18;17;30;22;17;20;19;17;29;18;18;30;18;19;17;18;23;17;20;19;18;17;19;22;18;21;23;18;19;20;20;22;17;17;18;17;25;21;18;30;19;19;21;17;18;17;29;21;21;17;22;17;18;22;18;18;17;17;19;17;17;17;17;17;17;17;17;17;17;17;17;17;19;17;18;23;19;17;17;17;18;19;17;18;24;29;18;16;17;21;22;18;19;18;19;19;17;16;18;19;18;29;25;19;29;22;17;28;17;18;18;18;28;17;30;21;17;18
duc6.sparql;298;11;18;12;11;12;15;11;11;11;16;11;11;11;10;17;11;11;11;11;11;11;11;16;12;11;11;10;11;15;16;16;11;11;16;12;16;11;11;12;15;17;11;10;11;11;10;13;11;11;15;15;11;11;11;12;11;12;11;11;11;11;11;11;10;11;12;10;11;11;11;12;11;13;11;16;15;15;11;10;16;11;12;11;11;11;11;10;11;11;11;13;11;11;10;10;12;16;11;12;10;12;11;14;17;11;11;11
vd7.sparql;140;80;76;82
vf2b.sparql;118;56;54;56;56
vd6.sparql;21;15;15;15;15;15
dsv5b.sparql;14855;14386;14521;14209;14535;14363
vf3b.sparql;3182;1600;1957;1609;1602;1604
sd1.sparql;36;8;9;9;7
dv1.sparql;103;3;3;2;4
duc1.sparql;293;13;17;18;18;18;19;18;13;12;12;22;19;12;12;12;12;14;12;12;12;13;14;12;14;12;13;14;13;12;17;13;19;13;12;13;12;13;11;11;12;17;18;14;16;20;15;18;13;18;12;12;13;17;12;18;12;12;13;12;12;12;18;11;12;13;12;12;12;11;13;12;12;12;12;12;12;13;13;12;12;12;12;12;12;12;13;12;14;11;12;11;18;14;12;21;15;14;12;12;12;12;12;12;17;14;13;14;12;12;12;13;19;13;18;12;18;17;13;14
vd2.sparql;83;15;13;14;13;14;13;12;14;16
vd3.sparql;23;7;7;7
vd5.sparql;134;46;45;53;62;47;57;44
vd1.sparql;447;4;4;4;4;3
vf2.sparql;181;98;106;98;99;97
vf3.sparql;2844;1381;1318;1328;1318;1313;1321
duc2.sparql;431;15;21;21;16;21;16;16;26;28;16;25;26;17;26;16;18;16;15;15;15;29;15;33;25;15;16;15;16;17;15;16;26;26;16;15;17;16;15;22;26;20;18;20;18;25;18;17;19;19;16;16;26;16;16;25;16;21;16;16;16;15;16;202;25;17;14;15;16;15;14;17;15;16;15;17;15;16;16;15;15;15;16;15;15;21;15;15;15;15;16;15;15;16;19;17;15;15;16;15;14;16;15;15;16;15;18;15;15;15;16;17;15;15;16;27;15;14;22;15;15;14;15;19;16;19;19;16;22
duc5.sparql;973;296;288;443;304;288;303;302;443;295;289;300;291;294;288;295;287;292;295;286;288;288;286;286;288;287;301;306;295;292;286;287;287;292;295;294;292;301;295;296;293;288;289;294;444;292;290;287;289;293;362;288;295;300;288;287;286;287;285;291;293;287;293;292;289;286;286;295;288;287;297;293;287;443;298;293;296;287;286;287;294;295;293;288;298;288;289;296;289;289;288;287;300;288;289;288;296;295;296;287;289;294;383;296;296;296;286
duc3.sparql;117;6;7;7;8;6;8;8;13;14;9;6;9;11;6;6;5;8;6;6;6;7;6;6;6;6;6;6;9;6;6;10;6;6;7;6;7;6;7;6;12;6;6;7;6;6;9;6;6;10;8;10;6;6;6;6;6;6;6;7;10;8;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;10;6;6;6;6;6;7;6;6;6;5;6;6;9;8;6;9;8;6;6;6;6;6;6;8;9;8;8;6;6;10;6;10;10
duc4.sparql;29;26;25;25;29;39;29;32;25;24;40;39;27;24;24;25;33;40;25;25;39;25;27;26;24;25;25;25;27;24;25;40;25;29;39;39;27;25;32;40;30;27;26;26;29;24;25;25;24;27;26;32;27;32;27;24;25;25;31;25;24;25;34;34;25;27;25;25;27;26;25;27;25;25;24;28;26;30;32;25;25;25;26;25;25;26;30;30;26;31;32
vf4.sparql;1512;247;253;240;341;234;234;237;244;242
sd3.sparql;5
sd2.sparql;3;1;2;2;1;2
dp3.sparql;20;4;4;4
dsv2.sparql;48;31;29;30;29
qd4.sparql;78;7;8;8
qd3.sparql;30;14;14;15;15
dsv1.sparql;1614
dsv4.sparql;4477;1390;1348;1350;1352
dsv3.sparql;21;2;2;2
qd1.sparql;12;15;5;6;7
qd2.sparql;265;7;11;7;9;7
qd5.sparql;68;23;24;22;29;22
qd6.sparql;90;71;47;60;55;49;48
dsv5.sparql;19355;2840;2688;2635;2627;4106;3127;2842;2802;2681
dsv6.sparql;647;79;76;77;76;79
dp1.sparql;15;3;2;2;2;2;2;2
dp2.sparql;5;4;3;4;4;3;3
dp4.sparql;9;6
