query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;33.0;17.0;20.418803418803417;4.5262440016802925;17.0;17.0;17.0;117
duc6.sparql;157.0;10.0;13.557894736842107;14.996961245017152;10.0;10.0;10.0;95
vd7.sparql;154.0;76.0;86.7;23.89816357426282;76.0;76.0;76.0;10
vf2b.sparql;1335.0;56.0;315.0;570.2039108950411;56.0;56.0;56.0;5
vd6.sparql;20.0;14.0;15.428571428571429;2.0701966780270626;14.0;14.0;14.0;7
dsv5b.sparql;17247.0;14225.0;14904.7;1050.7744286953314;14225.0;14225.0;14225.0;10
vf3b.sparql;3157.0;1582.0;1786.0;553.9920061310838;1582.0;1582.0;1582.0;8
dv1.sparql;43.0;2.0;6.076923076923077;11.124009607312898;2.0;2.0;2.0;13
sd1.sparql;32.0;6.0;10.857142857142858;9.42388050696335;6.0;6.0;6.0;7
duc1.sparql;154.0;11.0;15.302325581395351;15.330914379270192;11.0;11.0;11.0;86
vd3.sparql;19.0;7.0;8.75;3.493500458643945;7.0;7.0;7.0;12
vd2.sparql;31.0;13.0;16.7;5.4984846397287805;13.0;13.0;13.0;10
vd5.sparql;102.0;45.0;53.6;17.487773506716696;45.0;45.0;45.0;10
vd1.sparql;18.0;3.0;5.454545454545455;4.227614844416088;3.0;3.0;3.0;11
vf2.sparql;195.0;98.0;109.85714285714286;24.722637221963016;98.0;98.0;98.0;14
vf3.sparql;3147.0;1539.0;1745.25;566.4051427329078;1539.0;1539.0;1539.0;8
duc3.sparql;774.0;6.0;14.407766990291261;75.58963474087487;6.0;6.0;6.0;103
duc2.sparql;100.0;15.0;18.045871559633028;8.554168705526543;15.0;15.0;15.0;109
duc5.sparql;647.0;289.0;306.8974358974359;51.67118560582313;289.0;289.0;289.0;78
duc4.sparql;42.0;24.0;27.440860215053764;4.179302952051978;24.0;24.0;24.0;93
vf4.sparql;1474.0;237.0;380.44444444444446;410.1152615762767;237.0;237.0;237.0;9
sd3.sparql;6.0;3.0;4.0;1.044465935734187;3.0;3.0;3.0;12
sd2.sparql;4.0;2.0;2.3333333333333335;0.816496580927726;2.0;2.0;2.0;6
dp3.sparql;6.0;4.0;4.5;0.674199862463242;4.0;4.0;4.0;12
qd4.sparql;1048.0;7.0;139.375;367.1465015105395;7.0;7.0;7.0;8
dsv1.sparql;2374.0;75.0;422.4285714285714;860.7819811355366;75.0;75.0;75.0;7
qd3.sparql;24.0;14.0;18.5;4.145095678246545;14.0;14.0;14.0;12
dsv2.sparql;48.0;29.0;34.0;6.5659052011974035;29.0;29.0;29.0;10
dsv4.sparql;3761.0;1349.0;1643.3;755.0668918123156;1349.0;1349.0;1349.0;10
dsv3.sparql;22.0;2.0;4.3;6.254775952999615;2.0;2.0;2.0;10
qd1.sparql;8.0;5.0;6.0;1.7320508075688772;5.0;5.0;5.0;3
qd2.sparql;13.0;7.0;8.5;2.5099800796022267;7.0;7.0;7.0;6
qd5.sparql;51.0;22.0;30.0;12.288205727444508;22.0;22.0;22.0;5
qd6.sparql;115.0;48.0;66.8;28.934408582170814;48.0;48.0;48.0;5
dsv5.sparql;5781.0;1752.0;2416.1428571428573;1486.0130583288321;1752.0;1752.0;1752.0;7
dsv6.sparql;221.0;76.0;98.0;49.82254223025672;76.0;76.0;76.0;8
dp1.sparql;23.0;2.0;3.846153846153846;5.771281686739289;2.0;2.0;2.0;13
dp2.sparql;22.0;3.0;5.166666666666666;5.356955263670745;3.0;3.0;3.0;12
dp4.sparql;8.0;4.0;5.285714285714286;1.2666473875533018;4.0;4.0;4.0;14
