duc7.sparql;78;34;24;20
duc6.sparql;35;13;11;12
vd7.sparql;149;87
vf2b.sparql;104;68;59
vd6.sparql;40
dsv5b.sparql;15765;15006;15013;15502;14989;15049;15054;15058;15003;15201;15573;14955;15046;14984;15058;17700;15076;15091;15073;15066;15245;15081;15144;15174;15168;15156;15105;15186;15111;15151;15091;15928;22847;15136;15109;15153;15146;15056;15227;15135;15148;15094;15155;15137;15310;15124;15114;15056;15056;15041;16036;15214;16507;17897;15173;16620;15066;15042;14995;15093;15072;15025;15248;15061;15152;15029;15137;15225;17692;15056;16613;16494;15133;15104;15256;15067;15088;22645;17714;17725;15088;21034;15127;15220;15101;15082;15248;15077;15066;22640;15032;15574;15072
vf3b.sparql;2997
dv1.sparql;48;4;2;3;3;6;4;3;3;4;3;3;3;4;2;3;6;4;3;7;2;4;6;4;5;3;3;3;3;3;4;5;4;3;2;2;2;3;2;2;2;2;2;3;9;3;3;3;3;5;4;2;2;3;3;5;5;3;3;2;3;4;3;3;3;3;3;4;2;3;3;2;3;3;3;3;3;3;2;2;4;3;2;3;2;2;2;3;3;4;2;4;3;5;3;5;2;2;4;3;2;5;3;3;3;2;3;2;2;4;4;3;3;3;2;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;2;6;3;5;2;2;2;3;2;4;3;4;2;3;4;3;3
sd1.sparql;54;8;9
duc1.sparql;125;14;12;14;20;14;12
vd2.sparql;21;19;21
vd1.sparql;26;6;4;6
vd3.sparql;36;12
vd5.sparql;113;58;74
vf2.sparql;203;116;167;115;172
vf3.sparql;2998;928;933;934
duc5.sparql;527;271;275
duc2.sparql;21;16;18;20
duc4.sparql;32;46;46;35;34
duc3.sparql;53;6
sd3.sparql;20
vf4.sparql;1817;355
sd2.sparql;2;2;2;2;1
dp3.sparql;94;5
dsv1.sparql;1550;144;84;72;86;66;100;102;119;81;124;100;129;129;109;98;99;79;88;101;80;92;80;111;83;85;83;82;104;95;80;103;98;93;101;102;73;86;101;126;127;83;71;81;71;96;111;88;110;109;99;98;95;71;74;70;76;98;90;89;120;110;99;110;100;99;106;94;87;72;118;82;118;122;126;81;83;99;136;76;88;124;113;115;126;97;127;96;139;120;81;90;77;113;126;100;71
dsv2.sparql;52;35;51;31;30;29;36;35;37;32;49;35;36;29;51;41;36;33;52;36;31;30;31;30;29;29;40;51;37;30;41;32;30;29;33;35;33;52;32;30;30;29;30;31;47;33;31;35;29;31;53;34;30;29;30;39;29;30;29;36;34;33;29;31;36;51;34;40;35;33;51;34;32;36;29;29;29;31;36;30;31;31;51;51;35;31;34;33;31;31;33;31;30;31;32;51;33;33;36;34;52;47;33;33;29;28;32;45
qd4.sparql;551;10;9;7;9
qd3.sparql;38;17;22
dsv4.sparql;3602;1504;1446;1492;1443;1455;1442;1455;1442;1444;1453;1441;2421;1451;1452;1448;1455;1443;1442;1442;1502;1453;1476;1449;1448;1450;1446;1455;1442;1441;1467;1448;1444;1495;1446;1440;1465;1456;1450;1447;1451;1447;1445;1445;1445;1446;1452;1442;1450;1441;1463;2392;1461;1448;1446;1452;1446;1443;1444;1460;2399;1453;1482;1449;1442;2401;1455;1447;2398;2395;2396;1443;1446;1445;1443;1466;1445;1448;1448;1448;1451;1447;1450;1464;1447;2378;1451;1450;1450;1453;1456;1444;1449;1441;1448
dsv3.sparql;111;3;2;2;3;2;3;2;3;3;3;3;4;3;3;3;5;3;3;2;3;3;3;3;2;2;3;4;2;3;2;2;5;2;4;2;2;2;2;5;2;2;2;3;2;2;2;3;2;3;2;4;3;3;3;3;2;3;2;3;3;2;3;2;3;3;2;2;2;2;2;2;2;2;2;3;2;2;4;3;2;2;2;2;2;2;2;1;3;3;2;2;3;2;3;2;2;3;2;3;3;2;2;2;2;4;3;3;2;2;4;3;3;3;2;2;2;3;3;3;3;4;3
qd1.sparql;8;5;5;7;5;6;5
qd5.sparql;60;23;26;25;23
qd2.sparql;15;8;7;10
qd6.sparql;105;52;62
dsv5.sparql;20020;2686;3995;3097;2893;2718;2814;2893;2885;3111;2884;2965;2766;3138;2784;2799;2880;2597;2741;2748;2897;2728;2859;2874;2866;2936;2861;2661;2771;2641;2711;2871;2782;2747;2732;2832;2644;2982;2865;2781;2847;2924;2938;3029;2740;2764;2792;2891;2966;2775;2720;2669;2890;2988;2734;2871;2821;2781;2671;2834;2681;3003;3050;3094;2831;3016;2663;2859;2982;2962;2715;2810;3025;2829;2730;3033;2819;2861;2832;2892;2908;2785;2933;2799;2803;2966;2973;2860;2874;2843;2758;2929;2796;2970;2823;2745
dsv6.sparql;315;83;76;78;79;78;84;94;85;83;83;84;80;83;80;134;91;81;87;77;82;84;82;78;77;78;85;83;82;229;80;79;76;84;79;93;77;133;94;83;77;84;77;79;81;78;80;78;92;103;77;76;133;133;83;82;84;77;79;77;84;81;76;83;82;81;84;83;75;81;133;83;78;79;76;83;133;132;77;76;78;78;77;88;90;76;81;132;79;84;78;83;78;78;88;97;84;84;79;85;84;86;80;75;75;75;76;77;80
dp1.sparql;29
dp2.sparql;23;4
dp4.sparql;12;7;7;6;7;9;7
