qd2.sql;32;3;1;88;41;
vf4.sql;78;232;197;119;80;53;30;123;
vd7.sql;686;120;118;2;46;2;85;79;72;
duc6.sql;5002;110;107;802;2;1;42;84;1;46;165;156;124;58;976;69;1;67;183;91;153;46;8;5;124;32;14;4;7;76;55;0;122;130;71;113;80;2;5;3;41;40;44;79;16;1;109;39;47;633;118;45;8;53;1;53;1;46;25;23;44;1;7;40;43;1107;1;41;93;25;2;1;2;62;1;4;44;24;23;79;1;0;87;84;0;1;43;84971;55;109;3;47;29;
dp4.sql;114;43;96;86;7;60;142;2;23;40;12;121;1;
sd2.sql;2;3;1;50;1;
qd3.sql;602;3;79;89;1;3;1;25;45;2;57;
vd3.sql;24;32;84;3;55;735;0;2;45;105;87;
dsv3.sql;0;5;114;2;40;1;49;37;
dsv5.sql;178;25;5;1;4;76;
dp1.sql;1;2;109;3;117;3;114;143;1;2;80;43;
qd1.sql;2;2;
vf2b.sql;57590;47;114;2;
sd3.sql;188;207;3;82;87;0;0;90;40;25;
duc2.sql;4551;41;32;28;24;26;23;700;91;70;3;164;85;10;85;38;81;56;111;3;161;30;112;64;148;20;52;106;128;68;1;4;85;58;91;163;147;277;147;118;7;88;89;0;83;40;145;81;81;24;86;43;780;113;1;51;2;51;12;0;43;0;152;3;87;53;1;78;13;24;1;2;118;38;80600;100;90;94;57;5;148;31;52;76;182;26;4;3;97;109;56;41;44;40;982;1;24;107;80;43;41;7;2;29;43;15;54;
vf3b.sql;85;45;0;87;1;232;26;
qd4.sql;143;2;27;118;1;31;47;
duc7.sql;250;94;53;61;53;55;51;42;41;44;44;39;39;106;81;589;167;105;50;43;23;80;28;136;1;75;1;237;101;62;49;241;6;1;99;63;57;88;47;96;1;2;51;1;86;87;1;84;80;114;2;45;2;86;112;80;45;24;61;41;47;24;46;2;5;90;0;53;45;52;32;1;1;44;3;45;2;630;46;1;37;77;46;1;47;4;56;35;45;29;1;88;51;43;908;140;129;2;44;98;2;107;3;40;1;79;12;234;80;1;82699;1;51;2;54;
dsv5b.sql;38;336;2;714;65;152;63;108;45;
dsv4.sql;3334;153;1;118;102;1;40;13;83;
duc3.sql;3579;56;45;48;46;2;24;52;65;130;78;154;44;3;83;6;3;136;2;12;85;315;5;2;2;75;5;159;79;127;53;58;1;168;54;89;2;310;17;85;1;31;1;4;80;112;24;80;8;78;106;1;105;85;114;53;0;54;0;46;45;53;87;0;86;105;1;892;0;2;107;85;45;28;58;1;28;115;100;126;37;2;4;3;82;41;144;82;24;8;48;24;125;2;121;227;39;29;47;
vd5.sql;3;1;747;131;5;73;40;42;2;
dsv6.sql;2;126;4;3;86;2;80;
dp2.sql;2;1;24;164;51;66;2;45;2;4;2;
qd5.sql;18;57;63;885;
vf2.sql;546;103;56;4;134;2;79072;2;83;44;116;81;57;
dv1.sql;35;79;52;79830;114;87;45;25;44;52;1;
dsv1.sql;85;3;81;45;61;65;
vd1.sql;820;161;52;2;78;45;88;107;1;891;
vf3.sql;76;24;59;86;50;4;108;
duc4.sql;81;118;80;78;77;78;77;81;40;45;23;3;43;144;2;79;44;1;1;162361;85;87;193;96;41;151;67;122;1;43;1;106;801;20;126;1593;3;227;53;1;11;2;106;113;26;114;25;6;5;28;24;5;2;78;1;79;664;2;87;1;86;86;45;40;24;48;44;109;84;3;126;24;81;76812;43;107;25;44;40;80;1;2;43;140;43;1;14;2;5;97;997;134;
dp3.sql;23;23;1;122;4;3;121;44;24;1;83;
qd6.sql;3;24;2;57;
duc1.sql;98;114;48;95;2;79;40;157;1;103;1;58;113;56;66;0;2;1135;14;4;168;163;66;2;150;33;1;10;63;2;2;117;99;103;28;915;1;116;2;26;46;114;48;3;2;40;108;24;79;85;24;53;13;86;119;38;24;108;90;89;82;24;55;1;638;135;107;40;1;2;6;23;25;108;45;112;1;2;136;63;57;366;29;110;
sd1.sql;251;343;3;2;105;63;
vd6.sql;60;114;24;31;31;80;
duc5.sql;1056;133;79;79;78;79;1;80;50;38;2;85;2;84;2;79;79;43;973;9;2;274;75;73;43;95;96;110;88;197;140;30;405;31;6;98;73;5;4;63;48;397;55;43;25;39;3;48;23;2;151;45;23;114;62;45;5;78;24;116;155;143;212;92;119;120;27;44;44;44;0;40;2;84;97;111;22;
dsv2.sql;91;2;50;3;3;84;107;1;87;
vd2.sql;12;2;58;29;997;90;1;1;1;
