query_name;avg_time;max_time;min_time;total_no
qd2.sql;2600;77832;1;31
vf4.sql;57;693;0;13
vd7.sql;58;898;0;50
sd2.sql;1909;77945;1;43
dp4.sql;21;193;0;32
duc6.sql;524;4752;0;10
qd3.sql;1945;78183;1;41
vd3.sql;2274;81544;0;37
dsv3.sql;89;995;0;15
dsv5.sql;17778;152059;0;13
dp1.sql;91;1096;0;41
qd1.sql;37;833;1;44
sd3.sql;90;889;1;43
vf2b.sql;3737;56374;0;16
duc2.sql;180;2344;1;17
vf3b.sql;35;166;1;16
duc7.sql;46;159;1;9
qd4.sql;19;164;0;25
dsv5b.sql;45;202;0;11
dsv4.sql;410;2590;0;9
vd5.sql;18;155;0;38
dsv6.sql;116;388;1;13
duc3.sql;64;727;0;18
dp2.sql;4879;81052;1;33
qd5.sql;2009;78449;0;40
vf2.sql;170;939;1;12
dv1.sql;10;61;0;13
dsv1.sql;79;937;0;15
vd1.sql;1818;80959;0;47
vf3.sql;145;1382;1;11
duc4.sql;457;4487;0;13
dp3.sql;103;678;0;28
qd6.sql;24;184;0;25
duc1.sql;7399;88097;0;12
sd1.sql;2788;81692;0;30
vd6.sql;115;1032;0;33
duc5.sql;5637;77474;0;14
dsv2.sql;32;167;1;13
vd2.sql;157;1607;0;40
