query_name;avg_time;max_time;min_time;total_no
qd2.sql;36;90;6;3
vf4.sql;1391;80005;1;144
vd7.sql;10;22;7;6
dp4.sql;256;866;0;11
sd2.sql;285;861;2;5
duc6.sql;118;738;5;9
qd3.sql;308;849;2;4
vd3.sql;182;537;3;3
dsv3.sql;277;1038;4;10
dsv5.sql;282;855;8;8
dp1.sql;293;845;2;8
qd1.sql;186;862;5;5
vf2b.sql;2814;171112;0;170
sd3.sql;199;772;6;4
duc2.sql;135;606;5;5
vf3b.sql;790;74894;0;138
duc7.sql;209;721;3;5
qd4.sql;377;977;6;7
dsv5b.sql;7;11;6;4
dsv4.sql;541;837;10;4
duc3.sql;270;1016;2;9
vd5.sql;321;861;5;11
dsv6.sql;38;98;2;3
dp2.sql;345;865;5;9
qd5.sql;9;20;3;4
vf2.sql;1201;73865;0;141
dv1.sql;330;828;11;5
dsv1.sql;211;796;0;7
vd1.sql;471;883;3;9
vf3.sql;256;1118;1;161
duc4.sql;104;609;6;8
dp3.sql;399;853;1;5
qd6.sql;422;758;13;5
duc1.sql;204;865;4;9
sd1.sql;395;837;8;8
vd6.sql;343;770;10;7
duc5.sql;494;924;0;7
dsv2.sql;282;852;12;8
vd2.sql;426;539;314;2
