qd2.sql;1;150;2;74373;25;6;850;3;
vf4.sql;1242;175;16;1;3;1;
vd7.sql;201223;1;50;893;933;63;18;1;79674;0;170;
dp4.sql;23;17;316;210;176;69;1;78;
duc6.sql;77874;2;10;1;12;7;
sd2.sql;1;1;1091;63;25;4;6;9;1;1192;
qd3.sql;1;12;306;79181;1;1;87;
vd3.sql;7;180;73581;1125;8;23;116;167;155;67;1;3;
dsv3.sql;511;0;190;1569;121;183;74964;203;994;2;5;15;157;1;0;6;1;73095;886;5;8;5;132;25;12;20;53;2;0;1106;1;73421;73486;1460;6;0;1096;80;65;11;334;30;271;76625;882;119;203;1;194;11;79337;246;935;4;11;963;79254;0;1;5;1;2;79303;0;79072;184;5;9;6;
dsv5.sql;1081;153;5;5127;3;218;40;1;1;0;74;72705;5;4;28;1;52;1117;4;1028;977;14;6;887;1;1;1;8;959;73538;1;164;5;1;404;0;881;1091;289;6;74071;5;199;12;6;117;75024;292;1;4;6;184;1092;88;77170;78157;5;170;76;1;5;6;5;182;256;858;8;0;10;11;268;14;4;0;2;23;846;1;0;
dp1.sql;7;0;2;81;268;880;5;
qd1.sql;212;5;3;
sd3.sql;68;49962;171;182;1;1086;865;16;
vf2b.sql;21;5;866;1;4;179;79;20;868;7;6;19;54;11;
duc2.sql;1;10;0;123;18;82379;995;1;865;195;187;25;193;166;
vf3b.sql;43;143;9;141;73912;4;142;255;913;78394;1;
qd4.sql;278;21;74105;72993;8;217;
duc7.sql;651;23;0;
dsv5b.sql;2047;120;429;1003;883;206;2;0;24;203;74430;450;75;159;1;890;76;436;19;659;28;421;277;953;1111;5;24;7;0;5;1;4;32;25;20;0;75061;69;1;169;1083;1058;6;78359;1;2;17;68;117;58;274;144;7;7;39;84437;10;85;6;0;145;212;4;
dsv4.sql;21;387;345;144;136;1;888;904;1133;16;7;2;73177;263;72154;50;1002;72457;0;2;144;70;867;73574;162;7;73595;6;72910;1;73551;185;192;28;1463;12;7;25;393;15;7;76214;1021;4;36;880;7;75;649;1;164;8;85;0;217;5;116;28;178;1;4;13;78346;153;154;1;7;1;8;4;10;80;118;3;180;0;167;0;
dsv6.sql;1712;0;0;891;73526;79;200;913;2;6;1;296;22;0;210;98;14;5;883;160;29;1;1;73675;72811;5;175;143;7;1;4;289;9;253;1;2;74916;1132;1097;10;79;5;1266;176;108;9;866;7;1;1113;77884;270;1;269;3;0;2;84;8;240;4;1;0;17;1106;242;4;10;22;7;1061;864;1;4;146;188;78591;244;232;1;3;
vd5.sql;1198;49;996;74096;1;3;151;
duc3.sql;348;77661;5;19;
dp2.sql;889;163;1054;1;0;4;1;4;5;121;1465;
qd5.sql;69;1;1;3;2;5;25;7;857;
vf2.sql;6;6;1;1006;1;
dv1.sql;32;303;1;213;61;1040;0;7;5;211;5;0;5;7;0;73541;156;73613;1;217;3;24;180;1;73523;5;73299;120;25;3;27;1;19;172;7;69;18;2;13;147;15;10;8;863;18;79219;1;1126;1;7;14;0;261;6;77868;224;17;14;23;26;14;0;0;
dsv1.sql;1;0;201;137;1;884;211;0;72369;72671;7;4;157;25;0;0;289;7;8;26;0;934;24;4;1;0;0;6;73454;4;24;79;81;73240;7;194;120;63;195;74832;27;0;19;855;152;959;23;0;5;8;77262;80;2;22;869;1;9;78423;23;149;28;3;26;46;231;7;10;6;0;1;79347;
vd1.sql;74226;223;1092;893;1;5;6;0;79579;
vf3.sql;3628;11;1;10;41;7;
duc4.sql;1;947;7;8;3;6;0;0;7;161;1;1;39;
dp3.sql;773;210;271;0;74001;25;26;5;24;14;3;308;
qd6.sql;0;27;6;1;868;1;82;157;123;124;
duc1.sql;1;27;24;79281;
sd1.sql;6;901;4;3;7;0;1752;5;5;
vd6.sql;76594;285;5;281;12;72761;125;
duc5.sql;71967;8;196;1112;6;37;1122;27;4;1;0;859;16;0;
dsv2.sql;507;74389;895;4;4;881;1;1055;853;263;5;212;1;6;73176;73554;3;15;155;6;157;75;156;154;73535;30;203;215;73521;184;175;144;8;209;23;257;77510;3;0;73500;4;27;73898;158;3;244;1;9;194;12;308;20;145;75626;25;6;76764;200;77428;6;279;58;148;155;78670;986;26;163;1040;3;887;918;55;0;162;0;5;647;20;5;20;1;1;849;1;19;78315;22;189;50;145;995;5;7;
vd2.sql;25;6;6;10;885;7;275;162;1;89;79385;
