query_name;avg_time;max_time;min_time;total_no
qd2.sql;94;760;1;12
vf4.sql;3422;86039;0;96
vd7.sql;161;784;1;17
duc6.sql;738;7969;2;15
sd2.sql;197;820;2;19
dp4.sql;175;930;0;15
qd3.sql;275;905;6;15
vd3.sql;4128;74465;2;19
dsv3.sql;223;960;1;18
dsv5.sql;18930;154424;1;16
dp1.sql;162;770;0;22
qd1.sql;147;838;1;13
vf2b.sql;1298;94081;0;92
sd3.sql;120;852;2;15
duc2.sql;22;139;0;14
vf3b.sql;1719;76496;0;97
qd4.sql;4138;76530;1;19
duc7.sql;6304;74229;1;12
dsv5b.sql;392;920;1;13
dsv4.sql;528;2352;4;13
dsv6.sql;167;992;5;11
vd5.sql;144;747;4;8
duc3.sql;189;991;4;14
dp2.sql;143;765;0;16
qd5.sql;308;890;2;15
vf2.sql;1126;74230;0;84
dv1.sql;56;201;1;10
dsv1.sql;90;867;1;21
vd1.sql;115;636;1;6
vf3.sql;2521;78480;0;98
duc4.sql;143;669;1;11
dp3.sql;176;624;6;11
qd6.sql;187;772;4;11
duc1.sql;100;779;2;19
sd1.sql;95;623;4;13
vd6.sql;213;893;2;11
duc5.sql;636;5115;1;14
dsv2.sql;114;768;0;19
vd2.sql;175;897;0;17
