query_name;avg_time;max_time;min_time;total_no
qd2.sql;44;341;1;24
vf4.sql;85;966;1;19
vd7.sql;154;742;1;17
sd2.sql;72;166;0;20
duc6.sql;228;5354;0;60
dp4.sql;174;1045;1;15
qd3.sql;47;158;1;12
vd3.sql;169;1775;1;15
dsv3.sql;45;155;1;12
dsv5.sql;16027;166089;1;15
dp1.sql;5442;80854;1;15
qd1.sql;55;379;1;16
vf2b.sql;10998;93379;2;16
sd3.sql;61;148;3;6
duc2.sql;1172;80122;0;79
vf3b.sql;8623;81177;1;19
duc7.sql;81;765;0;66
qd4.sql;179;1054;1;17
dsv5b.sql;50;124;0;9
dsv4.sql;144;977;1;17
duc3.sql;1425;81190;0;61
vd5.sql;65;156;1;16
dsv6.sql;251;968;1;16
dp2.sql;52;198;1;14
qd5.sql;232;1107;2;10
vf2.sql;6399;80864;1;13
dv1.sql;76;377;2;12
dsv1.sql;13990;80632;2;17
vd1.sql;101;942;0;19
vf3.sql;139;1495;0;24
duc4.sql;78;1015;0;69
dp3.sql;46;160;0;17
qd6.sql;158;981;1;17
duc1.sql;125;1091;1;56
sd1.sql;152;930;1;23
vd6.sql;7292;78650;1;11
duc5.sql;2245;79297;1;74
dsv2.sql;44;173;1;10
vd2.sql;31;116;0;18
