qd2.sql;13;2;1;
vf4.sql;48;46;
vd7.sql;48;
duc6.sql;6923;115;117;112;115;104;106;119;133;105;102;107;163;109;108;103;102;102;101;102;130;121;115;112;107;114;104;106;119;2;102;380;1;85;45;46;85;24;1;39;38;103;1;43;592;48;2;85;86;85;85;34;34;59;97;144;2;1;117;116;29;117;85;53;41;26;112;25;25;25;1;55;55;80;84;84;5;112;2;41;3;25;122;80;24;112;45;2;85;114;51;24;23;111;85;1;85;107;689;80;80;1;23;2;44;106;80;98;39;37;78;114;43;111;83237;80;80;82;84;23;23;0;49;91;24;107;94;24;23;23;1;79;44;
dp4.sql;149;2;83;87;98;
sd2.sql;143;143;4;57;
qd3.sql;93;
vd3.sql;
dsv3.sql;
dsv5.sql;192;143;125;
dp1.sql;153;
qd1.sql;2;113;38;
vf2b.sql;181;38;1;
sd3.sql;
duc2.sql;138;41;34;25;25;25;24;23;23;24;25;35;23;25;23;23;23;24;24;28;30;26;31;44;83;31;50;112;112;111;46;86;0;4;78;25;1;49;104;48;23;79;79;45;164;115;2;64;289;67;51;36;1;101;52;52;3;85;171;0;2;113;111;43;44;90;90;2;108;84;30;31;166;45;4;2;46;41;1;2;110;51;2;110;43;781;93;42;1;2;52;43;29;52;106;100;105;85;1;23;82;80;150;39;2;65;48;46;85;77;39;90;85;43;49;28;176;80;79;44;79;40;106;2;22;1;2;79;25;24;25;23;43;
duc7.sql;223;58;59;54;49;42;42;41;41;38;39;47;55;43;38;38;49;46;52;50;46;45;46;46;41;45;23;85;31;1;83;79;105;43;77;2;25;2;1;23;78;85;2;119;50;85;173;48;1;1;2;2;85;25;50;113;44;2;91;24;82;114;817;2;80;45;2;2;85;42;3;85;130;44;2;2;86;43;3;101;24;4;2;79;44;23;4;44;42;83;78;43;42;1;39;39;192;81;23;1166;115;2;2;23;23;721;80;79;2;39;25;80;23;106;39;
qd4.sql;17;
dsv5b.sql;41;
dsv4.sql;
duc3.sql;338;60;48;42;46;44;40;40;64;40;64;50;48;48;123;50;48;48;48;47;43;50;50;50;50;50;53;48;48;102;77;23;6;3;43;41;41;102;1;976;115;23;89;114;166;204205;44;6;56;100;85;88;87;306;42;5;116;10;82;87;90;127;82319;112;1;34;1046;2;3;25;45;2;43;88;168;110;1;2;49;31;2;44;38;114;1;114;1;43;44;23;110;2;1;58;968;2;36;85;87;53;154;111;182;46;81;40;87;45;80;4;24;3;116;90;168;4;115;85;43;43;80;24;1;25;80;48;46;38;23;44;39;42;
vd5.sql;37;3;59;80;103;151;
dsv6.sql;40;
dp2.sql;1;
qd5.sql;2;121;
vf2.sql;57447;107;2;26;109;27;
dv1.sql;2;5;111;
dsv1.sql;72;1;
vd1.sql;1;1;44;
vf3.sql;
duc4.sql;223;84;83;77;76;115;84;84;89;82;92;79;86;85;84;79;80;83;86;86;86;102;24;86;24;24;113;23;24;39;103;24;42;39;85;113;2;60;85;85;126;37;52;3;64;1;87;44;25;1;1;152;2;109;58;49;79;31;80;1;80;80;2;23;24;23;50;85;43;85;925;82;39;2;107;1;39;6;84;24;106;44;104;25;3;86;46;111;78;87;69;49;85;79;2;109;1;43;79;23;1;106;79;2;1;
dp3.sql;189;109;98;80;81;
qd6.sql;86;111;
duc1.sql;180;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2;2;2;1;1;1;3;1;1;38;2;57;43;110;1;76;79;34;41;80;39;77;107;24;113;149;35;58;258;87;2;52;2;1;134;61;2;46;117;118;2;50;25;40;111;25;87;89;119;45;45;37;54;81;1;2;57;110;25;45;81;44;26;85;154;1;50;85;23;49;39;42;51;49;49;1;1;25;106;39;80;85;44;80;106;80;23;66;115;49;135;706;54;29;39;79;39;106;51;110;2;39;106;79;39;24;
sd1.sql;168;85;
vd6.sql;86;26;43;
duc5.sql;5139;95;82;84;80;75;73;76;79;73;83;83;72;116;81;73;73;74;73;79;79;86;83;83;83;96;76;78;24;24;111;85;2;686;39;2;79;44;2;82;48;24;112;1;58;50;384;163;66;35;50;0;116;85;41;21;24;117;90;25;84022;0;82;71;1;47;44;1;25;50;47;128;44;2;84;112;112;39;80;80;39;24;43;83;105;78;27;24;2;103;90;2;44;3;949;23;85;19;109;117;37;44;37;114;49;106;79;44;50;79;44;79;43;79;39;80;24;1;
dsv2.sql;187;
vd2.sql;27;62;85;92;25;
