query_name;avg_time;max_time;min_time;total_no
qd2.sql;34;88;1;6
vf4.sql;111;232;30;9
vd7.sql;121;686;1;10
duc6.sql;1039;84971;0;94
dp4.sql;71;249;1;14
sd2.sql;22;80;1;6
qd3.sql;76;602;1;12
vd3.sql;109;735;0;12
dsv3.sql;30;114;0;9
dsv5.sql;57;178;1;7
dp1.sql;50;143;1;13
qd1.sql;1;2;0;3
vf2b.sql;11561;57590;2;5
sd3.sql;72;207;0;11
duc2.sql;870;80600;0;108
vf3b.sql;69;232;0;8
qd4.sql;56;143;1;8
duc7.sql;784;82699;0;116
dsv5b.sql;154;714;2;10
dsv4.sql;384;3334;1;10
duc3.sql;103;3579;0;100
vd5.sql;104;747;1;10
dsv6.sql;43;126;2;8
dp2.sql;36;164;1;12
qd5.sql;207;885;13;5
vf2.sql;5739;79072;2;14
dv1.sql;6703;79830;1;12
dsv1.sql;48;85;1;7
vd1.sql;204;891;1;11
vf3.sql;51;108;2;8
duc4.sql;2667;162361;1;93
dp3.sql;37;122;1;12
qd6.sql;22;57;2;5
duc1.sql;89;1135;0;85
sd1.sql;109;343;1;7
vd6.sql;52;114;24;7
duc5.sql;98;1056;0;78
dsv2.sql;56;136;1;10
vd2.sql;119;997;1;10
