query_name;avg_time;max_time;min_time;total_no
qd2.sql;62;896;0;59
vf4.sql;150;890;0;13
vd7.sql;107;1879;0;35
dp4.sql;1999;77296;0;39
sd2.sql;66;1074;0;50
duc6.sql;613;4882;1;8
qd3.sql;111;1107;0;34
vd3.sql;50;675;0;45
dsv3.sql;7;44;0;9
dsv5.sql;17342;155363;2;9
dp1.sql;1914;77714;0;41
qd1.sql;1798;76170;0;43
sd3.sql;74;1006;0;40
vf2b.sql;49;159;1;8
duc2.sql;359;3610;1;11
vf3b.sql;258;1109;1;8
qd4.sql;116;1624;0;48
duc7.sql;47;169;0;13
dsv5b.sql;14998;74811;1;5
dsv4.sql;268;2438;0;14
vd5.sql;33;364;0;50
duc3.sql;58;141;0;7
dsv6.sql;80;651;0;10
dp2.sql;2425;79377;0;35
qd5.sql;35;161;0;33
vf2.sql;5334;57781;0;11
dv1.sql;61;168;0;9
dsv1.sql;5;5;5;1
vd1.sql;37;227;0;40
vf3.sql;50;199;1;7
duc4.sql;69;347;1;9
dp3.sql;65;1008;0;49
qd6.sql;52;872;0;32
duc1.sql;90;649;1;9
sd1.sql;4912;78151;0;32
vd6.sql;143;5170;0;42
duc5.sql;6640;78891;1;12
dsv2.sql;25;168;0;9
vd2.sql;55;1022;0;41
