qd2.sql;1;3;21;615;6;795;
vf4.sql;1782;22;5;26;20;23;23;23;23;5;23;14;12;11;4;14;4;11;4;10;10;18;15;21;5;20;21;5;8;7;21;22;21;5;12;5;20;13;16;9;18;24;8;7;21;23;8;6;6;22;19;21;7;21;19;19;22;22;64;5;20;7;21;19;14;608;8;824;813;13;653;139;11;6;5;11;356;13;6;5;7;9;2;5;591;2;4;586;11;75452;9;775;1;4;4;192;7;903;194;7;0;5;920;596;5;801;5;800;913;7;592;3;17;792;19;9;591;23;5;589;586;6;18;6;17;588;16;0;17;1057;26;5;783;5;72;802;603;602;806;5;5;18;
vd7.sql;366;15;7;8;187;4;
sd2.sql;2052;166;158;12;5;807;4;13;4;
duc6.sql;5013;175;167;275;264;260;226;100;14;901;5;10;
dp4.sql;124;7;
qd3.sql;29;9;9;8;8;22;5;3;16;
vd3.sql;36;604;5;3;5;3;15;
dsv3.sql;14;1;0;1;1;0;805;24;781;
dsv5.sql;158797;73679;75745;75299;1032;30;923;
dp1.sql;1;2;5;52;2;
qd1.sql;46;2;1;2;2;1;2;3;2;689;799;792;579;607;13;
vf2b.sql;93763;582;576;627;630;620;706;646;912;867;959;923;850;861;854;865;856;950;838;840;843;856;839;840;858;851;840;1042;821;868;936;822;818;813;809;817;814;815;814;812;811;880;811;811;806;799;800;798;819;799;802;798;791;893;1006;813;818;816;817;815;967;807;12;21;161;605;20;21;13;801;5;11;10;12;12;796;589;12;279;789;11;4;18;4;637;13;603;4;2;883;4;162;75147;15;609;3;3;9;20;18;2;14;1;17;15;26;587;585;156;6;4;5;17;22;0;2;156;12;17;6;610;15;605;6;602;23;2;5;603;601;
sd3.sql;781;163;70;120;2;641;
duc2.sql;2414;76;610;12;14;
vf3b.sql;3042;19;8;7;12;19;5;12;4;5;18;5;21;21;22;21;16;22;22;9;8;5;4;5;6;4;4;4;3;5;6;5;4;5;6;6;12;4;8;4;12;7;8;4;12;5;6;5;10;5;8;11;13;4;6;12;9;6;5;4;12;10;15;12;12;13;4;74;4;20;814;5;917;681;19;5;5;4;6;13;796;5;5;1;9;586;276;6;5;697;11;581;27;76;2;74763;3;6;6;14;8;0;800;5;3;815;5;20;797;592;593;23;792;5;5;14;4;4;2;10;6;5;273;687;5;4;176;572;578;75116;1;7;18;22;17;275;162;6;605;17;18;4;
qd4.sql;5;2;1;814;5;7;
duc7.sql;125;798;14;5;2;20;
dsv5b.sql;11;0;800;161;585;
dsv4.sql;2176;916;924;917;1017;924;0;5;
vd5.sql;332;9;10;13;12;13;6;597;5;1;583;610;
duc3.sql;363;182;
dsv6.sql;272;187;205;176;190;192;584;8;
dp2.sql;84;3;2;2;144;18;17;
qd5.sql;24;2;3;813;590;2;602;
vf2.sql;412;436;435;439;442;449;520;848;651;652;645;646;724;648;803;638;644;631;632;714;644;623;625;625;624;627;625;625;613;607;803;643;606;603;713;608;608;600;700;597;594;650;762;589;592;591;589;591;590;588;608;614;612;598;601;21;12;809;12;13;13;4;594;167;800;3;2;11;14;12;6;11;4;793;580;22;9;14;12;23;195;155;598;71;8;3;22;8;5;591;158;193;6;157;147;685;17;797;5;6;26;585;795;157;588;800;4;5;588;4;5;781;6;170;780;156;5;796;18;73;156;54;22;153;803;602;802;0;6;609;7;16;9;
dv1.sql;1;0;145;4;7;17;17;
dsv1.sql;808;783;
vd1.sql;280;1;1;2;1;3;3;121;162;587;904;802;
vf3.sql;13;13;18;7;22;13;57;12;7;22;10;66;21;24;6;23;8;9;11;7;8;8;7;5;7;5;6;12;13;16;7;14;13;14;13;13;6;14;10;8;14;6;10;10;6;5;5;14;6;7;9;14;12;13;5;13;2;811;2;147;162;21;843;592;17;278;36;661;797;14;788;24;9;21;7;2;12;793;5;4;809;20;27;69;3;2;8;6;5;5;2;6;6;598;163;2;17;7;18;585;1;590;17;16;1;14;16;599;597;2;8;3;21;23;4;15;76;779;5;799;5;2;601;28;809;12;905;811;17;23;603;15;597;
duc4.sql;429;154;159;165;17;6;
dp3.sql;20;4;4;2;5;795;21;70;597;15;6;16;
qd6.sql;64;4;5;4;8;11;4;6;9;7;16;
duc1.sql;85;4;12;10;2;606;
sd1.sql;165;172;167;803;801;859;635;15;17;140;23;
vd6.sql;182;93;68;147;150;1;884;21;17;590;
duc5.sql;234;4;806;
dsv2.sql;185;132;810;
vd2.sql;10;5;5;8;190;7;16;13;
