qd2.sql;6;90;
vf4.sql;1565;21;7;12;5;5;11;4;668;645;362;15;373;164;113;5;5;17;637;7;16;176;11;8;834;982;883;1;883;21;5;632;23;875;880;77;634;19;3;6;757;18;7;20;868;867;865;21;629;630;2;156;870;856;5;4745;10;12;6;868;12;9;861;5;849;609;29;5;8;6;5;80005;11;5;5;10;838;4;8;840;1;10;842;161;27;1038;79244;1036;817;5;13;23;10;5;9;6;22;792;12;177;11;13;773;19;19;601;549;1;6;5;544;2;761;5;73;548;540;4;539;13;19;180;8;10;13;12;4;13;13;6;17;754;5;535;11;9;6;760;4;561;5;6;4;
vd7.sql;7;7;7;10;7;
dp4.sql;118;9;847;866;0;1;1;21;774;182;
sd2.sql;22;861;2;5;
duc6.sql;738;6;5;9;13;6;5;266;
qd3.sql;377;849;2;
vd3.sql;3;8;
dsv3.sql;868;21;16;6;1038;11;17;7;4;
dsv5.sql;65;855;22;11;8;582;156;
dp1.sql;7;2;845;9;547;8;775;
qd1.sql;22;5;23;862;
vf2b.sql;27420;555;13;18;15;677;650;22;18;649;25;25;24;171112;88;23;889;22;23;880;22;18;634;22;2;7;632;635;22;636;22;8;20;6;158;8;624;2;627;21;913;11;21;6;21;618;17;604;11;6;0;609;4;1;844;1;5;7;5;100;847;848;4;606;6;7;6;3;3;612;599;673;855;841;841;2;11;4;3;8;841;843;844;1;8;3;841;603;843;839;604;76;849;4;79775;17;595;122;13;6;815;10;585;78878;803;7;8;70;570;18;794;795;796;16;4;164;794;163;6;2;11;559;0;5;3;12;547;6;772;829;769;1;770;11;12;12;3;539;12;15;7;19;17;7;13;164;7;8;13;536;7;2;73;16;3;5;881;765;14;19;536;1;23;5;78314;0;22;636;568;
sd3.sql;7;6;772;
duc2.sql;45;5;606;6;
vf3b.sql;5;1343;4;638;8;6;371;369;639;631;46;7;662;24;631;77;644;7;1006;6;631;20;155;6;870;637;869;0;162;620;865;3;6;8;20;3;18;4;23;74894;5;6;607;863;89;6;4;6;8;11;7;6;5;71;630;5;5;6;5;168;17;17;848;22;10;6;11;5;45;6;159;3;199;862;8;3;8;844;879;589;2;584;238;119;13;22;254;791;188;5;647;197;18;558;218;12;163;547;772;6;7;6;7;7;16;20;5;4;538;766;762;762;8;6;2;634;1;848;8;5;543;19;9;537;20;748;19;12;544;7;785;1;616;22;787;563;18;
duc7.sql;290;721;3;13;
qd4.sql;866;11;10;977;13;760;
dsv5b.sql;6;6;8;
dsv4.sql;837;757;10;
duc3.sql;8;504;14;1016;863;4;5;15;
vd5.sql;10;629;861;11;11;5;581;859;543;13;
dsv6.sql;98;14;
dp2.sql;865;126;5;9;12;547;768;18;
qd5.sql;6;8;20;
vf2.sql;60114;23;10;24;19;27;658;25;661;646;7;25;24;891;73865;20;637;882;21;4;22;875;2;19;7;23;877;633;0;21;23;3;22;1;22;20;21;22;23;4;20;8;22;1071;7;82;115;3;619;6;847;2;7;15;6;605;182;612;866;837;3;11;6;843;601;5;4;835;2;7;839;842;11;593;0;5;815;15;10;585;820;1080;264;13;583;8;17;8;12;778;558;139;15;7;18;551;568;153;10;123;4;767;14;626;10;133;21;2;21;765;542;539;20;5;6;779;763;269;3;6;759;764;543;756;18;756;19;12;165;2;18;2;5;9;23;9;17;7;566;775;
dv1.sql;23;828;776;12;
dsv1.sql;634;7;0;12;796;19;
vd1.sql;883;871;7;8;3;866;835;7;
vf3.sql;1118;23;18;379;427;12;131;733;7;20;462;11;41;8;8;19;159;650;634;170;4;20;6;20;11;636;21;638;22;19;9;161;9;4;5;634;626;900;20;622;3;627;20;2;8;844;12;8;850;5;4;6;853;847;7;3;5;5;7;605;6;605;7;6;611;847;615;111;12;8;4;847;606;8;5;8;5;602;620;4;8;7;5;841;844;830;825;10;801;894;566;4;902;4;563;5;6;7;554;19;774;828;7;14;6;118;771;1;6;142;769;5;927;13;611;14;9;642;769;12;5;13;761;12;2;2;10;20;13;6;13;17;7;17;2;54;879;1;169;12;537;5;756;12;536;536;7;8;9;20;13;13;1;6;786;783;789;11;11;568;
duc4.sql;23;609;6;143;13;7;13;
dp3.sql;419;717;7;1;
qd6.sql;599;584;156;758;
duc1.sql;21;865;9;173;144;7;615;5;
sd1.sql;8;347;837;11;619;13;551;
vd6.sql;10;12;75;215;605;715;
duc5.sql;16;609;924;799;0;558;
dsv2.sql;852;12;158;19;568;14;20;
vd2.sql;314;
