qd2.sql;137;1;1;6;17;3;168;20;23;1;2;
vf4.sql;1105;6;11;15;14;16;16;21;8;12;2;18;630;39;8;211;21;16;7;5;2;170;19;4;5;1;15;70;4;769;830;606;20;86039;5;8;18;123;1060;172;1;11;74910;37;74458;24;18;6;4;1;935;19;22;210;21;885;22;17;587;798;87;7;573;1;5;107;3;7;4;138;303;34;16;23;1;19;13;6;558;2;185;4;1318;616;23;10;162;77255;937;0;20;672;19;5;269;
vd7.sql;334;22;8;5;72;629;158;151;147;3;784;7;85;2;1;14;
duc6.sql;7969;260;256;711;21;588;16;637;6;24;8;550;19;2;
sd2.sql;183;5;675;4;67;58;105;820;163;809;2;22;20;7;781;6;2;7;
dp4.sql;129;930;849;164;1;22;4;149;27;4;183;0;157;7;
qd3.sql;64;8;7;144;6;801;7;774;188;265;20;905;766;7;
vd3.sql;22;6;2;183;67;74465;841;819;8;594;21;6;2;569;9;770;23;6;
dsv3.sql;1;1;935;3;23;3;2;893;8;960;7;46;24;1;6;5;930;
dsv5.sql;154424;73552;73385;180;178;159;3;1;23;23;24;5;20;785;3;
dp1.sql;1;2;1;1;0;1;1;1;638;7;0;186;146;12;8;23;55;205;756;757;8;
qd1.sql;2;3;9;8;4;9;809;198;9;1;23;838;
vf2b.sql;94081;651;752;697;708;748;718;647;665;898;858;1068;851;641;6;857;21;18;73;1;625;42;835;0;3;17;165;9;873;19;7;2;15;15;915;2;26;1;121;88;584;1014;808;5;984;6;52;1;16;16;57;8;273;584;906;18;6;0;955;115;2;18;162;147;8;224;21;28;140;6;9;13;9;169;171;2;174;8;558;5;15;763;569;17;125;10;638;153;1;19;7;
sd3.sql;287;103;97;119;6;6;274;4;20;17;852;7;11;2;
duc2.sql;139;10;23;2;14;18;17;0;75;3;8;5;1;
vf3b.sql;10;15;8;11;17;8;16;15;16;43;8;18;20;6;6;855;10;24;2;3;756;155;1580;8;918;13;18;813;618;2;23;2;42;6;8;18;121;98;16;2;740;893;8;595;2;6;29;8;165;816;74797;4;6;739;789;6;0;3;88;7;3;911;4;1;7;5;3;7;76496;1;172;141;148;19;2;39;19;11;1;42;632;3;18;13;3;6;4;5;227;197;77;12;2;22;4;555;
qd4.sql;38;2;1;55;19;21;13;25;808;49;76530;194;1;9;4;564;268;6;
duc7.sql;276;153;4;22;4;74229;1;100;593;249;8;
dsv5b.sql;854;920;730;821;20;3;5;801;175;1;21;744;
dsv4.sql;2352;911;905;213;8;829;183;16;861;559;4;14;
dsv6.sql;992;194;243;184;22;5;172;6;5;11;
vd5.sql;17;4;18;168;16;747;20;
duc3.sql;237;170;4;991;5;760;5;7;6;175;6;9;6;
dp2.sql;2;17;1;145;593;23;271;5;15;4;2;765;0;120;151;
qd5.sql;63;2;5;2;5;627;6;12;596;3;889;890;759;20;
vf2.sql;409;416;484;451;485;446;504;441;772;767;864;20;643;2;74230;22;5;55;23;194;167;630;76;28;7;8;838;19;4;14;6;21;5;14;23;17;1018;5;803;6;177;21;62;610;908;16;2;5;4;22;2;116;49;7;20;188;569;788;23;6;830;3;727;22;0;5;766;69;666;2;758;36;549;545;21;0;747;20;13;127;19;0;2;
dv1.sql;4;11;19;144;201;154;5;2;20;
dsv1.sql;78;8;6;6;867;2;7;25;3;33;9;813;1;7;6;18;11;1;1;3;
vd1.sql;4;21;636;14;1;
vf3.sql;2390;15;7;8;13;8;15;6;16;6;8;21;3;1;206;17;85;6;4;5;51;2;633;61;20;3;951;78480;6;55;9;96;18;819;1;6;15;228;181;4;9;2;1068;639;17;20;19;74142;164;797;5;5;4;4;576;623;5;20;992;3;23;21;566;1;8;7;6;3;2;23;3;20;8;77020;0;5;5;867;757;20;189;836;70;627;3;9;20;3;6;546;57;211;1;621;756;10;1;
duc4.sql;107;153;669;19;7;1;19;6;19;559;
dp3.sql;28;6;23;10;624;20;16;6;574;72;
qd6.sql;72;6;638;9;172;4;167;76;19;772;
duc1.sql;140;2;3;4;3;13;36;6;9;257;11;598;7;5;779;7;3;14;
sd1.sql;175;9;46;4;623;156;157;5;23;6;18;8;
vd6.sql;19;2;760;893;2;17;567;40;6;22;
duc5.sql;5115;132;916;1026;21;1;18;5;22;773;856;19;5;
dsv2.sql;169;9;78;152;5;7;18;7;278;13;599;23;15;5;23;6;768;0;
vd2.sql;43;1;20;67;105;23;19;707;153;882;0;20;19;897;1;6;
