duc7.sparql;19;19;21;18;19;18;21;18;
duc6.sparql;60;14;12;11;11;11;11;11;11;
vd7.sparql;173;75;75;75;85;74;78;83;80;77;82;82;81;76;82;82;82;111;87;76;75;260;87;76;73;76;83;77;75;82;110;83;74;75;112;74;81;111;81;91;75;82;82;72;83;75;91;112;75;
vf2b.sparql;348;42;44;42;65;48;45;51;51;54;48;44;45;52;51;50;
vd6.sparql;57;15;22;20;15;17;25;15;15;17;17;16;15;20;15;19;15;17;16;15;16;14;15;18;21;15;22;14;17;15;15;23;
vf3b.sparql;2876;1460;1457;1561;1459;1461;1459;1464;1452;1449;1454;1465;1451;1451;1462;
dsv5b.sparql;15268;15313;15044;14963;15009;14928;15359;15070;15011;15091;
sd1.sparql;8;6;6;9;6;7;8;6;9;7;7;7;10;7;10;9;9;6;7;6;7;10;7;7;7;7;9;6;9;
dv1.sparql;46;3;2;2;3;4;3;3;7;4;2;2;
duc1.sparql;286;13;12;12;11;13;12;13;12;12;19;
vd3.sparql;82;18;10;8;8;8;8;7;8;10;8;14;9;12;7;9;8;8;7;10;7;8;10;7;12;11;8;8;11;11;11;11;12;8;12;8;9;8;
vd5.sparql;112;50;51;50;73;50;50;49;51;58;57;51;56;51;57;62;56;57;51;49;55;51;57;49;56;58;52;73;73;57;49;73;64;54;57;75;57;
vd1.sparql;333;6;6;4;6;4;4;4;4;6;6;4;4;6;5;5;5;5;4;5;4;5;5;4;4;5;4;3;4;3;6;7;6;6;4;4;4;6;4;4;4;4;6;3;8;4;
vd2.sparql;56;14;21;13;21;12;16;18;13;12;19;12;14;13;14;14;12;13;14;13;14;14;17;18;19;14;13;12;19;13;14;14;12;14;13;21;18;18;14;
vf2.sparql;200;116;111;116;122;122;124;116;118;116;118;
vf3.sparql;4152;1581;1578;1583;1564;1575;1577;1580;1568;1566;
duc4.sparql;776;34;31;26;26;28;26;26;192;36;27;25;
duc2.sparql;44;19;17;19;16;16;21;17;16;16;17;16;18;16;16;16;
duc5.sparql;487;271;271;270;272;272;277;277;273;271;270;278;418;
duc3.sparql;34;6;7;6;6;6;8;7;6;6;6;6;6;5;6;6;7;
sd3.sparql;131;4;5;6;7;5;4;4;4;3;4;4;4;7;5;4;4;3;3;3;6;5;3;3;4;5;4;6;4;3;4;5;4;3;5;3;5;3;4;3;5;5;
vf4.sparql;2042;357;340;345;339;336;337;340;340;336;514;345;
sd2.sparql;3;2;2;2;2;5;2;2;3;1;2;2;2;2;2;3;2;2;2;3;2;2;2;2;3;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;
dp3.sparql;9;5;5;4;5;5;5;4;4;6;5;5;5;4;4;5;5;4;4;5;4;4;4;5;6;6;4;4;
dsv2.sparql;45;52;29;32;29;52;35;34;31;31;30;30;
dsv1.sparql;2321;61;61;94;114;120;87;106;111;76;71;102;102;93;100;
qd3.sparql;36;15;14;17;15;16;14;14;18;15;14;15;24;15;17;14;18;15;17;16;15;14;15;16;17;15;14;14;14;14;15;16;21;16;15;17;19;20;21;21;
qd4.sparql;21;12;8;8;9;8;8;8;8;7;9;8;8;8;8;12;8;9;8;8;8;8;9;8;
dsv4.sparql;3901;1495;1477;1458;1446;1442;1442;1446;1442;
dsv3.sparql;31;2;2;2;2;2;2;2;2;2;2;2;2;2;
qd1.sparql;8;7;4;5;15;7;7;5;5;5;7;4;5;7;6;4;7;5;5;5;12;7;5;5;5;5;4;4;7;4;5;6;6;5;5;5;5;4;5;6;7;7;6;
qd2.sparql;500;7;6;10;6;7;6;8;6;7;9;7;7;7;9;7;6;6;7;6;6;13;6;6;6;9;7;7;6;6;
qd5.sparql;51;25;24;24;25;35;24;24;26;35;30;24;24;26;25;32;28;32;24;23;34;24;25;28;25;25;25;24;30;25;35;32;25;24;23;24;28;23;23;
qd6.sparql;174;53;60;60;54;61;53;54;60;61;64;61;53;61;52;59;54;62;65;62;52;51;54;61;78;
dsv5.sparql;6263;2962;2883;2790;2918;3019;2870;2885;2967;2814;2740;2689;
dsv6.sparql;195;79;90;84;82;82;90;133;82;76;77;134;
dp1.sparql;177;3;3;3;2;3;2;2;3;2;5;3;2;2;2;2;2;2;3;3;2;3;2;2;2;3;3;2;2;2;2;3;2;2;2;2;5;3;3;2;2;2;
dp2.sparql;4;4;5;5;3;5;4;4;5;4;3;4;4;3;5;4;3;3;4;3;4;3;4;5;4;3;4;4;4;3;4;5;
dp4.sparql;9;7;6;6;8;6;6;6;6;6;5;6;6;6;5;8;12;4;5;5;6;7;5;6;5;5;5;5;6;5;5;7;7;
