duc7.sparql;65;18;19;18;
duc6.sparql;98;12;11;12;11;11;11;11;
vd7.sparql;148;110;81;111;76;
vf2b.sparql;65;43;43;44;44;44;43;67;44;44;44;44;44;44;46;47;44;43;44;66;66;44;44;43;46;44;48;42;48;44;44;44;43;42;48;44;44;44;44;44;43;50;47;47;44;44;45;48;44;50;50;43;43;43;44;44;49;44;44;44;43;44;44;47;47;47;48;48;47;50;49;49;44;49;45;44;44;44;51;67;49;51;49;49;44;45;49;44;66;66;52;42;42;47;48;44;43;67;48;48;67;67;48;48;44;52;50;43;41;47;42;45;43;44;44;50;42;42;42;42;43;43;43;47;44;44;48;44;44;44;43;44;43;43;43;44;44;42;47;47;43;45;44;43;43;44;43;44;44;43;42;44;43;42;47;44;44;44;44;43;44;44;43;44;44;47;43;44;43;44;
vd6.sparql;40;10;10;10;10;9;
dsv5b.sparql;15528;15067;15374;
vf3b.sparql;3019;1548;1555;1547;1857;1553;1548;1549;1547;1548;1560;1559;1738;1565;1755;1551;1563;1552;1550;1551;1552;1552;1562;1559;1554;1556;1556;1551;1555;1550;1549;1548;1556;1550;1548;1553;1547;1549;1554;1561;1548;1655;1548;1553;1554;1554;2327;1915;1546;1549;1549;1553;1547;1553;1555;1565;1552;1549;1553;1559;1556;1574;1559;1559;1993;1557;1553;1550;1554;1714;1554;1553;1548;1554;1553;1554;2325;1559;1561;1555;1556;1557;1547;1564;1546;1549;1551;1552;1555;1553;1544;1551;1557;1553;1560;1556;1556;1557;1553;1555;1550;1550;1555;1702;1553;1568;1560;1553;1559;1549;1548;1546;1545;1548;1549;1553;1555;1559;1545;1548;1547;1551;1549;1554;1554;1559;1552;1552;1546;1553;1547;1549;1551;1559;1553;1551;1558;
sd1.sparql;8;6;7;7;6;7;7;
dv1.sparql;51;4;2;3;
duc1.sparql;158;12;13;14;14;13;13;12;
vd2.sparql;42;
vd5.sparql;159;47;53;53;53;52;44;47;46;44;
vd1.sparql;347;4;4;4;4;4;6;3;
vd3.sparql;14;7;
vf2.sparql;2743;99;103;99;98;99;97;99;98;117;97;99;100;107;151;112;104;97;106;102;99;99;99;106;98;97;97;98;98;99;100;100;102;96;98;99;98;98;99;99;99;99;105;99;99;99;100;98;98;99;99;99;100;99;103;104;104;118;104;103;105;106;104;99;99;99;98;99;106;151;138;150;104;104;100;151;104;150;103;104;103;100;103;100;97;97;96;97;99;99;99;99;99;99;99;96;98;104;107;100;99;99;100;99;100;97;97;97;99;104;99;99;99;99;99;98;98;99;99;99;98;99;104;103;98;98;98;106;98;99;98;107;103;98;99;102;99;99;98;104;110;
vf3.sparql;4215;1029;1030;1030;1034;1034;1035;1029;1067;1034;1029;1036;1551;1043;1042;1028;1032;1029;1543;1037;1032;1039;1037;1035;1038;1034;1036;1037;1035;1034;1032;1036;1036;1033;1041;1036;1036;1036;1033;1031;1031;1036;1040;1034;1040;1036;1031;1035;1044;1039;1037;1031;1030;1038;1032;1037;1033;1032;1037;1037;1031;1038;1034;1043;1042;1552;1039;1043;1039;1038;1552;1037;1040;1033;1040;1037;1037;1034;1034;1448;1039;1036;1039;1038;1033;1042;1552;1042;1036;1037;1042;1036;1032;1031;1031;1030;1031;1038;1037;1031;1044;1034;1033;1034;1032;1031;1034;1032;1034;1037;1037;1034;1034;1032;1032;1029;1036;1039;1039;1039;1038;1035;1035;1032;1035;1030;1036;1032;1033;1030;1033;1029;1028;1034;1033;1031;1031;1029;1029;1032;1042;1036;1031;1033;1035;1039;1035;1035;1032;1035;1030;1032;1036;1036;1036;1032;1037;1032;1035;1039;
duc3.sparql;85;6;7;6;6;8;7;9;
duc5.sparql;522;280;279;281;273;273;
duc4.sparql;28;29;26;31;25;25;28;
duc2.sparql;18;17;17;16;
vf4.sparql;1867;327;330;329;330;329;334;333;332;328;328;497;329;329;334;329;329;328;329;338;331;337;525;336;336;330;329;329;498;498;330;330;330;330;334;332;336;330;330;330;333;333;329;329;329;328;328;328;330;329;328;331;339;327;329;328;328;329;473;329;506;336;328;329;329;329;329;330;498;343;335;349;336;334;335;339;336;337;329;330;329;336;329;330;333;334;335;335;336;336;334;333;335;334;329;329;327;327;327;327;329;329;329;329;332;334;328;328;328;331;330;327;334;334;331;346;330;329;330;329;327;327;327;329;329;326;328;333;329;329;329;327;329;329;328;329;328;329;328;330;329;330;328;334;
sd3.sparql;58;4;4;
sd2.sparql;2;3;2;2;
dp3.sparql;34;4;4;3;
qd3.sparql;185;16;15;
dsv1.sparql;1632;71;76;131;97;75;
qd4.sparql;25;8;8;8;8;8;
dsv2.sparql;48;44;34;29;29;31;38;
dsv3.sparql;22;2;3;2;2;3;2;2;2;
dsv4.sparql;2199;1392;1350;
qd1.sparql;8;6;5;5;5;
qd2.sparql;12;14;
qd5.sparql;73;34;22;
qd6.sparql;108;61;52;54;
dsv5.sparql;17299;2623;2735;3695;2935;2845;2709;
dsv6.sparql;175;79;
dp1.sparql;46;2;3;3;3;2;2;
dp4.sparql;38;5;5;5;8;5;4;5;5;5;
dp2.sparql;5;6;3;4;4;3;4;4;
