query_name;avg_time;max_time;min_time;total_no
duc7.sparql;23;52;18;10
duc6.sparql;16;57;11;9
vd7.sparql;94;346;74;19
vf2b.sparql;48;197;41;113
vd6.sparql;18;49;14;13
vf3b.sparql;1427;2800;1393;129
dsv5b.sparql;15314;15723;15018;7
sd1.sparql;13;62;7;9
dv1.sparql;2;4;2;9
duc1.sparql;22;90;12;9
vd2.sparql;15;49;12;15
vd1.sparql;32;349;4;12
vd5.sparql;58;110;48;10
vd3.sparql;9;14;7;4
vf2.sparql;118;385;107;135
vf3.sparql;1633;6429;1557;104
duc4.sparql;31;72;25;9
duc3.sparql;8;40;6;16
duc5.sparql;295;480;277;12
duc2.sparql;16;18;16;11
vf4.sparql;359;2256;335;132
sd3.sparql;6;23;3;7
sd2.sparql;1;2;1;10
dp3.sparql;4;7;4;9
dsv2.sparql;33;49;31;11
qd4.sparql;13;55;8;11
dsv1.sparql;231;1735;76;12
qd3.sparql;16;35;14;14
dsv4.sparql;1421;2262;1347;14
dsv3.sparql;17;112;2;7
qd1.sparql;5;9;5;12
qd5.sparql;27;69;22;16
qd2.sparql;7;11;6;7
qd6.sparql;56;126;47;12
dsv5.sparql;4603;17640;2717;9
dsv6.sparql;99;287;76;13
dp1.sparql;3;15;2;10
dp4.sparql;143;554;6;4
dp2.sparql;4;8;3;10
