query_name;avg_time;max_time;min_time;total_no
duc7.sparql;26;55;18;6
duc6.sparql;15;27;11;4
vd7.sparql;80;163;73;58
vf2b.sparql;78;112;45;2
vd6.sparql;15;147;10;46
dsv5b.sparql;15748;17603;15098;6
vf3b.sparql;2168;4194;1544;5
sd1.sparql;8;38;6;36
dv1.sparql;26;121;2;5
duc1.sparql;30;69;11;3
vd5.sparql;56;118;49;41
vd3.sparql;8;32;7;49
vd2.sparql;14;31;12;53
vd1.sparql;4;22;3;44
vf2.sparql;132;196;111;5
vf3.sparql;1840;3013;1541;5
duc5.sparql;330;497;268;4
duc4.sparql;30;40;25;4
duc3.sparql;24;39;9;2
duc2.sparql;17;18;17;2
sd3.sparql;4;38;3;49
vf4.sparql;544;1595;331;6
sd2.sparql;1;3;1;46
dp3.sparql;17;582;4;47
qd3.sparql;21;335;14;65
qd4.sparql;18;467;7;46
dsv1.sparql;721;2610;75;4
dsv2.sparql;41;67;29;5
dsv4.sparql;2276;2971;1449;3
dsv3.sparql;6;27;2;6
qd1.sparql;5;10;4;38
qd2.sparql;14;255;6;39
qd6.sparql;69;541;52;47
qd5.sparql;26;70;22;54
dsv5.sparql;3441;6321;2707;6
dsv6.sparql;125;172;78;2
dp1.sparql;2;18;2;39
dp2.sparql;3;6;3;47
dp4.sparql;5;9;5;46
