query_name;avg_time;max_time;min_time;total_no
duc7.sparql;18;29;17;13
duc6.sparql;16;43;11;8
vd7.sparql;99;765;71;36
vf2b.sparql;51;66;41;8
vd6.sparql;34;976;9;42
vf3b.sparql;1793;3316;1572;8
dsv5b.sparql;15139;15646;14920;5
sd1.sparql;7;33;6;32
dv1.sparql;13;97;2;9
duc1.sparql;21;83;12;9
vd2.sparql;14;58;12;41
vd3.sparql;9;23;7;45
vd5.sparql;58;244;49;51
vd1.sparql;5;33;3;40
vf2.sparql;211;1214;107;11
vf3.sparql;1951;3231;1596;7
duc2.sparql;25;84;15;11
duc4.sparql;40;141;25;9
duc3.sparql;11;36;6;7
duc5.sparql;287;485;265;12
vf4.sparql;526;2319;347;13
sd3.sparql;4;16;3;40
sd2.sparql;1;5;1;50
dp3.sparql;5;8;4;49
qd4.sparql;15;358;7;49
dsv2.sparql;34;47;29;9
qd3.sparql;15;25;14;34
dsv1.sparql;1693;1693;1693;1
dsv4.sparql;1626;3970;1439;14
dsv3.sparql;12;100;2;9
qd1.sparql;5;8;4;45
qd2.sparql;7;11;6;59
qd5.sparql;26;51;22;33
qd6.sparql;62;116;54;32
dsv5.sparql;4390;18041;2620;9
dsv6.sparql;91;187;76;10
dp1.sparql;3;30;2;41
dp4.sparql;6;26;5;39
dp2.sparql;3;5;3;35
