query_name;avg_time;max_time;min_time;total_no
duc7.sparql;23;48;17;15
duc6.sparql;13;44;10;21
vd7.sparql;101;558;75;25
vf2b.sparql;66;349;43;17
vd6.sparql;16;26;14;25
vf3b.sparql;1632;5426;1367;16
dsv5b.sparql;16270;22816;14930;21
sd1.sparql;9;61;6;26
dv1.sparql;6;112;2;27
duc1.sparql;18;85;12;20
vd3.sparql;28;748;7;37
vd5.sparql;53;117;45;31
vd2.sparql;15;42;12;32
vd1.sparql;4;17;3;36
vf2.sparql;113;178;100;17
vf3.sparql;1754;3191;1618;22
duc5.sparql;309;565;281;21
duc4.sparql;30;43;25;26
duc3.sparql;8;39;6;16
duc2.sparql;20;28;15;20
vf4.sparql;374;1459;291;15
sd3.sparql;4;6;3;33
sd2.sparql;2;4;1;26
dp3.sparql;4;8;3;24
qd3.sparql;18;43;14;29
qd4.sparql;10;39;7;26
dsv1.sparql;181;2318;67;26
dsv2.sparql;35;53;29;16
dsv4.sparql;1501;2484;1350;15
dsv3.sparql;3;26;1;21
qd1.sparql;5;9;4;42
qd5.sparql;45;444;23;24
qd2.sparql;8;15;6;38
qd6.sparql;55;93;46;28
dsv5.sparql;2997;7213;2605;24
dsv6.sparql;117;696;76;19
dp1.sparql;3;22;2;37
dp2.sparql;24;611;3;30
dp4.sparql;5;14;4;31
