query_name;avg_time;max_time;min_time;total_no
duc7.sparql;28;65;18;5
duc6.sparql;21;98;11;9
vd7.sparql;100;148;76;6
vf2b.sparql;46;67;41;171
vd6.sparql;14;40;9;7
dsv5b.sparql;15245;15528;15014;4
vf3b.sparql;1588;3019;1544;138
sd1.sparql;6;8;6;8
dv1.sparql;12;51;2;5
duc1.sparql;29;158;12;9
vd2.sparql;27;42;13;2
vd5.sparql;58;159;44;11
vd1.sparql;42;347;3;9
vd3.sparql;9;14;7;3
vf2.sparql;121;2743;96;142
vf3.sparql;1074;4215;1028;161
duc3.sparql;15;85;6;9
duc5.sparql;311;522;273;7
duc4.sparql;27;31;25;8
duc2.sparql;17;18;16;5
vf4.sparql;349;1867;326;145
sd3.sparql;17;58;4;4
sd2.sparql;2;3;1;5
dp3.sparql;10;34;3;5
qd3.sparql;57;185;15;4
dsv1.sparql;306;1632;66;7
qd4.sparql;10;25;7;7
dsv2.sparql;35;48;29;8
dsv3.sparql;4;22;2;10
dsv4.sparql;1573;2199;1350;4
qd1.sparql;5;8;5;6
qd2.sparql;10;14;6;3
qd5.sparql;38;73;22;4
qd6.sparql;65;108;52;5
dsv5.sparql;4721;17299;2623;8
dsv6.sparql;110;175;76;3
dp1.sparql;7;46;2;8
dp4.sparql;8;38;4;11
dp2.sparql;4;6;3;9
