query_name;avg_time;max_time;min_time;total_no
duc7.sparql;21;43;18;13
duc6.sparql;16;92;10;15
vd7.sparql;80;140;73;17
vf2b.sparql;48;343;41;93
vd6.sparql;11;17;10;11
vf3b.sparql;1610;2996;1535;100
dsv5b.sparql;16096;22689;15007;14
sd1.sparql;7;12;6;13
dv1.sparql;3;6;3;10
duc1.sparql;21;171;12;19
vd5.sparql;61;115;49;8
vd3.sparql;10;39;7;19
vd1.sparql;9;34;4;6
vd2.sparql;15;40;12;17
vf2.sparql;117;252;106;84
vf3.sparql;1613;6525;1520;101
duc5.sparql;354;1374;268;15
duc3.sparql;8;35;5;14
duc4.sparql;30;47;25;12
duc2.sparql;17;27;15;14
vf4.sparql;350;1915;326;96
sd3.sparql;6;31;3;15
sd2.sparql;1;3;1;20
dp3.sparql;5;7;4;12
dsv1.sparql;202;2493;59;21
qd4.sparql;12;53;7;19
dsv2.sparql;34;70;29;19
qd3.sparql;15;25;14;15
dsv4.sparql;1507;2213;1440;14
dsv3.sparql;3;20;2;18
qd1.sparql;5;7;4;13
qd5.sparql;49;371;22;15
qd2.sparql;20;163;6;12
qd6.sparql;62;125;53;11
dsv5.sparql;3169;7246;2737;16
dsv6.sparql;103;257;76;11
dp1.sparql;3;17;2;22
dp4.sparql;5;9;5;15
dp2.sparql;3;7;3;16
