query_name;avg_time;max_time;min_time;total_no
duc7.sparql;20;32;17;76
duc6.sparql;12;73;10;77
vd7.sparql;91;271;72;17
vf2b.sparql;49;68;42;14
vd6.sparql;15;22;14;16
vf3b.sparql;1959;6049;1583;14
dsv5b.sparql;15157;15316;15058;4
sd1.sparql;14;102;7;16
dv1.sparql;11;113;3;13
duc1.sparql;14;70;11;84
vd5.sparql;102;1041;45;19
vd1.sparql;5;18;3;12
vd2.sparql;17;43;12;10
vd3.sparql;10;29;6;10
vf2.sparql;198;1498;98;15
vf3.sparql;1739;3108;1593;17
duc2.sparql;22;433;15;76
duc4.sparql;29;92;24;85
duc3.sparql;8;50;6;62
duc5.sparql;300;501;280;89
vf4.sparql;361;1720;256;17
sd3.sparql;4;8;3;7
sd2.sparql;1;3;1;13
dp3.sparql;4;6;3;12
qd3.sparql;28;185;14;13
qd4.sparql;38;462;7;15
dsv2.sparql;31;42;29;21
dsv1.sparql;301;1693;79;8
dsv3.sparql;12;104;2;11
dsv4.sparql;1459;2228;1307;12
qd1.sparql;5;11;4;7
qd6.sparql;55;138;45;17
qd2.sparql;8;16;6;12
qd5.sparql;29;56;23;11
dsv5.sparql;3785;18176;2654;17
dsv6.sparql;98;322;76;18
dp1.sparql;4;30;1;12
dp4.sparql;5;8;4;17
dp2.sparql;3;5;3;9
