qd2.sql;2
vf4.sql;928;4;6;9;4;7;17;8;10
vd7.sql;386;7;7;4;4;3;5;7
duc6.sql;7043;116;115;115;122;116;113;114;136;108;104;104;105;104;103;104;103;104;106;110;104;103;103;103;103;105;101;101;102;105;108;108;110;109;110;104;108;108;123;110;115;115;114;105;106;134;117;104;143;112;113;114;110;108;109;109;129;113;109;114;114;113;113;117;118;107;166;109;108;108;185;115;108;108;114;181;105;110;108;107;108;110;106;112;107;107;110;106;104;111;105;105;105;106;116;107;113;114;107;119;107;106;106;190;171;166;135;114;108;108;108;114
dp4.sql;246;2;1;1;3;2;2;2;2
sd2.sql;133;134;142;136;135;140;143;135;137;138;189
qd3.sql;2;2;2;3;3;3;3;3
vd3.sql;36;2;2;3;2;1;1;1;2;1
dsv3.sql;1;1;0;1;0;0;0;0;1;0;0;0
dp1.sql;1;1;1;0
qd1.sql;1;2;1;1;1;1;1;0
sd3.sql;82;50;59;118;56;55
vf2b.sql;27580;770;867;877;868;861
duc2.sql;903;36;42;38;34;33;27;24;34;28;23;25;23;24;24;25;23;24;27;25;24;23;24;23;23;24;24;23;23;24;25;24;29;23;30;30;25;27;24;24;22;26;24;31;23;24;25;24;26;25;23;22;23;25;23;28;25;24;22;24;27;24;24;23;29;27;23;24;23;24;23;25;24;25;27;24;22;24;23;23;22;22;22;28;23;23;28;23;23;26;23;23;23;23;23;23;25;30;34;23;24;23;23;23;25;26;23;24;25;23;25;24;27;23;25;23;35;35;25;23;23;24
vf3b.sql;5;4;5;35;7;6;5;4;5
duc7.sql;124;50;50;41;40;40;42;39;40;40;40;41;42;39;39;40;50;40;39;37;38;38;37;37;38;42;43;44;44;43;38;39;42;59;68;47;39;38;38;40;37;38;41;41;41;38;38;39;37;39;38;38;43;39;43;37;41;37;37;40;39;40;45;39;40;39;39;44;44;39;39;39;37;37;37;38;37;42;39;40;42;41;39;38;42;37;38;38;38;37;38;37;38;39;40;37;38;37;38;37;37;38;37;59;44;44;39;42
qd4.sql;12;1;1
dsv4.sql;2412
vd5.sql;82;3;6;4;7;7
duc3.sql;304;43;44;49;50;44;43;43;44;42;44;44;44;43;46;47;41;43;43;44;50;42;86;49;45;42;41;41;41;42;48;153;45;45;45;45;44;45;45;45;67;43;44;50;49;50;50;46;43;46;45;50;45;45;48;138;44;45;67;45;47;69;45;51;44;43;45;46;46;51;51;44;43;44;45;45;45;45;45;45;42;49;53;49;43;43;43;43;42;43;43;43;45;45;45;44;53;45;45;52;46;44;43;42;42;59;45;46
dsv6.sql;974;288;230;301;291;176;259;299
dp2.sql;1;0
qd5.sql;18;1;2;2
vf2.sql;56171;544;604;616;614;612
dv1.sql;2;1;1;1
dsv1.sql;71;6;9;5;4;5;4;5;6
vd1.sql;0;1;1;1;0;0
vf3.sql;2063;6;13;6;14;7
duc4.sql;217;84;84;84;87;83;78;82;77;78;81;78;77;77;77;78;78;79;81;76;82;81;78;76;75;75;75;76;80;79;83;82;89;75;82;113;80;84;116;76;193;87;84;83;80;81;80;78;80;80;86;79;86;85;84;84;81;81;80;80;80;79;80;83;142;88;80;82;138;90;81;80;80;80;80;80;101;81;82;84;79;84;78;80;81;85;79;79;79;85;79;81;81;81;85;85;113;85;79;79;85;84;84;106;79;79;79;79;79;79;103;105;81;80;81;80;105;79;79;87;102;80
dp3.sql;1;1;1;1;1;1;1
qd6.sql;60;3;5;2;3
duc1.sql;108;2;2;1;3;1;2;1;3;3;2;1;2;2;1;2;2;2;2;2;2;3;1;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;1;2;2;1;2;3;2;2;1;2;2;2;2;1;2;2;1;1;1;2;1;1;2;3;2;2;1;2;2;2;1;1;2;1;1;1;1;1;1;2;2;1;2;1;2;2;1;1;1;1;1;1;1;1;2;1;2;1;1;2;2;1;1;1;1;2;1;1;1;2;2;2;2;1;1;2;2;2;1;1;1
sd1.sql;153;140;132;139;134;132;139;133;141;136;137;136;144
vd6.sql;46;50;51;48;48;77;48;52
duc5.sql;5316;95;81;82;80;80;76;81;77;73;75;75;75;74;79;75;81;79;82;79;80;80;79;85;86;119;76;79;78;80;80;79;79;79;79;119;85;85;80;85;87;81;89;100;92;80;100;79;79;85;82;84;80;82;85;80;86;86;84;89;79;79;79;85;81;81;80;81;85;79;79;105;79;79;143;84;78;80;109
dsv2.sql;204;6;4;4;4;4;5;5;5;5;4
vd2.sql;2;1;2;2
