qd2.sql;3;3;3;3;2;2;4;3
vf4.sql;748;21;21;5;20;5;5;26;24;6;5;4;20;21;5;16;5;17;13;13;5;14;5;14;15;16;14;15;4;16;4;14;17;4;6;16;5;16;5;14;15;12;10;13;14;13;16;15;15;15;16;16;5;5;13;14;16;15;5;15;5;16;14;14;15;15;12;5;13;17;17;6;13;5;15;16;15;14;14;15;4;16;19;15;4;5;14;17;13;15;15;14;15;15;5;14;15;5;14;14;13;18;16;4;14;4;14;5;15;4;6;15;5;13;14;14;15;15;15;4;14;16;6;17;15;15;12;15;15;12;14;5;4;4;12;16;14;5;4;15;15;13;12;15;7;5;15;15;15;15;16;14;7;7;5
vd7.sql;523;11;19;18;17;18
sd2.sql;387;180;178;179;171;185;176
duc6.sql;7882;215;217;202;206
dp4.sql;121;4;4
qd3.sql;366;7;8;7;7;7;4;4
vd3.sql;54;5;3;3;4;3
dsv3.sql;1;1;1;1;0;1;1
dp1.sql;2;1;1;0;0
qd1.sql;2;2;2
sd3.sql;4388;86;132;127;90;91;98;104
vf2b.sql;96129;632;651;672;666;652;708;654;657;723;651;660;679;656;650;663;730;720;791;784;713;704;717;713;709;710;720;747;699;722;699;707;709;697;697;708;696;723;710;707;710;702;698;697;699;697;697;697;736;711;709;756;699;701;705;705;742;700;708;707;698;701;708;708;700;708;714;736;704;701;747;702;699;713;701;708;696;709;700;712;783;803;717;705;741;707;715;737;704;746;705;801;706;694;702;709;738;705;708;719;710;701;708;710;697;708;709;701;714;713;701;704;712;713;709;710;715;700;709;711;732;708;697;699;803;791;796;709;693;714;705;699;708;731;699;712;703;712;711;700;739;698;711;701;704;709;701;694;711;698;769;711;708
duc2.sql;795;61;69;71;86
vf3b.sql;125;5;5;11;13;15;4;15;15;16;8;6;15;14;5;14;8;10;4;7;6;11;7;5;11;5;11;4;8;5;6;7;6;5;4;5;5;7;6;6;6;7;5;5;6;6;4;3;8;7;4;7;7;4;4;4;5;5;5;8;8;5;8;7;6;11;6;5;7;9;9;6;5;9;10;6;8;5;10;12;11;5;9;5;9;10;6;7;10;9;9;8;8;7;4;9;5;5;4;8;9;8;9;9;5;8;6;5;5;8;8;6;4;5;8;9;8;11;7;8;6;10;5;8;9;6;9;5;9;5;8;6;10;7;5;6;5;5;10;7;10;10;10;10;12;6;5;6;10;10;5;5;5;5
qd4.sql;2;2;1;2;1;1;2;1
duc7.sql;134;55;86;86;81;81;86;86;86;85;104
dsv4.sql;2369;869
vd5.sql;175;9;8;8;7;8;10
duc3.sql;193;101;105;101
dsv6.sql;968;180;184;190;181;195;189;195
dp2.sql;3;1;1;2;1
qd5.sql;12;2;2;2
vf2.sql;414;396;454;442;539;545;431;433;434;445;435;509;445;437;427;501;561;434;529;434;437;449;436;450;433;439;429;430;429;430;432;431;429;430;435;434;435;434;435;432;439;429;429;425;433;433;431;432;434;446;431;432;433;431;451;436;431;477;432;435;437;457;437;438;433;436;497;502;446;440;439;446;474;439;436;441;439;497;486;440;433;441;440;438;434;430;438;444;436;503;435;444;438;432;451;431;438;433;432;431;428;459;439;440;435;468;461;436;435;438;432;434;433;433;432;432;443;433;432;431;431;437;464;434;471;429;434;441;445;502;432;438;443;434;433;481;474;449;438;457;435;499;433;434;435;440;436;435;431;437;430;436;433;483;482;495;484;429;432;464
dv1.sql;8;1;1;0;1;1
dsv1.sql;82;5;5;7;6;5
vd1.sql;2;1;2;2
vf3.sql;13;13;10;16;12;6;6;20;17;7;7;17;6;18;7;16;28;12;6;15;11;10;8;8;13;12;6;7;6;9;6;11;6;11;6;9;6;11;6;6;5;5;5;5;11;5;7;7;6;8;6;5;5;10;9;7;7;6;7;5;6;7;7;8;11;6;9;6;9;10;9;9;10;6;7;12;9;9;9;9;10;9;10;7;7;9;7;13;8;11;9;11;6;9;10;6;7;10;10;10;10;10;9;9;7;8;9;8;9;6;10;9;10;9;6;7;6;11;6;10;7;10;5;10;11;9;9;9;6;11;10;12;6;12;5;10;10;6;7;7;7;12;12;10;8;9;7;12;6;10;7;9;11;11;9;6;10;12;7;7;8;5;8
duc4.sql;353;114;130;124;124;125
dp3.sql;412;1;1;2;4;4;5
qd6.sql;93;7;5;4
duc1.sql;73;3;3;4;4;3;3
sd1.sql;180;174;171;178;174
vd6.sql;421;93;110;114;105;80;116
duc5.sql;209;134;144;107;149;139
dsv2.sql;170;13;14;13;13
vd2.sql;8;6;4;6;7;6;6
