vf3.sql;4735;14;12;7;15;14;7;15;6;6;18;8;19;21;19;9;12;17;21;7;20;20;18;7;18;6;9;9;10;10;7;19;20;23;19;23;20;17;20;6;8;19;20;6;7;12;22;21;19;19;7;7;21;21;21;19;7;20;20;7;20;6;19;19;9;20;22;8;8;6;11;20;23;25;20;20;9;11;23;8;6;19;7;20;9;20;6;22;20;21;6;19;20;7;10;22;11;9;6;21;6;21;22;19;17;20;20;6;23;20;21;20;22;7;6;20;6;11;7;21;22;21;6;10;7;6;8;20;6;20;20;19;6;20;19;7;20;17;20;19;19;7;8;19;6;21;19;19;6;10;6;20;6;19;7;21;6;7;7;20;6;8;6;10;21;20;6;21;17;19;6;10;20;21;21;7;20;17;19;7;20;6;6;7;7;6;19;6;19;6;20;8
vf2b.sql;93647;590;623;629;652;665;691;655;650;653;660;651;646;653;638;638;638;644;650;652;640;651;642;644;649;741;727;656;647;661;652;644;654;651;649;654;653;652;647;653;688;638;652;652;645;653;647;653;654;652;657;657;655;644;655;651;652;644;655;734;725;649;653;654;651;652;644;651;663;654;646;651;646;658;652;654;645;652;652;649;656;648;657;658;655;647;645;692;658;650;659;656;656;645;655;656;656;652;653;652;734;650;650;641;648;644;654;644;653;702;664;653;652;654;663;658;694;671;693;700;690;674;680;664;650;640;652;652;647;639;651;640;651;647;648;646;650;661;649;647;649;648;654;640;654;647;648;652;648;655;652;648;657;654;653;651;649;658;654;652;645;654;650;650;638;657;652;650;645;658;656;644;640;653;648;649;646;654;644;647;652;647;656;647;657;654;649;647;648;639
vf4.sql;1933;20;6;23;21;6;23;24;25;24;21;5;4;8;5;23;25;24;24;6;25;7;21;24;6;24;25;26;25;24;25;5;23;7;7;27;24;28;24;25;27;25;26;5;5;28;26;23;23;24;23;24;25;22;4;5;25;27;23;26;5;27;5;24;6;8;26;7;24;27;28;24;7;24;26;5;5;25;24;23;27;24;26;25;30;24;24;4;24;26;5;25;5;25;4;4;24;25;26;8;27;4;25;4;24;6;5;22;5;26;5;26;23;26;23;5;24;4;5;4;4;23;25;20;23;21;26;22;4;4;27;22;24;23;5;24;21;22;4;24;24;26;4;24;24;6;22;24;23;22;24;24;25;24;5;26;5;4;20;26;5;24;22;5;25;5;24;25;5;25;5;4;25;5;25;24;24;5;25;25;6;5;24;24;24;25;24;25;24;26;4;26;25;5;4;26;5
vf2.sql;391;402;427;419;445;424;438;436;435;436;435;504;439;431;432;430;431;442;434;436;443;434;434;428;432;439;430;431;435;436;431;430;434;437;432;430;440;505;430;431;439;434;436;432;433;434;431;433;439;430;427;430;433;433;430;434;431;432;434;427;429;430;435;435;433;433;426;438;435;431;446;438;437;433;431;494;431;428;431;436;436;435;431;438;436;439;437;436;440;441;436;436;429;436;434;431;439;435;437;437;431;443;436;439;438;439;430;440;435;435;431;436;435;437;437;439;437;439;439;427;439;437;431;439;440;455;456;438;441;435;438;474;451;465;460;436;437;433;425;430;432;429;430;431;426;427;428;426;433;433;432;432;431;431;435;465;432;427;432;436;437;435;439;443;426;436;436;436;438;441;432;432;431;435;426;427;441;431;428;430;435;437;437;430;435;434;430;442;434;437;436;439;432;433;432;434;433;437
vf3b.sql;7;6;23;6;13;6;19;5;19;6;20;8;8;6;6;7;5;19;20;20;20;5;6;7;20;5;19;19;9;6;8;19;8;18;5;19;19;8;9;9;20;5;6;6;5;19;5;18;8;19;19;18;20;19;17;5;18;5;17;6;7;18;5;5;19;5;18;6;18;7;19;20;7;21;19;6;7;17;7;5;19;21;19;5;19;19;5;6;19;20;4;5;18;16;4;20;18;5;9;5;5;5;19;5;7;20;20;18;5;6;18;17;18;5;18;17;19;6;20;5;18;5;19;5;6;19;6;20;7;7;19;21;22;8;19;5;20;5;6;18;7;6;19;5;16;18;6;17;5;17;18;5;5;19;18;17;18;19;18;5;6;8;9;5;18;5;5;20;19;5;6;18;6;6;20;19;19;10;5;19;5;18;5;6;19;16;19;18;6;5;19;19;5;15;5;15;19;4
