qd2.sql;3;2;3;4;3;3;3;3;2
vf4.sql;1461;12;11;9;4;5;9;16;13;10;7;15;5;16;15;13;14;14;5;15;14;4;12;4;14;14;4;5;15;13;7;12;4;4;5;13;10;15;15;15;13;13;4;14;15;15;16;6;14;17;6;18;14;7;4;6;15;12;14;15;14;12;4;6;15;15;16;14;4;14;12;14;18;14;15;5;15;15;14;15;13;15;14;14;15;14;13;4;15;18;13;14;14;4;15;15;4;18;14;4;13;15;14;7;13;14;4;14;16;15;14;15;4;15;7;13;14;13;4;16;14;15;15;8;12;12;5;15;14
vd7.sql;1815;9;17;16;19;18;15;12;19;15
sd2.sql;422;182;182;181;182;182
dp4.sql;125;3;4;4;4;1;5
duc6.sql;4860;181;187;196;195;204;193;196;204
qd3.sql;8;9;7;8;8
vd3.sql;31;4;4;4;4
dsv3.sql;0;0;1;1;0;0;0;0;1;0
dp1.sql;1;1;1;1;2;0;1;1;1
qd1.sql;2;2;1;2;1;1;1;2;2;2;2;2;2;3;2
vf2b.sql;93483;575;611;654;674;665;713;661;664;761;655;664;692;657;657;664;669;668;669;646;786;693;690;686;710;691;731;679;691;733;707;691;679;685;689;685;722;685;690;685;689;685;709;693;685;683;690;713;682;695;691;687;690;774;777;693;761;684;728;695;720;691;715;686;730;707;695;696;690;723;695;718;695;683;691;682;797;695;690;694;696;698;683;689;694;690;682;687;669;719;685;685;685;708;690;683;688;698;685;674;701;681;684;693;688;690;710;720;692;690;711;686;690;706;774;665;686;681;716;692;696;701;662;688;687;681;684;699;691;731
sd3.sql;85;87;79;71;94;93;128;93
duc2.sql;126;74;78;78;67;59
vf3b.sql;5;14;14;7;14;5;14;9;15;20;17;19;16;15;15;15;9;13;11;13;12;5;13;14;14;5;5;14;13;5;6;4;5;14;12;5;13;7;6;6;5;10;6;6;12;6;6;13;13;7;17;7;14;5;8;7;7;14;5;6;14;5;13;6;12;12;12;16;12;13;5;14;5;6;16;14;13;12;5;13;13;9;17;13;5;5;5;12;12;6;5;6;6;9;5;4;5;6;13;13;12;14;12;6;5;13;13;5;8;7;6;12;14;6;5;14;10;13;13;13;7;8;13;12;5;13;12;4;12;6;12;12;13;6;12;14;8;12;7;13;12;12;12;7;6;6;7
duc7.sql;252;103;91;81;80;80;94;80;89;78;76
qd4.sql;8;1;2;1;1;1;2;1;1
dsv4.sql;2036;883;850;865;849;864;1019;893;869;853
vd5.sql;58;8;8;7;4
duc3.sql;153;174;80;81;89;83;87;91;109;89
dsv6.sql;976;190;161;185;190;206;210;193;177;176
dp2.sql;1;0;1;1;1;1;2;1;2;2;2;1;1;1
qd5.sql;78;2;2;2;2;2;3;2;1;3;2;2;2;2
vf2.sql;395;407;493;449;470;510;453;459;451;458;566;451;450;457;454;444;460;490;457;454;458;462;461;457;454;456;454;452;455;451;454;498;456;456;455;460;454;455;453;457;457;447;452;448;495;475;452;465;458;454;456;521;463;461;461;473;462;457;462;477;505;452;454;459;456;460;484;460;483;454;480;460;453;484;455;492;476;458;456;453;461;459;454;459;492;457;453;451;478;458;446;458;457;473;458;458;460;485;486;452;499;459;454;451;462;486;479;454;451;453;450;452;448;524;452;486;478;460;454;458;459;458;458;458;553;469;452;455;552;462;455;456;459;455;449;452;509;457;456;453;456;450;448;456;484;453;454
dv1.sql;8;1;0;0;1;1
dsv1.sql;72;5;4;6;5;4;5
vd1.sql;1;2;1;1
vf3.sql;4662;12;14;16;8;17;18;7;8;15;10;12;12;6;7;7;15;7;14;16;6;9;12;8;7;14;7;8;9;16;14;6;15;15;14;15;14;6;14;14;15;9;17;13;7;15;16;14;13;8;14;10;7;8;9;14;6;6;8;14;7;16;8;7;14;11;15;12;15;16;7;6;10;15;8;7;7;5;15;6;7;7;14;10;6;8;16;14;14;7;7;6;6;15;7;16;13;15;6;7;6;7;14;13;7;15;9;14;7;13;14;13;13;13;7;15;12;7;15;13;6;7;14;15;6;7;8;6;10;12;13
duc4.sql;453;133;132;131;125;128;167;128;129;119
dp3.sql;2;3;2;2;2;4;4;4;4;4;4;4;4;4
qd6.sql;147;8;7;6;8;8;7;4;5;3;4;4;8;8;4;8;8
duc1.sql;80;3;2;3;3;2;3;3;2
sd1.sql;172;190;177;175;172;178;182;182
vd6.sql;1686;92;96;98;98;102;104
duc5.sql;189;146;122;136;112;135;137;134;133;127
dsv2.sql;187;8;9;8;10;8;10;9;10;8;7
vd2.sql;8;9;8;9;5;8
