query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
qd2.sql;5.0;2.0;3.4285714285714284;0.9759000729485333;2.0;2.0;2.0;7
vf4.sql;384.0;9.0;48.81818181818183;111.28685293584161;9.0;9.0;9.0;11
vd7.sql;1953.0;13.0;338.83333333333337;790.7784561219828;13.0;13.0;13.0;6
duc6.sql;6825.0;177.0;852.4000000000001;2098.633375424218;177.0;177.0;177.0;10
sd2.sql;480.0;138.0;184.25;94.9278434103791;138.0;138.0;138.0;12
dp4.sql;118.0;4.0;42.33333333333333;65.53116307020144;4.0;4.0;4.0;3
qd3.sql;9.0;6.0;7.666666666666667;1.5275252316519465;6.0;6.0;6.0;3
vd3.sql;62.0;2.0;11.625;20.395640290443026;2.0;2.0;2.0;8
dsv3.sql;1.0;0.0;0.36666666666666675;0.4839149403229733;0.0;0.0;0.0;120
dp1.sql;2.0;0.0;0.8;0.8366600265340756;0.0;0.0;0.0;5
qd1.sql;4.0;1.0;2.3333333333333335;1.0327955589886446;1.0;1.0;1.0;6
sd3.sql;120.0;66.0;90.85714285714286;20.235518043188083;66.0;66.0;66.0;7
vf2b.sql;963.0;730.0;820.4;104.0302840522893;730.0;730.0;730.0;5
duc2.sql;842.0;57.0;178.7142857142857;292.5506875088568;57.0;57.0;57.0;7
vf3b.sql;24.0;15.0;18.8;3.8987177379235853;15.0;15.0;15.0;5
qd4.sql;4.0;1.0;2.0;1.0;1.0;1.0;1.0;7
duc7.sql;132.0;53.0;80.75;34.98928407384181;53.0;53.0;53.0;4
dsv4.sql;2469.0;797.0;919.3492063492064;194.93692590005904;797.0;797.0;797.0;126
dsv6.sql;1008.0;115.0;140.24615384615382;81.50589093071889;115.0;115.0;115.0;130
duc3.sql;111.0;59.0;77.0;20.161845153655953;59.0;59.0;59.0;5
vd5.sql;11.0;5.0;8.5;2.6457513110645907;5.0;5.0;5.0;4
dp2.sql;29.0;1.0;4.0;7.5387885852657615;1.0;1.0;1.0;13
qd5.sql;277.0;2.0;71.0;137.33414239243885;2.0;2.0;2.0;4
vf2.sql;55960.0;481.0;11671.2;24758.286727881637;481.0;481.0;481.0;5
dv1.sql;14.0;0.0;0.7049180327868851;1.4753541364488054;0.0;0.0;0.0;122
dsv1.sql;88.0;3.0;5.587837837837837;7.005274061805686;3.0;3.0;3.0;148
vd1.sql;3.0;1.0;1.6;0.8432740427115679;1.0;1.0;1.0;10
vf3.sql;1485.0;17.0;387.5;731.6813969663754;17.0;17.0;17.0;4
duc4.sql;1132.0;82.0;235.55555555555554;336.78149856810387;82.0;82.0;82.0;9
dp3.sql;5.0;5.0;5.0;0.0;5.0;5.0;5.0;3
qd6.sql;45.0;5.0;16.142857142857142;13.618964368709923;5.0;5.0;5.0;7
duc1.sql;76.0;2.0;15.5;29.656365252673833;2.0;2.0;2.0;6
sd1.sql;158.0;141.0;149.5;12.020815280171307;141.0;141.0;141.0;2
vd6.sql;221.0;57.0;102.8;48.02036604978721;57.0;57.0;57.0;10
duc5.sql;214.0;134.0;174.66666666666666;40.01666319589045;134.0;134.0;134.0;3
dsv2.sql;2908.0;2.0;32.259541984732785;253.3317553597155;2.0;2.0;2.0;131
vd2.sql;25.0;4.0;11.285714285714285;6.824326235712107;4.0;4.0;4.0;7
