qd2.sql;3;3
vf4.sql;630;11;8
vd7.sql;338;13
dp4.sql;304;5;3;4;4
sd2.sql;160;158
duc6.sql;4879
qd3.sql;362;8;3
vd3.sql;35;5;2
dsv3.sql;7;0;1;0;1;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0
dp1.sql;2;1;1;1
qd1.sql;2;3;3;2
vf2b.sql;58507;686;837;836;847
sd3.sql;72;106;79;79;75;70;80
duc2.sql;1970;57;66;72
duc7.sql;177;75;70;67
qd4.sql;1
dsv4.sql;2756;876;877;877;864;852;861;865;877;863;866;868;869;862;867;862;864;884;864;866;866;862;873;872;871;812;1409;863;860;860;860;866;1442;1227;860;873;862;1308;866;866;881;879;856;868;872;866;866;873;859;862;874;870;871;1454;1434;1438;1432;1249;871;848;843;877;865;864;863;864;877;865;857;857;857;859;858;872;859;1246;871;865;860;859;866;860;859;859;858;873;866;866;861;867;862;860;862;859;856;868;876;983;881;867;867;1436;870;1171;1448;865;864;868;873;865;858;868;881;1433;867;869;865;856;854;883;869;872;860;863;860;884;856;855;849;850;853;848;853;841;849;846;854;866;855;862;865;865;873;866
dsv6.sql;1009;130;118;217;173;125;179;117;125;174;123;221;221;219;118;125;118;118;133;117;123;117;117;121;118;118;118;123;118;118;118;118;116;117;204;126;123;128;162;125;123;118;138;126;116;118;122;117;123;118;119;218;121;121;118;118;119;123;118;120;124;123;119;121;189;125;122;117;125;120;219;126;122;117;120;116;120;126;125;124;124;117;123;118;118;126;117;124;116;124;115;116;124;118;126;125;133;127;154;124;142;131;125;134;126;137;125;127;154;118;124;131;131;124;133;125;117;126;124;117;117;130;130;118;123;117;117;124;122;123;127;131;124;131;131;134;117;117;117;117;117;133;132;117;125;126
duc3.sql;181;74;73;49
vd5.sql;16;10;10
dp2.sql;271;3;2
qd5.sql;8;3;2
vf2.sql;634
dv1.sql;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;1;2;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1
dsv1.sql;75;6;8;11;5;5;8;7;7;4;4;4;10;5;4;4;4;6;5;4;3;5;4;4;4;4;4;4;4;4;14;6;5;5;7;6;5;5;5;5;5;4;5;4;4;5;5;4;4;5;5;4;4;4;6;4;4;5;5;5;4;5;6;4;5;4;6;5;4;9;4;5;5;4;6;6;4;3;5;4;6;5;10;6;4;5;5;5;4;5;3;4;3;4;5;4;4;4;5;5;4;3;5;5;6;4;6;9;6;5;4;4;4;5;5;5;5;4;5;6;4;3;3;4;5;5;4;4;4;4;4;5;4;8;5;4;5;4;5;5;4;6;4
vd1.sql;2;1;2;1
vf3.sql;62;25;23;21;17;23;6
duc4.sql;846;168;116
dp3.sql;4;5;4
qd6.sql;113;14
duc1.sql;86;3;4;4;2
sd1.sql;356;170;162;233;169
vd6.sql;71;61;59
duc5.sql;162;105;95
dsv2.sql;2845;10;13;15;13;8;6;11;8;4;19;20;7;6;10;20;5;6;19;5;19;7;9;8;5;12;6;17;5;6;8;7;9;8;11;6;6;3;4;7;6;6;7;5;7;6;6;4;3;3;6;6;3;3;3;6;5;6;6;3;3;6;3;6;4;3;2;2;5;6;3;3;5;3;6;4;5;5;4;2;5;3;3;3;2;5;5;5;3;2;5;2;3;5;5;3;5;5;3;2;5;5;3;4;3;5;7;4;7;5;5;5;2;5;4;3;5;7;5;4;5;3;5;2;4;5;3;2;3;3;5;5;2;2;4;5;2;2;5;5;4;5;5;5;2;3;2;5;5
vd2.sql;45;7;9;9;5
