qd2.sql;136;3;2;4;3;3;3;3;2;2;2;2
vf4.sql;1107;6;11;15;14;14;15;20;23;9;23;23;6;22;6;23;16;24;22;10;22;63;15;9;58;6;6;24;4;50;22;18;23;24;22;20;5;24;14;7;4;12;20;5;23;24;26;24;25;6;13;24;50;20;5;4;6;18;22;7;23;22;7;24;24;24;14;24;22;12;41;23;46;16;5;23;7;24;7;13;13;24;23;5;4;10;15;24;22;14;14;19;23;24;20;20
vd7.sql;312;19;16;5;5;16;16;15;22;28;20;21;20;27;15;20;20
duc6.sql;8103;263;261;276;281;273;266;199;253;225;270;272;295;264;270
sd2.sql;184;146;185;162;144;156;146;165;163;153;179;216;153;160;151;161;162;170;163;160
dp4.sql;121;4;3;5;4;5;5;5;5;3;5;2;5;6;5
qd3.sql;6;3;9;9;8;10;10;9;8;9;9;14;6;9;7
vd3.sql;23;6;3;6;3;4;6;7;5;3;6;14;3;5;3;3;3;6;2
dsv3.sql;1;1;1;0;1;0;1;1;1;0;0;1;1;1;0;0;0;1
dsv5.sql;157647;73749;73578;74920;74350;74487;74181;75012;74917;74474;74151;74956;76617;76346;77129;77586
dp1.sql;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;0
qd1.sql;2;3;6;2;2;1;2;4;2;1;2;2;4
vf2b.sql;93607;655;663;702;716;754;722;654;675;944;966;1075;863;857;858;870;868;926;885;928;1000;869;838;837;927;1028;852;845;825;877;835;835;824;817;822;828;816;900;818;818;966;802;819;1015;814;990;805;861;801;814;943;798;823;797;805;908;994;790;793;958;784;834;860;777;885;776;900;965;776;877;760;768;778;847;846;771;764;778;769;771;770;940;906;765;775;761;759;772;865;857;934;779;753
sd3.sql;285;110;131;119;72;158;116;131;78;178;114;186;119;124;128
duc2.sql;126;64;51;72;48;80;76;38;66;37;73;38;74;77
vf3b.sql;10;15;8;10;14;7;16;16;17;44;9;20;21;10;6;18;7;7;10;13;9;5;17;23;18;5;10;39;21;21;5;5;20;7;19;8;19;19;8;20;14;5;21;7;19;5;21;20;5;47;16;20;6;10;7;61;5;7;20;21;7;6;6;5;19;20;19;5;7;19;59;19;19;19;8;7;5;5;6;20;16;22;19;7;5;7;54;20;18;17;17;9;6;19;23;17;19;20;6;6
qd4.sql;25;2;1;2;2;1;2;2;2;3;6;1;2;2;2;2;2;2;1
duc7.sql;287;91;167;56;77;67;74;102;71;73;84;70;113
dsv5b.sql;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dsv4.sql;2302;896;904;1154;964;915;998;1086;913;885;896;1034;894;939
dsv6.sql;1000;194;252;180;187;187;165;193;187;232;320
vd5.sql;11;16;15;14;35;21;7;16
duc3.sql;251;172;183;64;100;122;177;127;174;172;181;173;147;170
dp2.sql;2;2;5;1;2;0;1;1;2;1;2;2;6;1;1;1
qd5.sql;62;2;5;3;2;2;2;2;2;1;1;1;2;3;3
vf2.sql;418;420;486;453;484;446;585;514;778;771;864;646;721;652;754;673;635;641;687;690;773;636;628;634;645;815;624;629;625;620;770;759;706;759;606;824;740;597;603;603;586;593;603;644;690;784;751;602;736;592;708;583;592;592;578;585;626;578;575;783;569;648;567;729;636;636;566;564;565;670;555;548;558;676;561;572;567;552;561;572;618;670;641;557
dv1.sql;1;1;1;1;1;1;1;1;0;1
dsv1.sql;86;9;6;6;5;7;5;5;5;5;5;7;5;8;4;5;5;8;6;5;6
vd1.sql;3;5;2;1;3;1
vf3.sql;2389;16;7;9;13;6;16;6;19;10;9;21;23;23;11;9;10;47;18;21;10;16;25;27;20;8;8;7;41;61;10;10;19;7;15;18;7;17;18;8;7;6;16;22;59;23;18;6;20;20;22;15;19;50;7;20;7;19;22;21;7;16;6;19;6;8;7;7;19;7;24;7;7;6;42;6;8;10;9;19;7;20;20;19;13;11;40;19;20;20;7;20;6;19;7;9;5;7;18;7;8
duc4.sql;114;204;158;152;151;166;114;94;154;165;211;188
dp3.sql;51;5;2;3;6;3;5;5;18;3;5;4
qd6.sql;43;10;9;4;4;5;4;7;6;14;5
duc1.sql;118;3;4;4;3;5;13;3;7;3;2;2;3;4;4;3;3;2;9
sd1.sql;186;158;149;156;178;153;163;162;168;156;165;146;160
vd6.sql;184;172;149;94;148;202;187;145;146;116;157
duc5.sql;5415;133;189;146;183;109;114;186;191;190;193;151;190;127;187
dsv2.sql;192;12;73;19;11;17;20;17;9;26;28;18;18;9;29;22;8;70;25
vd2.sql;23;7;9;3;6;11;9;10;8;7;4;9;11;4;10;10;9
