duc7.sparql;19;27;23;32;21;19;31;20;22;20;24;31;19;23;20;18;33;20;23;22;29;18;22;19;25
duc6.sparql;74;12;14;15;11;11;11;12;11;11;12;15;12;11;11;11;16;11;11;11;12;12;12;11;11
vd7.sparql;150;83;117;83;77;75;76;82;90;87;80;84;82;76;85;84;111;75;82;112;76;75;78;111;81
vf2b.sparql;84;66;87;62;62;62;63;230;61;62;58;63;210;63;60;59;60;62;58;71;63;59;58;70;62
vd6.sparql;30;15;21;22;16;14;16;18;15;16;15;21;16;15;21;18;20;15;15;29;17;16;17;21;15
dsv5b.sparql;15563;15173;15101;15155;15162;15061;15100;15126;15151;15093;15100;16010;15119;15071;15624;15093;15122;15879;16120;15529;15188;15148;15633;15208;15120
vf3b.sparql;3002;1547;2333;1559;1550;1554;1565;1562;1549;1552;1548;1558;1564;1552;1772;1563;1559;1559;1562;1561;1560;1561;1564;1562;1553
dv1.sparql;4;4;3;3;3;4;2;3;3;3;3;4;2;4;3;2;3;3;6;5;2;2;4;4;3
sd1.sparql;33;7;7;8;7;6;6;7;7;7;6;7;7;9;6;7;6;7;6;6;8;7;6;9;7
duc1.sparql;100;18;14;18;12;14;13;13;13;13;13;12;12;14;12;14;13;13;12;12;13;13;12;12;13
vd1.sparql;16;17;6;4;6;4;4;4;6;6;4;4;3;4;6;4;6;4;3;9;4;5;5;5;4
vd2.sparql;35;13;13;19;19;13;14;12;14;19;14;13;17;19;15;14;19;13;12;13;12;17;18;18;14
vd3.sparql;18;12;9;11;8;8;13;9;8;11;14;12;10;9;8;8;9;8;7;8;7;8;8;11;8
vd5.sparql;101;61;58;64;52;50;52;56;56;58;57;70;59;53;58;51;58;52;57;52;51;58;59;74;54
vf2.sparql;225;169;123;112;116;110;119;112;114;118;114;114;117;119;113;112;168;117;116;169;117;111;113;169;117
vf3.sparql;3107;1592;2548;1590;1589;1582;1587;1591;1590;1594;1596;1585;1592;1592;1590;1590;1588;1593;1597;1587;1596;1587;1590;1588;1584
duc2.sparql;119;23;17;29;18;17;16;18;19;19;17;15;16;18;17;19;17;28;19;27;19;17;18;17;19
duc3.sparql;77;9;10;9;8;6;6;7;6;6;10;9;7;6;9;10;6;6;10;8;9;6;11;7;6
duc4.sparql;35;32;42;42;29;26;27;25;26;27;28;40;26;26;41;40;26;30;27;41;27;25;27;26;27
duc5.sparql;463;275;275;411;271;272;265;271;266;270;278;409;270;271;377;273;277;284;272;280;272;265;273;265;275
sd3.sparql;6;5;5;5;4;3;3;3;5;6;4;4;3;4;4;5;5;3;3;9;4;5;4;5;3
vf4.sparql;1472;322;328;324;336;336;328;319;321;322;321;326;487;328;334;322;326;321;328;327;334;337;333;326;322
sd2.sparql;3;2;2;2;2;2;2;1;1;2;1;2;2;2;1;2;1;1;1;3;2;2;2;3;1
dp3.sparql;76;4;7;10;6;4;4;5;4;4;4;4;4;6;4;4;4;4;4;5;4;4;4;4;10
dsv1.sparql;2391;100;124;114;90;95;98;93;92;121;119;87;97;113;104;99;95;99;94;96;100;95;96;88;88
dsv2.sparql;178;31;35;32;35;33;31;32;32;34;33;46;36;49;32;52;31;32;52;54;35;52;52;34;29
qd3.sparql;40;21;22;19;15;15;21;14;14;15;14;21;22;15;14;15;21;15;15;18;16;14;14;21;16
qd4.sparql;333;10;12;11;8;9;9;7;8;8;11;9;11;12;8;8;8;8;8;11;8;7;9;11;8
dsv3.sparql;121;3;3;3;3;3;3;3;2;3;3;4;3;3;2;2;3;2;3;2;3;3;3;2;2
dsv4.sparql;3799;1492;1448;1460;1459;1458;2430;2412;1459;1481;1468;1466;1454;1452;1453;2413;1457;1447;1464;1487;1458;2428;1461;1452;1463
qd1.sparql;128;7;7;6;4;7;5;5;5;5;4;5;5;7;5;4;6;6;6;6;5;4;7;7;4
qd2.sparql;27;9;10;9;7;10;7;7;8;7;7;6;9;7;8;8;9;6;7;10;7;7;8;9;6
qd5.sparql;69;32;36;35;25;29;25;30;29;24;28;26;35;35;32;32;31;30;30;35;23;29;35;35;24
qd6.sparql;116;62;62;79;56;59;67;59;61;61;61;59;58;79;59;59;61;61;59;65;54;61;61;79;60
dsv5.sparql;8429;3111;3035;3003;3013;3008;2881;2858;3022;2826;2892;2855;2864;2950;2849;3022;3059;2991;2882;2867;2898;3010;2853;2865;2840
dsv6.sparql;264;83;84;135;83;80;79;84;85;84;85;81;93;78;84;82;79;82;84;88;79;79;83;77;84
dp1.sparql;564;3;3;3;2;2;3;3;2;2;2;2;3;3;2;2;2;3;2;2;3;2;3;2;2
dp2.sparql;179;4;4;5;5;4;4;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;4
dp4.sparql;15;6;8;7;6;5;5;6;10;7;5;6;6;7;7;7;6;6;5;5;6;7;5;6;5
