query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
qd2.sql;2.0;1.0;1.48;0.5099019513592786;1.0;1.0;1.0;25
vf4.sql;338.0;14.0;29.119999999999997;64.36311055255175;14.0;14.0;14.0;25
vd7.sql;330.0;10.0;24.08000000000001;63.74945751403171;10.0;10.0;10.0;25
dp4.sql;240.0;2.0;12.0;47.502631506054485;2.0;2.0;2.0;25
duc6.sql;5111.0;156.0;366.36;988.5744315258545;156.0;156.0;156.0;25
sd2.sql;194.0;141.0;148.28;10.342146779078316;141.0;141.0;141.0;25
qd3.sql;6.0;3.0;3.8;0.9574271077563382;3.0;3.0;3.0;25
vd3.sql;24.0;1.0;2.0800000000000005;4.581848244249621;1.0;1.0;1.0;25
dsv3.sql;7.0;0.0;0.8800000000000001;1.363818169698586;0.0;0.0;0.0;25
dsv5.sql;153983.0;78753.0;86649.72;14148.349660885073;78753.0;78753.0;78753.0;25
dp1.sql;1098.0;0.0;44.80000000000002;219.4172205335457;0.0;0.0;0.0;25
qd1.sql;21.0;1.0;2.44;3.8952963087977444;1.0;1.0;1.0;25
sd3.sql;132.0;57.0;66.6;14.8492424049175;57.0;57.0;57.0;25
vf2b.sql;923.0;809.0;837.76;22.03081175687057;809.0;809.0;809.0;25
duc2.sql;4353.0;68.0;262.16;852.4477833470702;68.0;68.0;68.0;25
vf3b.sql;6.0;4.0;4.88;0.6658328118479394;4.0;4.0;4.0;25
duc7.sql;139.0;58.0;65.96;16.3286047577046;58.0;58.0;58.0;25
qd4.sql;13.0;0.0;1.6399999999999997;2.447447650104086;0.0;0.0;0.0;25
dsv5b.sql;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25
dsv4.sql;2523.0;803.0;932.0;344.83365555003473;803.0;803.0;803.0;25
dsv6.sql;493.0;336.0;383.96;39.285790476116595;336.0;336.0;336.0;25
duc3.sql;593.0;122.0;154.2;91.54051926150882;122.0;122.0;122.0;25
vd5.sql;6.0;3.0;4.4;1.0408329997330663;3.0;3.0;3.0;25
dp2.sql;214.0;0.0;9.799999999999997;42.54507413712348;0.0;0.0;0.0;25
qd5.sql;39.0;1.0;2.9599999999999995;7.524847728248942;1.0;1.0;1.0;25
vf2.sql;50675.0;600.0;2673.3200000000006;10000.381849876203;600.0;600.0;600.0;25
dv1.sql;1.0;0.0;0.64;0.4898979485566356;0.0;0.0;0.0;25
dsv1.sql;71.0;4.0;8.199999999999998;13.156113914577256;4.0;4.0;4.0;25
vd1.sql;3.0;0.0;0.88;0.6000000000000001;0.0;0.0;0.0;25
vf3.sql;49.0;13.0;16.68;6.878226515607055;13.0;13.0;13.0;25
duc4.sql;329.0;99.0;112.32;45.24997237568216;99.0;99.0;99.0;25
dp3.sql;401.0;1.0;17.599999999999998;79.8764671226763;1.0;1.0;1.0;25
qd6.sql;177.0;3.0;11.720000000000002;34.44744789772773;3.0;3.0;3.0;25
duc1.sql;193.0;3.0;12.399999999999997;37.656340767525464;3.0;3.0;3.0;25
sd1.sql;201.0;144.0;155.36;12.274227742170453;144.0;144.0;144.0;25
vd6.sql;122.0;51.0;63.04;14.615858966661289;51.0;51.0;51.0;25
duc5.sql;137.0;92.0;98.96;11.178401793935782;92.0;92.0;92.0;25
dsv2.sql;2063.0;14.0;96.76000000000002;409.63685950688904;14.0;14.0;14.0;25
vd2.sql;14.0;1.0;2.5200000000000005;2.4515301344262523;1.0;1.0;1.0;25
