qd2.sql;18;19;5;21;13;613
vf4.sql;1082;6;24;22;25;26;8;25;22;8;8;26;7;5;5;6;7;8;8;6;7;5;5;7;21;7;32;19;12;542;5;6;21;5;673;2;678;6;6;469;411;10;9;22;20;9;402;883;130;23;885;5;633;7;163;20;2;150;11;876;4;19;635;4;633;877;884;633;2;642;633;636;974;3;5;883;99;887;7;6;889;870;99;632;14;70;8;7;112;1;17;182;5;8;4;623;7;87;623;19;622;108;878;12;621;625;11;16;16;864;871;4;8;8;6;7;917;858;12;628;657;859;17;924;10;857;7;16;592;851;79152;6;17;14;16;23;6;5;18;17;5;0;813;6;6;21;5;571;819
vd7.sql;19;887;882;843;869;623;1
dp4.sql;4;657;6;11
sd2.sql;21;650;1;892;21;15;15;864;7
duc6.sql;24;16;17;612;856
qd3.sql;163;4;8;23;77;5
vd3.sql;668;414;5;19;7;16;78659;857
dsv3.sql;23;19;4;879;15;598
dsv5.sql;63;843;35;857;19;21
dp1.sql;13;1;5;948;15;7;17
qd1.sql;5;12;5;109
vf2b.sql;27318;594;603;622;636;649;651;637;719;718;637;639;635;639;626;811;656;676;680;19;676;415;71;674;675;20;22;673;295;412;7;20;666;20;410;19;20;20;184;20;662;662;6;3;22;637;22;632;21;6;638;3;136;632;4;22;633;890;161;137;23;884;887;23;881;631;23;20;883;22;23;888;636;76;22;5;21;22;880;637;21;11;11;15;11;16;13;15;14;15;622;623;17;11;15;11;2;627;11;10;5;872;71;15;697;9;16;15;6;893;4;6;2;5;625;5;1;11;15;1;5;2;630;617;18;612;5;2;43;8;9;854;15;3;15;602;223;645;603;2;1;15;0;16;1025;18;834;834;10;596;685;584;617;7;22;138;5;5;5;810
sd3.sql;129;18;883
duc2.sql;4118;23;3;3;645;10;10
vf3b.sql;17;5;6;9;10;17;20;24;8;25;7;7;6;7;5;8;9;6;6;671;3;3;7;50;409;408;1;6;410;6;8;708;2;7;8;11;2;8;3;2;20;6;8;5;9;676;886;5;20;630;8;157;6;145;2;884;627;5;628;7;881;7;633;9;4;7;12;11;918;10;7;4;4;880;11;6;619;5;6;6;872;6;5;3;2;1;621;1;11;623;15;8;16;8;618;10;6;869;10;11;897;16;16;5;162;11;4;7;6;713;612;4;7;11;117;17;866;802;603;72;73;6;847;854;854;12;156;597;17;5;831;16;17;20;587;588;837;6;7;9;584;583;576;887;811;5;813;15;24
duc7.sql;263;5;26;21;22;7
qd4.sql;677;18;667;15;2;4
dsv5b.sql;6;6;203;4;54;7
dsv4.sql;2414;2;11;2;0
vd5.sql;146;670;15;196;18;18
dsv6.sql;1155;9;872;6
duc3.sql;132;5;899;15;876;3;844;597;844
dp2.sql;630;17;16;629;878;874;2;5
qd5.sql;119;3;4;4;412;20;885;16;15;7;13
vf2.sql;56144;319;316;379;392;377;403;395;396;378;394;393;412;397;408;417;414;421;100;38;0;8;20;414;20;19;415;420;20;7;677;677;21;3;18;676;2;158428;380;23;886;157;637;22;25;72;21;21;20;9;883;74;882;4;24;632;887;71;886;21;22;0;885;21;23;4739;15;13;11;15;888;623;17;878;162;879;72;875;158;879;4;899;17;7;3;943;885;870;12;86;16;11;8;82;874;2;78905;34;863;164;867;15;181;16;95;5;609;599;16;15;14;857;603;855;16;895;842;15;2;5;837;17;17;593;581;587;19;17;78980;1169;16;6;818;157;18;584;671;21;5
dv1.sql;9;632;73;903;21
dsv1.sql;690;9;11;28;878;21;2;9;11;17;16;816
vd1.sql;3;472;1024;879;6;12;14;16
vf3.sql;4719;19;20;9;10;19;7;25;8;24;23;24;11;25;7;23;24;7;12;23;6;20;20;7;21;11;20;9;19;10;6;677;7;6;411;662;7;6;5;10;132;9;8;5;10;663;6;6;4;666;5;6;6;6;205;10;11;672;409;7;5;0;3;11;711;979;19;2;9;8;9;7;1;8;877;5;20;6;880;8;637;876;3;155;3;936;877;632;8;96;12;627;6;4;971;1;5;6;10;6;78745;129;648;629;10;4;12;884;5;4;0;82;14;5;7;4;621;626;15;15;15;9;15;7;629;1;8;869;17;620;7;864;626;364;612;211;1;6;97;18;5;16;598;591;21;597;5;17;591;835;16;149;2;582;585;8;17;5;6;6;816;18
duc4.sql;8;7;1;12
dp3.sql;26;6;10;4;893;629;629
qd6.sql;416;6;648;6
duc1.sql;131;3;3;888;22;8;2;898
sd1.sql;984;4;13;881
vd6.sql;1913;1;957;1;8;17;6;853;5
duc5.sql;118;475;3
dsv2.sql;19;11;920;874;11
vd2.sql;10;861
