qd2.sql;5;1;2;5;153;148;60;1;2;1;4;68;11;676;841;14;5;15;0;1;2;2;6;14
vf4.sql;1;2;2;2;5;15;1;860;83842;388;6;92;139;105;93;161;65;1;2;1;3;1;1;4
vd7.sql;50666;813;17;4;17;1;2;2;2;7;17;2;866;82958;364;5;102;133;110;93;169;64;0;1
dp4.sql;232;13;14;1;835;84640;421;3;76;143;109;99;161;61;1;1;2;5;1;1;6;155;154;65;1
duc6.sql;182;1;2;3;5;2;2;4;158;146;65;1;2;1;3;65;11;675;844;15;6;15;1;1
sd2.sql;127;1;2;2;3;77;11;665;923;15;5;18;1;1;2;2;5;14;0;844;82432;357;5;104
qd3.sql;12;1;5;200;145;80;1;2;2;3;52;11;703;848;16;7;15;1;1;1;2;5;15;1
vd3.sql;8;57;11;667;828;17;5;16;1;1;1;2;5;14;0;814;84008;357;5;99;134;107;98;162
dsv3.sql;7;857;81652;391;4;74;138;104;98;168;62;1;2;2;3;1;1;6;154;157;59;0;2;1;3
dsv5.sql;153570;321;3;69;143;108;94;169;67;0;2;2;4;1;1;5;155;144;65;1;2;1;3;66;11
dp1.sql;976;1;2;3;5;15;1;942;84345;401;5;91;134;109;90;162;59;1;2;1;5;1;2;5;146
qd1.sql;4;4;1;2;6;153;146;59;0;2;1;4;59;10;674;846;14;5;14;1;1;1;2;4
sd3.sql;3;4;1;4;60;13;663;824;18;6;18;1;1;2;3;5;14;0;847;82463;355;6;106;139
vf2b.sql;54;6;15;1;2;2;3;6;14;1;868;83204;371;5;96;134;107;93;200;64;0;2;1;3
duc2.sql;666;144;99;169;62;0;3;1;4;1;1;5;152;152;64;1;1;1;4;52;10;682;844;15;7
vf3b.sql;329;2;2;2;3;5;15;1;847;83550;376;6;99;138;103;95;168;64;1;2;2;4;1;1
duc7.sql;2;2;2;4;1;2;6;164;152;59;1;2;1;4;60;10;674;841;14;5;15;1;2;2
qd4.sql;39;7;150;157;65;1;3;1;4;53;12;672;839;15;5;15;0;1;2;2;6;14;0;850
dsv5b.sql;393;4;75;135;104;100;162;65;1;2;1;3;1;2;4;159;143;65;1;2;1;4;52;11;677
dsv4.sql;2482;83475;366;4;69;145;102;100;163;68;0;2;1;4;1;2;4;169;147;58;0;2;2;6;61
dsv6.sql;187;83;133;104;92;170;66;1;1;1;3;1;1;5;166;146;59;0;2;1;3;62;11;678;847
duc3.sql;371;103;169;67;0;2;2;3;1;1;9;146;144;59;1;1;2;5;53;10;676;841;14;5;16
vd5.sql;120;13;659;821;16;5;18;1;1;2;2;5;14;1;828;83041;361;5;103;133;103;98;160;58
dp2.sql;158;2;3;6;15;1;885;84184;417;9;85;134;109;139;161;66;1;1;1;4;1;1;5;154;144
qd5.sql;178;153;152;67;1;2;2;3;67;12;666;838;15;5;16;0;0;1;2;4;14;1;840;82303
vf2.sql;803;18;6;17;1;1;2;3;5;15;0;874;83017;372;6;101;140;103;94;167;60;1;2;2
dv1.sql;20;2;4;1;2;6;157;144;66;1;2;1;3;51;11;671;841;15;5;15;0;1;2;2
dsv1.sql;74;19;1;797;84531;429;3;68;141;109;98;169;64;1;1;1;3;1;2;6;159;144;59;0;2
vd1.sql;18;2;4;51;13;751;822;16;4;16;1;1;1;3;4;14;0;861;82511;356;6;104;138;101
vf3.sql;6;15;1;1;3;2;4;15;1;859;83348;368;6;91;135;106;100;162;64;0;2;1;4;1
duc4.sql;185;161;66;1;2;2;8;1;1;4;164;149;65;1;2;1;4;54;10;678;842;14;5;15
dp3.sql;402;2;6;15;0;863;90338;424;3;79;134;107;92;169;60;1;1;1;6;1;1;5;195;152;65
qd6.sql;172;154;64;0;2;3;5;61;12;668;840;14;6;17;1;1;1;2;5;14;0;862;82376;353
duc1.sql;4322;127;110;99;163;62;1;2;1;3;0;1;6;163;146;66;1;2;1;4;52;12;769;847;17
sd1.sql;146;57;1;2;1;5;67;11;751;828;16;7;18;1;2;1;2;4;16;1;861;82410;352;5
vd6.sql;331;598;830;17;5;16;1;2;2;3;4;14;1;810;82875;366;5;100;134;107;92;168;64;1
duc5.sql;5129;61;1;2;2;3;1;1;4;154;143;66;1;1;1;6;58;11;673;845;14;5;15;1
dsv2.sql;2086;1;978;83697;407;3;73;137;100;94;171;61;1;2;2;5;1;1;6;161;145;66;0;2;1
vd2.sql;24;6;53;12;662;838;17;5;15;1;1;1;2;4;14;0;861;82881;358;6;107;133;107;91
