duc7.sparql;22;18;21;18;20;17;20;33;18;18;17;24;19;18;30;19;17;18;22;18;22;19;17;31;23;18;18;19;19;20;23;24;18;17;17;18;18;19;20;24;17;17;17;20;21;20;17;18;30;17;20;18;21;19;18;32;17;18;18;17;21;30;18;17;17;18;18;17;19;18;18;22;24;17;23;22;20;16;20;21;21;24;19;17;17;18;19;31;18;17;30;23;17;18;22;24;22;20;18;31;17;17;17;18;17;19;18;20;18;28;18;18;20;18;18;18;31;19;17;19
duc6.sparql;332;13;13;12;11;15;14;13;11;15;10;11;11;11;16;16;10;11;17;11;13;12;11;12;11;10;10;11;16;11;12;16;10;11;16;11;11;11;11;17;14;10;11;11;11;12;13;11;10;12;10;11;13;11;12;11;11;16;12;11;15;11;13;10;11;13;11;12;11;11;12;11;14;13;11;11;11;13;11;14;15;10;16;10;11;11;11;11;11;11;10;15;15;11;12;11;11;11;13;12;12;14;12;15;14;14;11;11
vd7.sparql;142;76;77;82
vf2b.sparql;65;49;44;49;50
vd6.sparql;21;20;15;15;16;15
dsv5b.sparql;15802;15088;14993;15035;15050;15192
vf3b.sparql;3183;1601;1587;1595;1597;1590
sd1.sparql;47;10;6;7;6
dv1.sparql;100;3;2;2;3
duc1.sparql;298;13;15;14;14;13;19;17;12;19;13;20;18;18;14;12;11;12;21;15;12;17;15;12;12;17;17;17;12;12;13;13;14;12;12;12;11;12;12;12;18;12;19;12;15;14;12;12;12;13;13;12;13;14;12;12;18;13;20;19;12;17;15;14;17;14;17;12;12;12;12;18;14;12;14;18;12;13;12;12;12;12;12;12;17;14;13;16;13;12;12;13;14;13;19;13;12;18;12;12;13;12;13;17;17;19;16;12;12;13;12;15;18;13;12;18;14;19;13;13
vd2.sparql;80;15;15;13;13;14;14;12;14;14
vd3.sparql;18;8;7;7
vd5.sparql;104;53;46;56;51;46;62;60
vd1.sparql;333;4;4;3;4;4
vf2.sparql;299;111;111;109;114;109
vf3.sparql;3102;1595;1597;1609;1593;1606;1600
duc2.sparql;441;15;20;20;17;17;16;16;19;26;15;16;27;25;26;15;15;16;17;17;17;28;26;29;26;15;15;15;17;17;15;17;16;16;16;15;16;24;15;15;18;18;15;16;15;16;15;16;15;20;16;22;24;15;15;17;25;15;16;17;16;15;16;16;16;15;15;15;23;16;15;26;20;17;15;20;17;15;17;15;21;16;16;19;18;15;15;26;15;15;15;15;15;16;26;18;20;17;17;14;16;16;16;16;25;25;26;16;15;15;16;15;15;17;16;27;15;16;16;18;17;16;16;18;16;15;16;16;22
duc5.sparql;1195;287;283;429;284;285;280;289;287;282;288;288;290;282;295;288;287;283;287;288;284;285;280;288;286;286;280;279;287;286;278;280;286;281;284;286;281;278;278;288;280;280;286;277;281;277;285;279;279;284;284;287;288;300;286;285;286;287;279;287;281;280;289;279;279;278;278;278;286;284;280;280;277;277;281;286;279;278;284;291;432;286;284;285;287;288;286;280;286;288;287;279;434;282;287;278;286;287;288;282;287;278;288;289;285;281;278
duc3.sparql;162;6;7;6;10;7;10;6;9;7;6;6;9;10;6;8;6;13;8;6;6;7;8;9;8;5;7;6;6;9;6;9;6;8;8;9;8;6;6;6;7;6;6;7;6;6;6;6;6;9;7;6;8;9;6;6;6;5;6;6;5;7;6;9;5;7;6;6;6;6;7;7;6;6;6;6;6;6;6;6;5;5;6;6;9;6;6;10;6;6;10;5;6;6;6;6;6;6;6;8;8;8;6;7;6;9;6;6;6;6;9;6;9;8;6;6;6;6;7;7
duc4.sparql;29;27;27;30;27;24;37;27;30;27;30;24;32;41;27;25;32;44;40;26;41;25;27;31;28;25;27;27;40;40;34;39;27;27;25;31;29;25;25;25;33;29;26;25;25;25;211;40;26;25;25;32;25;25;35;26;25;25;28;26;24;25;29;26;30;25;31;30;25;25;31;40;29;36;30;33;39;37;30;25;25;31;31;26;30;24;29;28;27;27;31
vf4.sparql;1491;253;252;239;244;247;246;246;249;247
sd3.sparql;6
sd2.sparql;3;2;2;1;2;2
dp3.sparql;18;4;4;3
dsv2.sparql;51;31;29;30;31
qd4.sparql;40;7;7;8
qd3.sparql;25;14;14;22;16
dsv1.sparql;1527
dsv4.sparql;3607;1379;1350;1356;1354
dsv3.sparql;21;2;2;2
qd1.sparql;8;20;7;7;5
qd2.sparql;265;7;6;8;10;6
qd5.sparql;68;25;23;25;23;23
qd6.sparql;89;50;70;52;48;68;59
dsv5.sparql;18521;2593;2623;2614;2720;4023;2866;2733;2861;2685
dsv6.sparql;641;83;90;82;76;76
dp1.sparql;30;2;3;3;2;3;3;2
dp2.sparql;5;4;3;4;4;5;4
dp4.sparql;7;5
