duc7.sparql;19;26;24;19;19;18;18;18;18
duc6.sparql;69;12;12;11;11;16;12;17;12;11
vd7.sparql;166;79;82;77;85;75;81;80;82;77;110;75;82;74;74;74;82;83;111;81;74;83;79;76;76;83;82;78;77;76;73;78;110;83;82;75;77;96;79;91;76;78;79;80;84;83;110;84;84;82
vf2b.sparql;335;43;52;51;52;45;52;45;50;45;46;47;61;44;51;49;46
vd6.sparql;66;14;22;21;22;17;25;22;15;17;16;15;16;17;15;23;16;201;18;19;17;15;15;18;21;16;15;14;16;15;22;22;15
vf3b.sparql;2371;956;938;948;951;947;946;942;939;943;946;949;938;945;951;945
dsv5b.sparql;15308;15916;15065;15005;15012;15109;15631;15228;15009;15300;15034
sd1.sparql;8;6;6;7;9;7;7;7;10;7;6;7;10;9;9;7;6;6;10;7;7;9;7;7;8;6;7;9;6;8
dv1.sparql;28;3;3;3;4;4;2;6;11;2;2;2;2
duc1.sparql;266;14;13;18;12;17;17;13;14;12;20;13
vd3.sparql;75;14;10;12;11;8;8;12;8;8;9;8;8;10;9;8;11;8;8;13;9;8;11;8;13;13;8;7;7;7;11;8;7;8;10;8;8;8;7
vd5.sparql;111;58;55;62;61;57;69;62;51;60;59;68;53;59;75;49;61;52;58;75;52;51;58;57;53;51;53;56;54;58;50;73;57;56;57;56;50;61
vd1.sparql;352;5;4;5;7;4;4;4;4;5;5;6;4;4;4;4;4;4;4;4;4;7;7;4;4;5;5;4;4;4;5;5;5;4;4;3;4;6;4;4;4;3;3;3;5;5;4
vd2.sparql;41;14;18;12;22;13;15;14;20;13;18;13;14;13;13;12;18;17;12;13;14;14;14;18;19;18;13;12;13;12;13;13;13;19;13;21;14;12;13;15
vf2.sparql;202;120;112;118;116;108;109;117;119;117;120;117
vf3.sparql;4167;1575;1564;1568;1565;1575;1567;1578;1579;1579;1568
duc4.sparql;735;26;30;28;27;40;32;26;27;27;30;32;31
duc2.sparql;84;17;22;24;16;27;16;19;17;19;17;16;28;16;16;19;16
duc5.sparql;492;276;277;273;266;411;270;265;275;276;272;267;276;274
duc3.sparql;44;9;6;6;8;6;7;7;6;6;6;6;6;5;6;7;8;6
sd3.sparql;108;4;5;6;4;4;4;3;5;4;4;5;4;6;4;3;4;5;3;4;4;5;4;4;4;3;4;4;5;4;5;4;6;3;4;3;5;3;4;4;4;4;3
vf4.sparql;1949;337;334;326;333;332;327;328;331;333;331;490;488
sd2.sparql;3;2;2;2;3;2;3;2;3;2;2;2;3;2;2;3;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;4;1;1;2;2;2;2;2;2;2;1;1
dp3.sparql;10;8;4;5;4;5;4;5;4;6;5;5;5;4;5;5;7;5;4;5;4;5;5;6;4;4;6;4;4
dsv2.sparql;49;44;35;37;50;52;34;35;32;31;34;35;35
dsv1.sparql;2467;63;89;95;93;92;94;83;100;80;78;106;99;88;84;94
qd3.sparql;34;22;14;17;22;17;16;15;21;21;14;22;21;18;20;14;16;19;17;16;14;15;16;16;16;14;21;14;14;15;15;16;16;15;14;13;13;15;15;15;15
qd4.sparql;31;9;8;10;8;8;7;8;8;8;7;8;8;8;8;12;8;11;11;11;7;8;11;7;9
dsv4.sparql;3945;1703;1501;1464;1449;1446;1451;1448;1444;1451
dsv3.sparql;23;2;2;2;2;2;2;3;3;2;2;2;1;2;2
qd1.sparql;11;5;6;5;5;5;8;5;5;7;7;4;5;4;7;5;4;4;5;4;7;11;5;5;4;4;4;5;5;4;5;6;4;7;5;5;5;4;5;4;4;5;6;4
qd2.sparql;658;8;7;12;7;6;7;8;7;6;8;7;8;7;10;7;6;6;8;6;6;8;6;6;6;6;7;7;6;6;7
qd5.sparql;67;32;25;35;26;25;35;35;35;31;38;24;35;24;24;30;31;26;25;23;24;28;26;33;25;27;30;36;23;24;24;32;30;23;35;25;27;32;24;24
qd6.sparql;262;63;62;64;63;61;60;55;63;64;62;61;54;80;68;62;62;56;71;69;63;55;63;79;64;62
dsv5.sparql;5471;2775;3010;2939;2948;3016;2877;2765;3212;3007;2776;2891;2951
dsv6.sparql;211;135;80;83;79;80;87;84;77;82;83;81;85
dp1.sparql;159;3;3;5;2;3;3;3;3;3;2;3;3;2;2;3;2;2;2;4;3;4;3;2;2;2;2;3;2;3;2;2;2;2;2;2;3;2;3;1;3;2;3
dp2.sparql;5;5;4;5;3;3;4;5;4;4;3;4;4;4;9;2;3;4;5;3;4;4;3;4;4;3;3;3;3;4;4;4;3
dp4.sparql;8;5;6;5;10;7;5;6;6;6;5;5;8;6;6;8;8;5;5;5;5;8;5;5;5;6;8;5;7;7;5;5;6;8
