qd2.sql;2;4;2;2;3;3;3
vf4.sql;1893;5;12;23;16;21;16;16;5;5;5;7;7;4;4;20;21;26;23;24;20;16;11;13;5;6;14;16;11;7;12;14;15;6;14;14;15;17;13;12;15;14;14;5;11;5;44;12;5;15;15;15;11;14;13;12;14;13;13;13;5;14;5;13;13;13;13;14;14;15;17;14;18;5;19;5;20;7;17;5;17;18;10;4;17;9;18;4;3;17;6;17;41;5;19;18;5;17;12;11;18;16;10;16;4;17;18;15;4;16;7;17;17;18;17;4;15;22;23;24;19;24;24;56;23;19;24;19;23;19;5;21
vd7.sql;1314;15;22;22;17;18;10;18;40;17;17;7;18;18;15;17;18;20;20
dp4.sql;1539;4;4;4
duc6.sql;4658;214;242;174;210;189;187;244;264
sd2.sql;169;172;170;163;168;170;163;172;158;172
qd3.sql;23;8;6;8;8;8;9;7;9;9;7;8;9;8
vd3.sql;28;3;4;2
dsv3.sql;7;0;1;1;0;0;1
dsv5.sql;162661;79152;79616;79609;79108;78061;78398;78075;77748
dp1.sql;2;1;1;1;1;1;1;1;6;1
qd1.sql;1;2;2;1;2;1;2;2;2;2;7;2
vf2b.sql;27300;567;673;763;730;650;735;648;1091;889;880;881;866;860;853;949;857;860;853;855;886;860;898;857;861;858;856;859;858;857;903;1029;935;885;852;850;845;853;850;845;849;907;838;849;848;897;847;875;844;844;857;941;958;848;834;828;918;917;917;830;824;830;827;963;818;857;919;811;923;828;815;811;820;895;828;814;895;814;814;813;811;811;811;811;812;808;808;809;880;807;794;802;878;805;802;986;799;874;791;791;792;935;791;795;844;947;833;788;778;782;780;785;787
sd3.sql;123;126;81;113;129;132;119
duc2.sql;84;75;76;78;73;74;38;74;148;67;74
vf3b.sql;12;20;22;8;6;5;5;6;6;23;8;15;22;17;6;21;7;7;4;22;6;7;7;4;4;6;6;6;6;8;5;5;8;7;5;5;5;8;5;9;8;5;8;7;9;8;8;4;8;5;10;9;11;9;10;5;10;5;5;6;6;25;4;8;10;10;7;6;12;6;4;10;10;12;11;9;7;18;6;11;9;10;10;6;10;5;5;11;10;5;11;11;10;9;11;10;6;5;10;5;5;6;10;5;10;14;11;5;12;16;4;16;6;15;11;4;4;18;16;16;12;15;15;11;15;4;5;6;10
duc7.sql;327;84;157;108;80;85;71;71;76;69
qd4.sql;16;2;2;2;1;2;2;1;2;2;2
dsv5b.sql;0;0;0;0;0;0;0
dsv4.sql;2404;1206;849;860;846;879;930;870;881;890;900;888;975;894
dsv6.sql;966;186;184;206;303;259;359;401;216;187;194;203;199
duc3.sql;152;178;92;91;95;94;72;155;157;151;174;63;171;167;61;182
vd5.sql;38;7;10;6;5;7;12;13;6;15
dp2.sql;1;1;1;3;2;2;2;2;1;3
qd5.sql;13;3;2;2;2;2;2;2;1;2;4;3;2;3;6;2
vf2.sql;56462;326;411;384;386;481;592;477;387;388;784;691;662;760;625;623;634;624;735;614;612;627;616;689;688;717;618;616;617;657;663;620;619;660;620;634;629;621;621;621;620;654;625;621;616;611;616;621;652;613;613;625;616;610;613;614;625;609;608;619;611;606;608;599;656;595;638;599;599;668;703;661;663;663;590;594;607;593;596;589;591;587;585;770;585;594;593;588;664;583;589;588;654;576;580;592;636;584;576;584;578;583;646;615;578;579;627;576;576;577;585;572;577;572;576;575;663;566;566;556;570;771;694;556;677;618;562;566;559;561;580;557;565;703;573
dv1.sql;1;0;1;0;1;1;1;0;1
dsv1.sql;65;5;7;7;5;5;5;4;12;5;5;5
vd1.sql;3;2;2;2;2;3;2;2;2;3;2;3
vf3.sql;3627;26;22;23;16;7;7;8;10;11;10;7;9;7;9;8;5;8;8;10;6;9;9;6;6;9;10;9;8;6;11;5;9;9;7;7;10;6;6;8;13;11;10;6;6;11;10;10;12;10;10;6;27;12;6;7;11;5;6;5;11;11;6;13;14;6;6;11;5;11;9;6;6;12;13;13;6;7;7;12;12;11;7;13;13;5;11;8;46;16;17;6;17;6;17;6;5;12;11;17;6;14;13;5
duc4.sql;247;125;139;143;149;157;107;91;218
dp3.sql;4;2;1;4;2;4;4;6;1
qd6.sql;44;4;8;5;7;9;5;4;6;5;4;11
duc1.sql;69;5;3;2;3;2;3;9;3
sd1.sql;217;168;167;171;165;168;161;163;166
vd6.sql;1616;98;89;89;118;125;121;82;137;127;136;64;149
duc5.sql;250;124;128;127;106;125;174;138;175;183;193;195
dsv2.sql;190;13;8;8;11;8;40;17;17;26;25
vd2.sql;36;5;3;5;6;6;5;4;9;7;8;8;3;4;6
