duc7.sparql;35;16;32;18;18;24
duc6.sparql;24;11;11;11
vd7.sparql;147;82;81;111;86;76;77;83;87;77;82;79;74;83;85;76;79;83;83;111;91;79;82;84;85;83;83;83;85;106;86;84;84;112;114;87;80;76;83;77;84;82;76;85;78;80;84;85;94;86;78;111;77;76;77;111;85;80
vf2b.sparql;96;43
vd6.sparql;156;13;11;15;17;11;10;10;16;13;11;15;11;11;17;16;12;14;10;14;11;10;12;10;10;10;10;11;15;11;14;10;11;10;15;10;9;14;11;10;13;16;11;16;12;10
dsv5b.sparql;17604;15208;16494;15345;15242;15059
vf3b.sparql;4448;1559;1555;1536;1549
sd1.sparql;38;10;9;10;6;11;10;7;9;8;8;7;7;7;7;6;6;6;9;7;10;6;7;11;7;7;9;9;7;10;6;8;6;6;6;7
dv1.sparql;119;3;3;3;3
duc1.sparql;94;11;15
vd5.sparql;125;61;64;50;51;52;58;61;60;54;57;75;74;61;57;59;55;58;51;52;53;59;57;62;67;59;59;69;59;51;54;63;52;57;66;52;58;54;73;59;57
vd3.sparql;33;11;9;11;13;12;10;8;9;10;7;12;8;8;9;8;8;7;11;7;9;8;8;9;9;11;11;8;8;8;13;11;11;7;10;8;8;7;7;8;8;7;8;12;8;11;10;7;9
vd2.sparql;43;13;13;13;18;16;15;12;15;18;12;15;19;18;19;14;13;21;14;17;13;13;17;16;17;14;13;21;19;16;16;12;13;14;20;18;17;12;20;15;12;13;14;19;19;13;12;19;18;15;13;14;13
vd1.sparql;20;4;4;4;4;6;7;4;4;5;3;5;4;7;4;4;5;4;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;6;3;4;4
vf2.sparql;200;134;120;126;117
vf3.sparql;3098;1603;1584;1593;1625
duc5.sparql;508;280;288;280
duc4.sparql;30;26;27;28
duc3.sparql;36;9
duc2.sparql;18;18
sd3.sparql;38;6;5;4;5;6;4;4;4;6;4;3;8;5;3;5;5;5;6;4;3;6;4;3;4;4;4;4;5;6;4;3;4;3;5;4;5;4;3;6;4;4;4;4;3;4;3;4;5
vf4.sparql;1666;361;342;342;512;504
sd2.sparql;3;2;2;2;2;1;2;2;2;2;2;2;1;2;3;2;2;1;2;2;1;2;1;2;2;2;3;3;2;1;1;2;2;2;1;3;1;1;2;1;1;2;1;2;1;2
dp3.sparql;647;7;6;7;5;6;7;7;5;6;4;4;4;6;4;6;6;5;7;6;4;7;6;4;8;4;4;6;5;5;6;4;4;4;5;4;5;5;5;4;5;4;4;4;4;5;5
qd3.sparql;309;16;19;22;22;20;18;15;15;14;15;22;21;21;16;21;23;19;22;21;20;19;23;19;14;14;18;14;16;16;25;15;21;14;22;16;17;15;16;21;16;14;21;21;21;16;15;14;21;22;15;14;21;14;14;18;16;15;14;15;15;15;14;16;15
qd4.sparql;476;12;11;8;8;8;8;8;8;8;8;8;11;11;9;8;7;12;12;8;7;8;10;8;8;12;8;11;11;9;11;8;8;8;8;8;8;12;12;8;8;9;8;7;11;8
dsv1.sparql;2406;78;91;80
dsv2.sparql;72;34;32;33;30
dsv4.sparql;2818;1458;1460
dsv3.sparql;30;2;2;3;2;2
qd1.sparql;9;5;6;7;5;7;4;4;7;6;4;6;5;5;6;5;5;5;5;5;5;5;4;5;4;5;6;4;4;5;4;5;5;5;5;6;5;5
qd2.sparql;391;8;7;8;10;9;7;11;8;10;7;6;8;11;7;9;7;7;8;10;7;6;7;7;6;7;6;7;6;6;10;10;6;8;8;9;10;9;6
qd6.sparql;594;54;79;64;65;60;63;63;79;64;80;53;60;60;61;61;62;53;55;62;59;79;72;62;53;61;67;62;56;53;52;55;59;53;54;55;61;54;54;62;56;55;55;60;53;53;59
qd5.sparql;75;23;26;34;34;25;27;27;26;24;28;29;34;31;23;23;29;33;24;30;24;25;25;32;34;23;27;31;25;32;29;29;31;23;30;35;34;35;25;29;22;24;26;26;24;24;29;23;30;28;26;22;25;33
dsv5.sparql;7492;2858;2785;3043;2869;2780
dsv6.sparql;187;79
dp1.sparql;9;3;2;2;2;2;2;3;2;2;2;3;2;3;3;3;3;5;2;2;2;2;3;2;2;2;2;3;5;2;2;3;3;2;3;2;4;2;3
dp2.sparql;5;3;3;4;4;6;8;4;5;5;4;3;5;4;4;3;4;3;4;5;4;3;4;5;4;3;3;3;5;3;3;4;4;3;4;4;3;3;3;4;3;3;3;4;3;3;4
dp4.sparql;12;7;6;6;6;7;5;7;8;5;7;6;8;7;5;7;5;6;5;7;5;7;5;6;5;6;5;5;5;7;7;8;8;5;8;5;5;6;5;5;6;5;7;7;7;5
