query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
qd2.sql;14.0;4.0;7.0;4.760952285695233;4.0;4.0;4.0;4
vf4.sql;355.0;62.0;208.5;207.18228688765842;62.0;62.0;62.0;2
vd7.sql;407.0;19.0;213.0;274.35743110038044;19.0;19.0;19.0;2
dp4.sql;144.0;5.0;26.857142857142854;51.83765867728651;5.0;5.0;5.0;7
sd2.sql;236.0;154.0;179.6;32.33109957919774;154.0;154.0;154.0;5
duc6.sql;4869.0;244.0;1415.5;2302.4798949538445;244.0;244.0;244.0;4
qd3.sql;76.0;7.0;37.0;35.369478367654786;7.0;7.0;7.0;3
vd3.sql;48.0;17.0;32.5;21.920310216782973;17.0;17.0;17.0;2
dsv3.sql;13.0;0.0;0.6991869918699187;1.4196222041276858;0.0;0.0;0.0;123
dsv5.sql;219933.0;71612.0;80071.86458333333;14610.477329728876;71612.0;71612.0;71612.0;96
dp1.sql;2.0;2.0;2.0;0.0;2.0;2.0;2.0;1
qd1.sql;5.0;1.0;2.857142857142857;1.2149857925879117;1.0;1.0;1.0;7
vf2b.sql;1171.0;921.0;1044.3333333333333;125.03332889007368;921.0;921.0;921.0;3
sd3.sql;159.0;159.0;159.0;0.0;159.0;159.0;159.0;1
duc2.sql;193.0;67.0;102.5;60.649264903486944;67.0;67.0;67.0;4
vf3b.sql;24.0;24.0;24.0;0.0;24.0;24.0;24.0;1
duc7.sql;450.0;66.0;209.25;166.9877740035679;66.0;66.0;66.0;4
qd4.sql;73.0;2.0;17.6;31.02096065565991;2.0;2.0;2.0;5
dsv5b.sql;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93
dsv4.sql;1788.0;812.0;982.9157894736843;166.084742734897;812.0;812.0;812.0;95
dsv6.sql;418.0;116.0;190.43119266055044;74.44888464857107;116.0;116.0;116.0;109
vd5.sql;43.0;9.0;21.333333333333332;18.823743871327334;9.0;9.0;9.0;3
duc3.sql;296.0;117.0;206.5;126.572113832392;117.0;117.0;117.0;2
dp2.sql;52.0;3.0;27.5;34.64823227814083;3.0;3.0;3.0;2
qd5.sql;29.0;1.0;8.6;11.523888232710346;1.0;1.0;1.0;5
vf2.sql;50012.0;620.0;10655.8;22001.106294911624;620.0;620.0;620.0;5
dv1.sql;4.0;0.0;0.707482993197279;0.5876687674091929;0.0;0.0;0.0;147
dsv1.sql;84.0;3.0;6.546391752577318;8.195553441954434;3.0;3.0;3.0;97
vd1.sql;22.0;2.0;7.5;9.678154093971983;2.0;2.0;2.0;4
vf3.sql;2038.0;25.0;539.75;999.0686913320825;25.0;25.0;25.0;4
duc4.sql;234.0;142.0;207.6;37.51399738764186;142.0;142.0;142.0;5
dp3.sql;223.0;7.0;115.0;152.73506473629428;7.0;7.0;7.0;2
qd6.sql;52.0;6.0;27.0;23.259406699226016;6.0;6.0;6.0;3
duc1.sql;83.0;3.0;16.28571428571429;29.533677306392025;3.0;3.0;3.0;7
sd1.sql;417.0;162.0;247.66666666666666;146.65037788336357;162.0;162.0;162.0;3
vd6.sql;296.0;296.0;296.0;0.0;296.0;296.0;296.0;1
duc5.sql;2164.0;156.0;831.0;1154.4431558114934;156.0;156.0;156.0;3
dsv2.sql;189.0;5.0;34.12962962962963;31.852490796717966;5.0;5.0;5.0;108
vd2.sql;34.0;26.0;29.666666666666668;4.041451884327381;26.0;26.0;26.0;3
