qd2.sql;25;1;1;2
vf4.sql;673;19;4
vd7.sql;324;21
duc6.sql;7837;108;110;111;108;106;107;114;134;105;102;104;104;103;110;111;110;111;103;104;137;112;114;112;113;106;106;112;125;112;109;110;112;163;103;103;110;107;103;111;103;103;102;112;111;116;112;118;162;162;112;105;106;108;163;287;304;121;115;116;115;114;114;122;176;125;112;112;111;170;118;117;118;109;111;113;165;118;118;236;110;122;115;115;114;114;115;151;124;112;109;113;111;113;113;113;111;111;111;129;113;113;113;113;113;113;113;155;113;104;104;106;104;105;105;192;110;119;115;110;110;109;170;159;104;104;105;105;104;111;107;106;106;106
dp4.sql;148;2;1;2;2;2
sd2.sql;139;137;180;148;150
qd3.sql;4;3
vd3.sql;43
dsv3.sql;0
dsv5.sql;195618;84059;82394;83374
dp1.sql;150;1
qd1.sql;2;1;2;2
vf2b.sql;1180;974;949;1168
sd3.sql;64
duc2.sql;138;26;28;24;26;23;24;23;23;24;23;23;23;23;24;24;24;25;25;34;28;26;26;43;23;23;31;35;23;27;24;24;24;24;23;23;28;23;23;34;26;30;23;24;23;23;23;46;126;37;48;39;36;42;35;27;25;30;31;25;25;25;24;36;25;25;25;25;24;126;55;31;32;41;41;32;29;25;29;23;24;24;23;23;23;23;23;25;24;24;26;27;25;30;24;25;24;25;24;24;29;25;25;23;23;24;23;25;24;24;26;23;24;25;23;23;23;23;23;23;23;23;23;24;25;23;24;23;23;24;24;24;23;24
duc7.sql;223;53;56;53;45;42;42;42;39;38;38;39;40;44;44;37;54;51;48;43;39;56;40;40;44;37;38;38;46;39;37;43;42;42;37;44;45;58;44;38;44;59;39;39;39;60;91;67;65;60;47;55;46;46;46;58;45;44;46;68;57;70;106;52;47;68;45;43;43;43;41;43;40;42;43;45;44;43;42;43;42;43;44;44;44;44;42;43;40;60;39;38;38;38;39;39;40;39;44;40;40;39;39;39;39;38;38;38;37;43;37;39;39;39;40;38
qd4.sql;17;1
dsv5b.sql;0;0
dsv4.sql;879
duc3.sql;339;60;42;42;41;42;43;40;40;43;40;40;39;40;130;47;47;47;47;47;48;41;42;43;41;41;46;47;47;49;49;47;49;47;48;47;41;41;49;64;96;49;47;49;43;65;216;57;60;63;66;51;52;51;132;52;50;54;70;56;55;138;46;51;49;50;67;61;45;51;49;49;49;49;50;49;49;50;49;48;49;48;49;48;44;45;50;50;52;101;54;51;50;50;50;50;42;41;42;95;45;42;42;83;46;46;46;45;45;45;52;51;115;116;47;44;44;44;44;48;42;42;41;42;42;42;42;42;44;44;44;43;43;44
vd5.sql;83;3;8;3;3;3;3
dsv6.sql;968;379
dp2.sql;1;1
qd5.sql;10;1;1
vf2.sql;57191;813;779;629;695;710;719
dv1.sql;1;1;2;0
dsv1.sql;71;6;4
vd1.sql;1;1;1;0
vf3.sql;562
duc4.sql;221;78;117;83;76;76;76;81;75;82;99;79;86;84;84;86;84;78;117;79;78;83;82;84;85;80;79;83;82;83;76;84;83;85;84;78;83;79;115;115;97;85;88;86;87;83;95;88;88;80;80;82;83;122;107;83;80;81;81;81;87;81;80;84;85;84;78;86;86;84;90;111;85;86;85;85;85;85;85;86;85;85;87;80;80;79;80;80;92;80;88;79;80;78;77;77;78;77;78;78;78;79;80;79;79;79
dp3.sql;198;1;2;4;3;3
qd6.sql;43;8;6
duc1.sql;177;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;4;2;1;1;2;2;3;2;2;1;2;2;3;2;2;2;3;2;4;1;2;2;1;1;1;11;2;2;2;2;3;2;1;2;4;3;1;2;2;1;2;5;1;1;1;2;2;2;1;2;1;2;3;2;2;2;2;2;2;2;2;1;1;2;2;1;2;1;2;2;3;2;1;1;2;2;2;2;2;1;1;2;1;1;2;2;1;2;2;1;1;2;2;1;2;1;3;2;1;2;2;2;1;1;2;2;1;2;1;2;2;2;2
sd1.sql;165;148;144
vd6.sql;45;59;93;47
duc5.sql;5593;96;80;76;76;75;75;73;73;73;73;73;72;73;74;74;82;73;74;84;78;80;77;75;75;102;75;82;119;94;83;89;75;75;82;89;89;118;84;83;85;84;119;118;78;119;252;99;144;100;83;90;91;92;91;91;99;98;91;90;82;87;81;81;80;80;80;80;84;84;85;85;85;91;93;86;85;90;109;86;86;87;92;86;86;86;86;100;84;77;78;77;85;78;78;78;176;79;80;86;85;84;80;79;79;85;78;77;78;77;78;79;79;79;78;79;79;78;78;79
dsv2.sql;187;10
vd2.sql;3;3;2;4;3;5
